,시간,03-02 (토)
0,최대,323.51
1,최소,91.24
2,평균,157.97
3,01시,168.45
4,02시,99.48
5,03시,95.38
6,04시,91.24
7,05시,91.24
8,06시,164.6
9,07시,99.48
10,08시,179.61
11,09시,180.74
12,10시,104.14
13,11시,168.45
14,12시,95.88
15,13시,95.22
16,14시,95.88
17,15시,99.48
18,16시,100.55
19,17시,323.51
20,18시,166.25
21,19시,168.45
22,20시,225.05
23,21시,225.05
24,22시,168.45
25,23시,207.57
26,24시,308.16
