,시간,01-14 (화)
0,최대,156.72
1,최소,101.7
2,가중평균,134.64
3,01시,108.13
4,02시,104.61
5,03시,101.75
6,04시,101.79
7,05시,101.7
8,06시,101.79
9,07시,107.34
10,08시,136.77
11,09시,152.65
12,10시,151.43
13,11시,151.27
14,12시,150.68
15,13시,138.8
16,14시,139.21
17,15시,139.21
18,16시,139.21
19,17시,155.2
20,18시,156.36
21,19시,136.79
22,20시,156.72
23,21시,150.52
24,22시,150.52
25,23시,150.52
26,24시,114.59
