,시간,12-15 (일)
0,최대,133.67
1,최소,82.32
2,가중평균,106.45
3,01시,98.4
4,02시,83.15
5,03시,83.15
6,04시,82.32
7,05시,82.32
8,06시,83.15
9,07시,92.18
10,08시,96.58
11,09시,111.86
12,10시,102.33
13,11시,133.48
14,12시,133.67
15,13시,133.67
16,14시,133.67
17,15시,133.67
18,16시,102.56
19,17시,102.85
20,18시,110.46
21,19시,110.63
22,20시,110.98
23,21시,102.86
24,22시,111.16
25,23시,102.38
26,24시,102.39
