,시간,01-30 (목)
0,최대,128.16
1,최소,76.68
2,가중평균,101.57
3,01시,97.63
4,02시,85.81
5,03시,81.14
6,04시,79.87
7,05시,79.87
8,06시,97.63
9,07시,97.63
10,08시,128.16
11,09시,97.63
12,10시,107.7
13,11시,109.31
14,12시,109.28
15,13시,109.39
16,14시,103.7
17,15시,98.47
18,16시,76.68
19,17시,98.42
20,18시,104.3
21,19시,104.62
22,20시,104.62
23,21시,104.62
24,22시,122.58
25,23시,120.96
26,24시,104.46
