,시간,01-31 (금)
0,최대,164.38
1,최소,81.06
2,가중평균,129.72
3,01시,123.88
4,02시,81.96
5,03시,81.79
6,04시,81.06
7,05시,81.13
8,06시,81.96
9,07시,150.11
10,08시,128.17
11,09시,151.51
12,10시,164.38
13,11시,151.89
14,12시,150.48
15,13시,136.63
16,14시,138.88
17,15시,136.63
18,16시,136.63
19,17시,136.36
20,18시,133.09
21,19시,158.57
22,20시,158.57
23,21시,158.57
24,22시,114.6
25,23시,116.3
26,24시,121.17
