,시간,01-04 (토)
0,최대,119.65
1,최소,0.0
2,가중평균,89.33
3,01시,97.77
4,02시,81.76
5,03시,81.12
6,04시,81.12
7,05시,81.12
8,06시,81.12
9,07시,97.37
10,08시,98.47
11,09시,98.78
12,10시,119.65
13,11시,119.65
14,12시,98.16
15,13시,0.0
16,14시,0.0
17,15시,97.98
18,16시,97.94
19,17시,97.94
20,18시,98.78
21,19시,98.68
22,20시,98.07
23,21시,98.78
24,22시,98.78
25,23시,97.37
26,24시,97.69
