,시간,03-05 (수)
0,최대,149.85
1,최소,85.51
2,가중평균,119.7
3,01시,96.24
4,02시,85.51
5,03시,85.51
6,04시,85.51
7,05시,85.51
8,06시,85.51
9,07시,96.9
10,08시,113.06
11,09시,129.05
12,10시,148.58
13,11시,149.57
14,12시,146.95
15,13시,128.98
16,14시,131.55
17,15시,131.28
18,16시,127.29
19,17시,122.44
20,18시,149.85
21,19시,149.85
22,20시,122.26
23,21시,134.16
24,22시,113.65
25,23시,111.89
26,24시,112.42
