,시간,02-17 (월)
0,최대,147.82
1,최소,0.0
2,가중평균,121.65
3,01시,122.49
4,02시,98.61
5,03시,97.86
6,04시,80.89
7,05시,0.0
8,06시,98.22
9,07시,102.01
10,08시,132.8
11,09시,132.5
12,10시,147.82
13,11시,147.07
14,12시,132.56
15,13시,130.94
16,14시,131.73
17,15시,131.11
18,16시,132.15
19,17시,145.88
20,18시,132.15
21,19시,130.06
22,20시,130.79
23,21시,130.79
24,22시,132.48
25,23시,132.45
26,24시,113.87
