,시간,12-14 (토)
0,최대,103.93
1,최소,91.67
2,가중평균,100.63
3,01시 1구간,103.49
4,01시 2구간,103.49
5,01시 3구간,103.49
6,01시 4구간,103.49
7,02시 1구간,92.66
8,02시 2구간,92.66
9,02시 3구간,92.66
10,02시 4구간,92.66
11,03시 1구간,92.12
12,03시 2구간,92.12
13,03시 3구간,92.12
14,03시 4구간,92.12
15,04시 1구간,91.67
16,04시 2구간,91.67
17,04시 3구간,91.67
18,04시 4구간,91.67
19,05시 1구간,91.7
20,05시 2구간,91.7
21,05시 3구간,91.7
22,05시 4구간,91.7
23,06시 1구간,92.25
24,06시 2구간,92.25
25,06시 3구간,92.25
26,06시 4구간,92.25
27,07시 1구간,96.32
28,07시 2구간,96.32
29,07시 3구간,96.32
30,07시 4구간,96.32
31,08시 1구간,101.03
32,08시 2구간,101.03
33,08시 3구간,101.03
34,08시 4구간,101.03
35,09시 1구간,103.13
36,09시 2구간,103.13
37,09시 3구간,103.13
38,09시 4구간,103.13
39,10시 1구간,103.09
40,10시 2구간,103.09
41,10시 3구간,103.09
42,10시 4구간,103.09
43,11시 1구간,103.11
44,11시 2구간,103.11
45,11시 3구간,103.11
46,11시 4구간,103.11
47,12시 1구간,103.24
48,12시 2구간,103.24
49,12시 3구간,103.24
50,12시 4구간,103.24
51,13시 1구간,99.57
52,13시 2구간,99.57
53,13시 3구간,99.57
54,13시 4구간,99.57
55,14시 1구간,102.76
56,14시 2구간,102.76
57,14시 3구간,102.76
58,14시 4구간,102.76
59,15시 1구간,102.78
60,15시 2구간,102.78
61,15시 3구간,102.78
62,15시 4구간,102.78
63,16시 1구간,103.37
64,16시 2구간,103.37
65,16시 3구간,103.37
66,16시 4구간,103.37
67,17시 1구간,103.87
68,17시 2구간,103.87
69,17시 3구간,103.87
70,17시 4구간,103.87
71,18시 1구간,103.61
72,18시 2구간,103.61
73,18시 3구간,103.61
74,18시 4구간,103.61
75,19시 1구간,103.93
76,19시 2구간,103.93
77,19시 3구간,103.93
78,19시 4구간,103.93
79,20시 1구간,103.38
80,20시 2구간,103.38
81,20시 3구간,103.38
82,20시 4구간,103.38
83,21시 1구간,103.38
84,21시 2구간,103.38
85,21시 3구간,103.38
86,21시 4구간,103.38
87,22시 1구간,102.84
88,22시 2구간,102.84
89,22시 3구간,102.84
90,22시 4구간,102.84
91,23시 1구간,102.95
92,23시 2구간,102.95
93,23시 3구간,102.95
94,23시 4구간,102.95
95,24시 1구간,101.51
96,24시 2구간,101.51
97,24시 3구간,101.51
98,24시 4구간,101.51
