,시간,02-22 (토)
0,최대,119.45
1,최소,0.0
2,가중평균,94.62
3,01시 1구간,108.15
4,01시 2구간,108.15
5,01시 3구간,108.15
6,01시 4구간,108.15
7,02시 1구간,101.48
8,02시 2구간,101.48
9,02시 3구간,101.48
10,02시 4구간,101.48
11,03시 1구간,102.66
12,03시 2구간,102.66
13,03시 3구간,102.66
14,03시 4구간,102.66
15,04시 1구간,85.12
16,04시 2구간,85.12
17,04시 3구간,85.12
18,04시 4구간,85.12
19,05시 1구간,85.12
20,05시 2구간,85.12
21,05시 3구간,85.12
22,05시 4구간,85.12
23,06시 1구간,102.42
24,06시 2구간,102.42
25,06시 3구간,102.42
26,06시 4구간,102.42
27,07시 1구간,106.37
28,07시 2구간,106.37
29,07시 3구간,106.37
30,07시 4구간,106.37
31,08시 1구간,104.78
32,08시 2구간,104.78
33,08시 3구간,104.78
34,08시 4구간,104.78
35,09시 1구간,103.15
36,09시 2구간,103.15
37,09시 3구간,103.15
38,09시 4구간,103.15
39,10시 1구간,98.05
40,10시 2구간,98.05
41,10시 3구간,98.05
42,10시 4구간,98.05
43,11시 1구간,110.37
44,11시 2구간,110.37
45,11시 3구간,110.37
46,11시 4구간,110.37
47,12시 1구간,119.45
48,12시 2구간,80.29
49,12시 3구간,80.29
50,12시 4구간,80.29
51,13시 1구간,72.82
52,13시 2구간,72.82
53,13시 3구간,72.82
54,13시 4구간,72.82
55,14시 1구간,112.0
56,14시 2구간,0.0
57,14시 3구간,0.0
58,14시 4구간,0.0
59,15시 1구간,0.0
60,15시 2구간,0.0
61,15시 3구간,0.0
62,15시 4구간,76.15
63,16시 1구간,79.69
64,16시 2구간,79.69
65,16시 3구간,79.69
66,16시 4구간,79.69
67,17시 1구간,82.46
68,17시 2구간,82.46
69,17시 3구간,82.46
70,17시 4구간,82.46
71,18시 1구간,97.87
72,18시 2구간,97.87
73,18시 3구간,97.87
74,18시 4구간,97.87
75,19시 1구간,108.44
76,19시 2구간,108.44
77,19시 3구간,108.44
78,19시 4구간,108.44
79,20시 1구간,108.44
80,20시 2구간,108.44
81,20시 3구간,108.44
82,20시 4구간,108.44
83,21시 1구간,108.44
84,21시 2구간,108.44
85,21시 3구간,108.44
86,21시 4구간,108.44
87,22시 1구간,108.44
88,22시 2구간,108.44
89,22시 3구간,108.44
90,22시 4구간,108.44
91,23시 1구간,108.44
92,23시 2구간,108.44
93,23시 3구간,108.44
94,23시 4구간,108.44
95,24시 1구간,108.44
96,24시 2구간,108.44
97,24시 3구간,108.44
98,24시 4구간,108.44
