,시간,01-31 (금)
0,최대,166.42
1,최소,0.0
2,가중평균,123.9
3,01시 1구간,115.34
4,01시 2구간,115.34
5,01시 3구간,115.34
6,01시 4구간,115.34
7,02시 1구간,81.96
8,02시 2구간,81.96
9,02시 3구간,81.96
10,02시 4구간,81.96
11,03시 1구간,81.79
12,03시 2구간,81.79
13,03시 3구간,81.79
14,03시 4구간,81.79
15,04시 1구간,81.06
16,04시 2구간,81.06
17,04시 3구간,81.06
18,04시 4구간,81.06
19,05시 1구간,81.13
20,05시 2구간,81.13
21,05시 3구간,81.13
22,05시 4구간,81.13
23,06시 1구간,81.96
24,06시 2구간,81.96
25,06시 3구간,81.96
26,06시 4구간,81.96
27,07시 1구간,101.63
28,07시 2구간,101.63
29,07시 3구간,101.63
30,07시 4구간,101.63
31,08시 1구간,108.27
32,08시 2구간,108.27
33,08시 3구간,108.27
34,08시 4구간,108.27
35,09시 1구간,166.42
36,09시 2구간,166.32
37,09시 3구간,163.05
38,09시 4구간,159.66
39,10시 1구간,161.74
40,10시 2구간,159.45
41,10시 3구간,164.38
42,10시 4구간,154.48
43,11시 1구간,0.0
44,11시 2구간,153.14
45,11시 3구간,152.79
46,11시 4구간,157.77
47,12시 1구간,155.92
48,12시 2구간,155.51
49,12시 3구간,155.51
50,12시 4구간,150.48
51,13시 1구간,136.63
52,13시 2구간,136.63
53,13시 3구간,136.63
54,13시 4구간,136.63
55,14시 1구간,138.88
56,14시 2구간,138.88
57,14시 3구간,138.88
58,14시 4구간,138.88
59,15시 1구간,136.63
60,15시 2구간,136.63
61,15시 3구간,136.63
62,15시 4구간,136.63
63,16시 1구간,136.63
64,16시 2구간,136.63
65,16시 3구간,136.63
66,16시 4구간,136.63
67,17시 1구간,136.36
68,17시 2구간,136.36
69,17시 3구간,157.96
70,17시 4구간,158.07
71,18시 1구간,157.99
72,18시 2구간,157.99
73,18시 3구간,133.09
74,18시 4구간,133.09
75,19시 1구간,133.17
76,19시 2구간,133.17
77,19시 3구간,158.26
78,19시 4구간,158.32
79,20시 1구간,158.33
80,20시 2구간,158.35
81,20시 3구간,156.77
82,20시 4구간,156.11
83,21시 1구간,156.67
84,21시 2구간,156.67
85,21시 3구간,155.74
86,21시 4구간,155.74
87,22시 1구간,114.6
88,22시 2구간,114.6
89,22시 3구간,114.6
90,22시 4구간,114.6
91,23시 1구간,116.3
92,23시 2구간,116.3
93,23시 3구간,116.3
94,23시 4구간,116.3
95,24시 1구간,107.33
96,24시 2구간,107.33
97,24시 3구간,107.33
98,24시 4구간,107.33
