,시간,12-29 (일)
0,최대,93.56
1,최소,73.69
2,가중평균,85.69
3,01시 1구간,92.11
4,01시 2구간,92.11
5,01시 3구간,92.11
6,01시 4구간,92.11
7,02시 1구간,83.88
8,02시 2구간,83.88
9,02시 3구간,83.88
10,02시 4구간,83.88
11,03시 1구간,82.48
12,03시 2구간,82.48
13,03시 3구간,82.48
14,03시 4구간,82.48
15,04시 1구간,81.64
16,04시 2구간,81.64
17,04시 3구간,81.64
18,04시 4구간,81.64
19,05시 1구간,81.8
20,05시 2구간,81.8
21,05시 3구간,81.8
22,05시 4구간,81.8
23,06시 1구간,82.48
24,06시 2구간,82.48
25,06시 3구간,82.48
26,06시 4구간,82.48
27,07시 1구간,83.88
28,07시 2구간,83.88
29,07시 3구간,83.88
30,07시 4구간,83.88
31,08시 1구간,83.88
32,08시 2구간,83.88
33,08시 3구간,83.88
34,08시 4구간,83.88
35,09시 1구간,83.88
36,09시 2구간,83.88
37,09시 3구간,83.88
38,09시 4구간,83.88
39,10시 1구간,79.8
40,10시 2구간,79.8
41,10시 3구간,79.8
42,10시 4구간,79.8
43,11시 1구간,79.14
44,11시 2구간,79.14
45,11시 3구간,79.14
46,11시 4구간,79.14
47,12시 1구간,78.55
48,12시 2구간,78.55
49,12시 3구간,78.55
50,12시 4구간,78.55
51,13시 1구간,73.69
52,13시 2구간,73.69
53,13시 3구간,73.69
54,13시 4구간,73.69
55,14시 1구간,78.55
56,14시 2구간,78.55
57,14시 3구간,78.55
58,14시 4구간,78.55
59,15시 1구간,78.43
60,15시 2구간,78.43
61,15시 3구간,78.43
62,15시 4구간,78.43
63,16시 1구간,80.13
64,16시 2구간,80.13
65,16시 3구간,80.13
66,16시 4구간,80.13
67,17시 1구간,83.88
68,17시 2구간,83.88
69,17시 3구간,83.88
70,17시 4구간,83.88
71,18시 1구간,93.56
72,18시 2구간,93.56
73,18시 3구간,93.56
74,18시 4구간,93.56
75,19시 1구간,93.56
76,19시 2구간,93.56
77,19시 3구간,93.56
78,19시 4구간,93.56
79,20시 1구간,93.56
80,20시 2구간,93.56
81,20시 3구간,93.56
82,20시 4구간,93.56
83,21시 1구간,93.56
84,21시 2구간,93.56
85,21시 3구간,93.56
86,21시 4구간,93.56
87,22시 1구간,93.56
88,22시 2구간,93.56
89,22시 3구간,93.56
90,22시 4구간,93.56
91,23시 1구간,93.56
92,23시 2구간,93.56
93,23시 3구간,93.56
94,23시 4구간,93.56
95,24시 1구간,93.56
96,24시 2구간,93.56
97,24시 3구간,93.56
98,24시 4구간,93.56
