,시간,12-22 (일)
0,최대,120.68
1,최소,84.54
2,가중평균,98.08
3,01시 1구간,98.4
4,01시 2구간,98.4
5,01시 3구간,98.4
6,01시 4구간,98.4
7,02시 1구간,84.54
8,02시 2구간,84.54
9,02시 3구간,84.54
10,02시 4구간,84.54
11,03시 1구간,84.54
12,03시 2구간,84.54
13,03시 3구간,84.54
14,03시 4구간,84.54
15,04시 1구간,84.54
16,04시 2구간,84.54
17,04시 3구간,84.54
18,04시 4구간,84.54
19,05시 1구간,84.54
20,05시 2구간,84.54
21,05시 3구간,84.54
22,05시 4구간,84.54
23,06시 1구간,84.57
24,06시 2구간,84.57
25,06시 3구간,84.57
26,06시 4구간,84.57
27,07시 1구간,92.3
28,07시 2구간,92.3
29,07시 3구간,92.3
30,07시 4구간,92.3
31,08시 1구간,92.97
32,08시 2구간,92.97
33,08시 3구간,92.97
34,08시 4구간,92.97
35,09시 1구간,93.03
36,09시 2구간,93.03
37,09시 3구간,93.03
38,09시 4구간,93.03
39,10시 1구간,120.68
40,10시 2구간,120.68
41,10시 3구간,120.68
42,10시 4구간,120.68
43,11시 1구간,93.2
44,11시 2구간,93.2
45,11시 3구간,93.2
46,11시 4구간,93.2
47,12시 1구간,105.57
48,12시 2구간,105.57
49,12시 3구간,105.57
50,12시 4구간,105.57
51,13시 1구간,105.05
52,13시 2구간,105.05
53,13시 3구간,105.05
54,13시 4구간,105.05
55,14시 1구간,105.17
56,14시 2구간,105.17
57,14시 3구간,105.17
58,14시 4구간,105.17
59,15시 1구간,93.2
60,15시 2구간,93.2
61,15시 3구간,93.2
62,15시 4구간,93.2
63,16시 1구간,92.95
64,16시 2구간,92.95
65,16시 3구간,92.95
66,16시 4구간,92.95
67,17시 1구간,105.13
68,17시 2구간,105.13
69,17시 3구간,105.13
70,17시 4구간,105.13
71,18시 1구간,105.8
72,18시 2구간,105.8
73,18시 3구간,105.8
74,18시 4구간,105.8
75,19시 1구간,105.8
76,19시 2구간,105.8
77,19시 3구간,105.8
78,19시 4구간,105.8
79,20시 1구간,105.81
80,20시 2구간,105.81
81,20시 3구간,105.81
82,20시 4구간,105.81
83,21시 1구간,105.44
84,21시 2구간,105.44
85,21시 3구간,105.44
86,21시 4구간,105.44
87,22시 1구간,103.69
88,22시 2구간,103.69
89,22시 3구간,103.69
90,22시 4구간,103.69
91,23시 1구간,103.71
92,23시 2구간,103.71
93,23시 3구간,103.71
94,23시 4구간,103.71
95,24시 1구간,93.61
96,24시 2구간,93.61
97,24시 3구간,93.61
98,24시 4구간,93.61
