,시간,02-21 (금)
0,최대,155.34
1,최소,-67.16
2,가중평균,96.56
3,01시 1구간,107.9
4,01시 2구간,107.9
5,01시 3구간,107.9
6,01시 4구간,107.9
7,02시 1구간,97.98
8,02시 2구간,97.98
9,02시 3구간,97.98
10,02시 4구간,97.98
11,03시 1구간,102.32
12,03시 2구간,102.32
13,03시 3구간,102.32
14,03시 4구간,102.32
15,04시 1구간,84.33
16,04시 2구간,84.33
17,04시 3구간,84.33
18,04시 4구간,84.33
19,05시 1구간,101.64
20,05시 2구간,101.64
21,05시 3구간,101.64
22,05시 4구간,101.64
23,06시 1구간,101.91
24,06시 2구간,101.91
25,06시 3구간,101.91
26,06시 4구간,101.91
27,07시 1구간,107.07
28,07시 2구간,107.07
29,07시 3구간,107.07
30,07시 4구간,107.07
31,08시 1구간,132.8
32,08시 2구간,132.8
33,08시 3구간,132.8
34,08시 4구간,132.8
35,09시 1구간,138.87
36,09시 2구간,138.87
37,09시 3구간,138.87
38,09시 4구간,138.87
39,10시 1구간,140.85
40,10시 2구간,140.85
41,10시 3구간,140.85
42,10시 4구간,140.85
43,11시 1구간,155.34
44,11시 2구간,155.34
45,11시 3구간,155.34
46,11시 4구간,117.09
47,12시 1구간,140.38
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,-67.16
51,13시 1구간,-67.16
52,13시 2구간,-67.16
53,13시 3구간,-67.16
54,13시 4구간,-67.16
55,14시 1구간,-67.16
56,14시 2구간,-67.16
57,14시 3구간,-67.16
58,14시 4구간,-67.16
59,15시 1구간,-48.0
60,15시 2구간,0.0
61,15시 3구간,0.0
62,15시 4구간,0.0
63,16시 1구간,0.0
64,16시 2구간,112.15
65,16시 3구간,132.81
66,16시 4구간,132.81
67,17시 1구간,132.81
68,17시 2구간,132.81
69,17시 3구간,132.81
70,17시 4구간,132.81
71,18시 1구간,132.81
72,18시 2구간,132.81
73,18시 3구간,132.81
74,18시 4구간,132.81
75,19시 1구간,132.56
76,19시 2구간,132.56
77,19시 3구간,132.56
78,19시 4구간,132.56
79,20시 1구간,126.31
80,20시 2구간,126.31
81,20시 3구간,126.31
82,20시 4구간,126.31
83,21시 1구간,113.91
84,21시 2구간,113.91
85,21시 3구간,113.91
86,21시 4구간,113.91
87,22시 1구간,113.67
88,22시 2구간,113.67
89,22시 3구간,113.67
90,22시 4구간,113.67
91,23시 1구간,113.9
92,23시 2구간,113.9
93,23시 3구간,113.9
94,23시 4구간,113.9
95,24시 1구간,113.9
96,24시 2구간,113.9
97,24시 3구간,113.9
98,24시 4구간,113.9
