,시간,01-08 (수)
0,최대,161.72
1,최소,81.97
2,가중평균,128.38
3,01시 1구간,85.04
4,01시 2구간,85.04
5,01시 3구간,85.04
6,01시 4구간,85.04
7,02시 1구간,81.97
8,02시 2구간,81.97
9,02시 3구간,81.97
10,02시 4구간,81.97
11,03시 1구간,81.97
12,03시 2구간,81.97
13,03시 3구간,81.97
14,03시 4구간,81.97
15,04시 1구간,81.97
16,04시 2구간,81.97
17,04시 3구간,81.97
18,04시 4구간,81.97
19,05시 1구간,81.97
20,05시 2구간,81.97
21,05시 3구간,81.97
22,05시 4구간,81.97
23,06시 1구간,81.97
24,06시 2구간,81.97
25,06시 3구간,81.97
26,06시 4구간,81.97
27,07시 1구간,83.37
28,07시 2구간,83.37
29,07시 3구간,83.37
30,07시 4구간,83.37
31,08시 1구간,112.78
32,08시 2구간,112.78
33,08시 3구간,112.78
34,08시 4구간,112.78
35,09시 1구간,140.44
36,09시 2구간,140.44
37,09시 3구간,140.44
38,09시 4구간,140.44
39,10시 1구간,161.72
40,10시 2구간,161.72
41,10시 3구간,161.72
42,10시 4구간,161.72
43,11시 1구간,159.39
44,11시 2구간,148.0
45,11시 3구간,147.99
46,11시 4구간,147.99
47,12시 1구간,159.97
48,12시 2구간,158.33
49,12시 3구간,149.25
50,12시 4구간,133.25
51,13시 1구간,133.25
52,13시 2구간,148.64
53,13시 3구간,148.29
54,13시 4구간,148.61
55,14시 1구간,153.33
56,14시 2구간,153.44
57,14시 3구간,153.46
58,14시 4구간,153.48
59,15시 1구간,153.61
60,15시 2구간,153.62
61,15시 3구간,153.55
62,15시 4구간,152.67
63,16시 1구간,154.19
64,16시 2구간,155.65
65,16시 3구간,160.86
66,16시 4구간,160.86
67,17시 1구간,153.52
68,17시 2구간,153.45
69,17시 3구간,153.38
70,17시 4구간,153.31
71,18시 1구간,153.24
72,18시 2구간,153.17
73,18시 3구간,153.11
74,18시 4구간,153.04
75,19시 1구간,152.97
76,19시 2구간,152.88
77,19시 3구간,152.79
78,19시 4구간,152.71
79,20시 1구간,152.63
80,20시 2구간,152.67
81,20시 3구간,152.68
82,20시 4구간,152.69
83,21시 1구간,152.7
84,21시 2구간,152.72
85,21시 3구간,152.73
86,21시 4구간,152.74
87,22시 1구간,116.06
88,22시 2구간,116.06
89,22시 3구간,116.06
90,22시 4구간,116.06
91,23시 1구간,120.82
92,23시 2구간,120.82
93,23시 3구간,120.82
94,23시 4구간,120.82
95,24시 1구간,121.0
96,24시 2구간,121.0
97,24시 3구간,121.0
98,24시 4구간,121.0
