,시간,01-17 (금)
0,최대,158.68
1,최소,101.75
2,가중평균,135.46
3,01시 1구간,108.26
4,01시 2구간,108.26
5,01시 3구간,108.26
6,01시 4구간,108.26
7,02시 1구간,115.79
8,02시 2구간,115.79
9,02시 3구간,115.79
10,02시 4구간,115.79
11,03시 1구간,102.0
12,03시 2구간,102.0
13,03시 3구간,102.0
14,03시 4구간,102.0
15,04시 1구간,101.75
16,04시 2구간,101.75
17,04시 3구간,101.75
18,04시 4구간,101.75
19,05시 1구간,102.0
20,05시 2구간,102.0
21,05시 3구간,102.0
22,05시 4구간,102.0
23,06시 1구간,106.5
24,06시 2구간,106.5
25,06시 3구간,106.5
26,06시 4구간,106.5
27,07시 1구간,111.06
28,07시 2구간,111.06
29,07시 3구간,111.06
30,07시 4구간,111.06
31,08시 1구간,154.47
32,08시 2구간,154.47
33,08시 3구간,154.47
34,08시 4구간,154.28
35,09시 1구간,154.28
36,09시 2구간,154.24
37,09시 3구간,154.19
38,09시 4구간,154.15
39,10시 1구간,158.68
40,10시 2구간,158.68
41,10시 3구간,158.68
42,10시 4구간,158.68
43,11시 1구간,154.07
44,11시 2구간,154.07
45,11시 3구간,154.08
46,11시 4구간,154.09
47,12시 1구간,155.41
48,12시 2구간,155.42
49,12시 3구간,155.42
50,12시 4구간,155.43
51,13시 1구간,136.23
52,13시 2구간,136.23
53,13시 3구간,136.23
54,13시 4구간,136.23
55,14시 1구간,136.23
56,14시 2구간,136.23
57,14시 3구간,136.23
58,14시 4구간,136.23
59,15시 1구간,138.88
60,15시 2구간,138.88
61,15시 3구간,138.88
62,15시 4구간,138.88
63,16시 1구간,138.88
64,16시 2구간,138.88
65,16시 3구간,138.88
66,16시 4구간,138.88
67,17시 1구간,145.73
68,17시 2구간,145.73
69,17시 3구간,155.04
70,17시 4구간,154.98
71,18시 1구간,145.99
72,18시 2구간,145.99
73,18시 3구간,155.03
74,18시 4구간,155.28
75,19시 1구간,154.12
76,19시 2구간,154.18
77,19시 3구간,154.24
78,19시 4구간,154.06
79,20시 1구간,154.09
80,20시 2구간,154.14
81,20시 3구간,154.2
82,20시 4구간,153.99
83,21시 1구간,153.98
84,21시 2구간,154.06
85,21시 3구간,154.13
86,21시 4구간,154.29
87,22시 1구간,154.38
88,22시 2구간,154.44
89,22시 3구간,154.53
90,22시 4구간,154.45
91,23시 1구간,115.62
92,23시 2구간,115.62
93,23시 3구간,115.62
94,23시 4구간,115.62
95,24시 1구간,114.61
96,24시 2구간,114.61
97,24시 3구간,114.61
98,24시 4구간,114.61
