,시간,01-10 (금)
0,최대,163.15
1,최소,101.97
2,가중평균,138.2
3,01시 1구간,124.44
4,01시 2구간,124.44
5,01시 3구간,124.44
6,01시 4구간,124.44
7,02시 1구간,112.6
8,02시 2구간,112.6
9,02시 3구간,112.6
10,02시 4구간,112.6
11,03시 1구간,106.2
12,03시 2구간,106.2
13,03시 3구간,106.2
14,03시 4구간,106.2
15,04시 1구간,101.97
16,04시 2구간,101.97
17,04시 3구간,101.97
18,04시 4구간,101.97
19,05시 1구간,101.97
20,05시 2구간,101.97
21,05시 3구간,101.97
22,05시 4구간,101.97
23,06시 1구간,112.52
24,06시 2구간,112.52
25,06시 3구간,112.52
26,06시 4구간,112.52
27,07시 1구간,117.05
28,07시 2구간,117.05
29,07시 3구간,117.05
30,07시 4구간,117.05
31,08시 1구간,138.02
32,08시 2구간,138.02
33,08시 3구간,138.02
34,08시 4구간,138.02
35,09시 1구간,147.83
36,09시 2구간,147.83
37,09시 3구간,147.83
38,09시 4구간,147.83
39,10시 1구간,163.15
40,10시 2구간,163.15
41,10시 3구간,163.15
42,10시 4구간,163.15
43,11시 1구간,147.2
44,11시 2구간,147.2
45,11시 3구간,147.2
46,11시 4구간,147.2
47,12시 1구간,147.33
48,12시 2구간,147.33
49,12시 3구간,147.33
50,12시 4구간,147.33
51,13시 1구간,140.19
52,13시 2구간,140.19
53,13시 3구간,140.19
54,13시 4구간,140.19
55,14시 1구간,140.26
56,14시 2구간,140.26
57,14시 3구간,140.26
58,14시 4구간,140.26
59,15시 1구간,144.0
60,15시 2구간,144.0
61,15시 3구간,144.0
62,15시 4구간,144.0
63,16시 1구간,140.85
64,16시 2구간,140.85
65,16시 3구간,140.85
66,16시 4구간,140.85
67,17시 1구간,156.37
68,17시 2구간,156.37
69,17시 3구간,156.37
70,17시 4구간,156.37
71,18시 1구간,148.37
72,18시 2구간,148.25
73,18시 3구간,148.14
74,18시 4구간,148.49
75,19시 1구간,139.21
76,19시 2구간,149.09
77,19시 3구간,148.97
78,19시 4구간,150.95
79,20시 1구간,150.91
80,20시 2구간,150.86
81,20시 3구간,150.81
82,20시 4구간,150.75
83,21시 1구간,150.68
84,21시 2구간,150.63
85,21시 3구간,150.59
86,21시 4구간,150.54
87,22시 1구간,149.89
88,22시 2구간,149.85
89,22시 3구간,149.8
90,22시 4구간,149.76
91,23시 1구간,148.61
92,23시 2구간,149.36
93,23시 3구간,148.09
94,23시 4구간,148.09
95,24시 1구간,148.09
96,24시 2구간,148.09
97,24시 3구간,148.09
98,24시 4구간,148.61
