,시간,02-18 (화)
0,최대,149.48
1,최소,-67.16
2,가중평균,102.22
3,01시 1구간,122.64
4,01시 2구간,122.64
5,01시 3구간,122.64
6,01시 4구간,122.64
7,02시 1구간,102.15
8,02시 2구간,102.15
9,02시 3구간,102.15
10,02시 4구간,102.15
11,03시 1구간,98.46
12,03시 2구간,98.46
13,03시 3구간,98.46
14,03시 4구간,98.46
15,04시 1구간,98.46
16,04시 2구간,98.46
17,04시 3구간,98.46
18,04시 4구간,98.46
19,05시 1구간,98.46
20,05시 2구간,98.46
21,05시 3구간,98.46
22,05시 4구간,98.46
23,06시 1구간,99.51
24,06시 2구간,99.51
25,06시 3구간,99.51
26,06시 4구간,99.51
27,07시 1구간,113.01
28,07시 2구간,113.01
29,07시 3구간,113.01
30,07시 4구간,113.01
31,08시 1구간,128.93
32,08시 2구간,128.93
33,08시 3구간,128.93
34,08시 4구간,128.93
35,09시 1구간,143.78
36,09시 2구간,143.78
37,09시 3구간,143.78
38,09시 4구간,143.78
39,10시 1구간,149.48
40,10시 2구간,145.95
41,10시 3구간,149.48
42,10시 4구간,149.48
43,11시 1구간,145.96
44,11시 2구간,145.96
45,11시 3구간,145.96
46,11시 4구간,145.96
47,12시 1구간,142.19
48,12시 2구간,112.64
49,12시 3구간,0.0
50,12시 4구간,-67.16
51,13시 1구간,-67.16
52,13시 2구간,-67.16
53,13시 3구간,-67.16
54,13시 4구간,-67.16
55,14시 1구간,-67.16
56,14시 2구간,-67.16
57,14시 3구간,-67.16
58,14시 4구간,-67.16
59,15시 1구간,-67.16
60,15시 2구간,-67.16
61,15시 3구간,-48.0
62,15시 4구간,0.0
63,16시 1구간,112.42
64,16시 2구간,131.05
65,16시 3구간,131.05
66,16시 4구간,112.18
67,17시 1구간,131.05
68,17시 2구간,131.05
69,17시 3구간,131.05
70,17시 4구간,131.05
71,18시 1구간,131.05
72,18시 2구간,131.05
73,18시 3구간,131.05
74,18시 4구간,131.05
75,19시 1구간,130.78
76,19시 2구간,147.78
77,19시 3구간,147.78
78,19시 4구간,147.78
79,20시 1구간,129.98
80,20시 2구간,129.98
81,20시 3구간,129.98
82,20시 4구간,129.98
83,21시 1구간,129.9
84,21시 2구간,129.9
85,21시 3구간,129.9
86,21시 4구간,129.9
87,22시 1구간,147.6
88,22시 2구간,147.59
89,22시 3구간,147.58
90,22시 4구간,147.57
91,23시 1구간,147.42
92,23시 2구간,125.25
93,23시 3구간,125.25
94,23시 4구간,125.25
95,24시 1구간,113.94
96,24시 2구간,113.94
97,24시 3구간,113.94
98,24시 4구간,113.94
