,시간,01-30 (목)
0,최대,158.23
1,최소,-48.0
2,가중평균,106.06
3,01시 1구간,154.76
4,01시 2구간,154.82
5,01시 3구간,120.69
6,01시 4구간,121.85
7,02시 1구간,150.94
8,02시 2구간,151.16
9,02시 3구간,150.0
10,02시 4구간,152.91
11,03시 1구간,153.23
12,03시 2구간,149.19
13,03시 3구간,81.14
14,03시 4구간,81.14
15,04시 1구간,79.87
16,04시 2구간,79.87
17,04시 3구간,79.87
18,04시 4구간,79.87
19,05시 1구간,79.87
20,05시 2구간,79.87
21,05시 3구간,79.87
22,05시 4구간,79.87
23,06시 1구간,97.63
24,06시 2구간,97.63
25,06시 3구간,97.63
26,06시 4구간,97.63
27,07시 1구간,97.63
28,07시 2구간,97.63
29,07시 3구간,153.85
30,07시 4구간,97.63
31,08시 1구간,158.23
32,08시 2구간,155.6
33,08시 3구간,155.87
34,08시 4구간,97.63
35,09시 1구간,97.63
36,09시 2구간,97.63
37,09시 3구간,97.63
38,09시 4구간,97.63
39,10시 1구간,107.7
40,10시 2구간,107.7
41,10시 3구간,107.7
42,10시 4구간,107.7
43,11시 1구간,109.31
44,11시 2구간,109.31
45,11시 3구간,109.31
46,11시 4구간,109.31
47,12시 1구간,109.28
48,12시 2구간,109.28
49,12시 3구간,0.0
50,12시 4구간,-48.0
51,13시 1구간,109.39
52,13시 2구간,109.39
53,13시 3구간,109.39
54,13시 4구간,109.39
55,14시 1구간,103.7
56,14시 2구간,103.7
57,14시 3구간,103.7
58,14시 4구간,103.7
59,15시 1구간,98.47
60,15시 2구간,98.47
61,15시 3구간,98.47
62,15시 4구간,98.47
63,16시 1구간,76.68
64,16시 2구간,76.68
65,16시 3구간,76.68
66,16시 4구간,76.68
67,17시 1구간,98.42
68,17시 2구간,98.42
69,17시 3구간,98.42
70,17시 4구간,98.42
71,18시 1구간,104.3
72,18시 2구간,104.3
73,18시 3구간,104.3
74,18시 4구간,104.3
75,19시 1구간,104.62
76,19시 2구간,157.39
77,19시 3구간,104.62
78,19시 4구간,120.52
79,20시 1구간,104.62
80,20시 2구간,104.62
81,20시 3구간,104.62
82,20시 4구간,104.62
83,21시 1구간,104.62
84,21시 2구간,104.62
85,21시 3구간,104.62
86,21시 4구간,104.62
87,22시 1구간,104.62
88,22시 2구간,104.62
89,22시 3구간,104.62
90,22시 4구간,104.62
91,23시 1구간,104.44
92,23시 2구간,104.44
93,23시 3구간,104.44
94,23시 4구간,104.44
95,24시 1구간,104.46
96,24시 2구간,104.46
97,24시 3구간,104.46
98,24시 4구간,104.46
