,시간,12-27 (금)
0,최대,169.56
1,최소,81.71
2,가중평균,116.53
3,01시 1구간,88.68
4,01시 2구간,88.68
5,01시 3구간,88.68
6,01시 4구간,88.68
7,02시 1구간,81.71
8,02시 2구간,81.71
9,02시 3구간,81.71
10,02시 4구간,81.71
11,03시 1구간,81.71
12,03시 2구간,81.71
13,03시 3구간,81.71
14,03시 4구간,81.71
15,04시 1구간,81.71
16,04시 2구간,81.71
17,04시 3구간,81.71
18,04시 4구간,81.71
19,05시 1구간,81.71
20,05시 2구간,81.71
21,05시 3구간,81.71
22,05시 4구간,81.71
23,06시 1구간,81.71
24,06시 2구간,81.71
25,06시 3구간,81.71
26,06시 4구간,81.71
27,07시 1구간,84.57
28,07시 2구간,84.57
29,07시 3구간,84.57
30,07시 4구간,84.57
31,08시 1구간,116.29
32,08시 2구간,116.29
33,08시 3구간,116.29
34,08시 4구간,116.29
35,09시 1구간,143.0
36,09시 2구간,143.0
37,09시 3구간,143.0
38,09시 4구간,143.0
39,10시 1구간,169.16
40,10시 2구간,169.42
41,10시 3구간,169.56
42,10시 4구간,150.71
43,11시 1구간,140.42
44,11시 2구간,140.42
45,11시 3구간,140.42
46,11시 4구간,140.42
47,12시 1구간,142.45
48,12시 2구간,142.45
49,12시 3구간,142.45
50,12시 4구간,142.45
51,13시 1구간,136.93
52,13시 2구간,136.93
53,13시 3구간,136.93
54,13시 4구간,136.93
55,14시 1구간,143.06
56,14시 2구간,143.06
57,14시 3구간,143.06
58,14시 4구간,143.06
59,15시 1구간,136.73
60,15시 2구간,136.73
61,15시 3구간,136.73
62,15시 4구간,136.73
63,16시 1구간,150.82
64,16시 2구간,150.82
65,16시 3구간,150.82
66,16시 4구간,150.82
67,17시 1구간,136.73
68,17시 2구간,136.73
69,17시 3구간,136.73
70,17시 4구간,136.73
71,18시 1구간,128.83
72,18시 2구간,128.83
73,18시 3구간,129.27
74,18시 4구간,128.83
75,19시 1구간,128.76
76,19시 2구간,128.76
77,19시 3구간,128.76
78,19시 4구간,128.76
79,20시 1구간,120.02
80,20시 2구간,120.02
81,20시 3구간,120.02
82,20시 4구간,120.02
83,21시 1구간,109.49
84,21시 2구간,109.49
85,21시 3구간,109.49
86,21시 4구간,109.49
87,22시 1구간,92.27
88,22시 2구간,92.27
89,22시 3구간,92.27
90,22시 4구간,92.27
91,23시 1구간,92.04
92,23시 2구간,92.04
93,23시 3구간,92.04
94,23시 4구간,92.04
95,24시 1구간,93.12
96,24시 2구간,93.12
97,24시 3구간,93.12
98,24시 4구간,93.12
