,시간,02-23 (일)
0,최대,104.96
1,최소,6.21
2,가중평균,88.29
3,01시 1구간,104.96
4,01시 2구간,104.96
5,01시 3구간,104.96
6,01시 4구간,104.96
7,02시 1구간,86.42
8,02시 2구간,86.42
9,02시 3구간,86.42
10,02시 4구간,86.42
11,03시 1구간,86.39
12,03시 2구간,86.39
13,03시 3구간,86.39
14,03시 4구간,86.39
15,04시 1구간,84.98
16,04시 2구간,84.98
17,04시 3구간,84.98
18,04시 4구간,84.98
19,05시 1구간,85.83
20,05시 2구간,85.83
21,05시 3구간,85.83
22,05시 4구간,85.83
23,06시 1구간,86.43
24,06시 2구간,86.43
25,06시 3구간,86.43
26,06시 4구간,86.43
27,07시 1구간,98.4
28,07시 2구간,98.4
29,07시 3구간,98.4
30,07시 4구간,98.4
31,08시 1구간,97.34
32,08시 2구간,97.34
33,08시 3구간,97.34
34,08시 4구간,97.34
35,09시 1구간,81.85
36,09시 2구간,81.85
37,09시 3구간,81.85
38,09시 4구간,81.85
39,10시 1구간,79.67
40,10시 2구간,79.67
41,10시 3구간,79.67
42,10시 4구간,79.67
43,11시 1구간,98.31
44,11시 2구간,98.31
45,11시 3구간,98.31
46,11시 4구간,98.31
47,12시 1구간,72.76
48,12시 2구간,72.76
49,12시 3구간,72.76
50,12시 4구간,72.76
51,13시 1구간,72.76
52,13시 2구간,72.76
53,13시 3구간,72.76
54,13시 4구간,72.76
55,14시 1구간,6.21
56,14시 2구간,6.21
57,14시 3구간,6.21
58,14시 4구간,6.21
59,15시 1구간,72.76
60,15시 2구간,72.76
61,15시 3구간,72.76
62,15시 4구간,72.76
63,16시 1구간,72.76
64,16시 2구간,72.76
65,16시 3구간,72.76
66,16시 4구간,72.76
67,17시 1구간,79.67
68,17시 2구간,79.67
69,17시 3구간,79.67
70,17시 4구간,79.67
71,18시 1구간,96.13
72,18시 2구간,96.13
73,18시 3구간,96.13
74,18시 4구간,96.13
75,19시 1구간,104.96
76,19시 2구간,104.96
77,19시 3구간,104.96
78,19시 4구간,104.96
79,20시 1구간,104.96
80,20시 2구간,104.96
81,20시 3구간,104.96
82,20시 4구간,104.96
83,21시 1구간,98.27
84,21시 2구간,98.27
85,21시 3구간,98.27
86,21시 4구간,98.27
87,22시 1구간,104.96
88,22시 2구간,104.96
89,22시 3구간,104.96
90,22시 4구간,104.96
91,23시 1구간,103.97
92,23시 2구간,103.97
93,23시 3구간,103.97
94,23시 4구간,103.97
95,24시 1구간,104.96
96,24시 2구간,104.96
97,24시 3구간,104.96
98,24시 4구간,104.96
