,시간,02-09 (일)
0,최대,111.85
1,최소,82.99
2,가중평균,102.05
3,01시 1구간,103.41
4,01시 2구간,103.41
5,01시 3구간,103.41
6,01시 4구간,103.41
7,02시 1구간,99.27
8,02시 2구간,99.27
9,02시 3구간,99.27
10,02시 4구간,99.27
11,03시 1구간,99.08
12,03시 2구간,99.08
13,03시 3구간,99.08
14,03시 4구간,99.08
15,04시 1구간,82.99
16,04시 2구간,82.99
17,04시 3구간,82.99
18,04시 4구간,82.99
19,05시 1구간,82.99
20,05시 2구간,82.99
21,05시 3구간,82.99
22,05시 4구간,82.99
23,06시 1구간,98.46
24,06시 2구간,98.46
25,06시 3구간,98.46
26,06시 4구간,98.46
27,07시 1구간,99.15
28,07시 2구간,99.15
29,07시 3구간,99.15
30,07시 4구간,99.15
31,08시 1구간,102.61
32,08시 2구간,102.61
33,08시 3구간,102.61
34,08시 4구간,102.61
35,09시 1구간,103.48
36,09시 2구간,103.48
37,09시 3구간,103.48
38,09시 4구간,103.48
39,10시 1구간,103.74
40,10시 2구간,103.74
41,10시 3구간,103.74
42,10시 4구간,103.74
43,11시 1구간,106.34
44,11시 2구간,106.34
45,11시 3구간,106.34
46,11시 4구간,106.34
47,12시 1구간,103.74
48,12시 2구간,103.74
49,12시 3구간,103.74
50,12시 4구간,103.74
51,13시 1구간,104.56
52,13시 2구간,104.56
53,13시 3구간,104.56
54,13시 4구간,104.56
55,14시 1구간,103.74
56,14시 2구간,103.74
57,14시 3구간,103.74
58,14시 4구간,103.74
59,15시 1구간,103.64
60,15시 2구간,103.64
61,15시 3구간,103.64
62,15시 4구간,103.64
63,16시 1구간,102.95
64,16시 2구간,102.95
65,16시 3구간,102.95
66,16시 4구간,102.95
67,17시 1구간,103.74
68,17시 2구간,103.74
69,17시 3구간,103.74
70,17시 4구간,103.74
71,18시 1구간,106.23
72,18시 2구간,106.23
73,18시 3구간,106.23
74,18시 4구간,106.23
75,19시 1구간,111.85
76,19시 2구간,111.85
77,19시 3구간,111.85
78,19시 4구간,111.85
79,20시 1구간,108.84
80,20시 2구간,108.84
81,20시 3구간,108.84
82,20시 4구간,108.84
83,21시 1구간,103.48
84,21시 2구간,103.48
85,21시 3구간,103.48
86,21시 4구간,103.48
87,22시 1구간,103.48
88,22시 2구간,103.48
89,22시 3구간,103.48
90,22시 4구간,103.48
91,23시 1구간,103.48
92,23시 2구간,103.48
93,23시 3구간,103.48
94,23시 4구간,103.48
95,24시 1구간,103.48
96,24시 2구간,103.48
97,24시 3구간,103.48
98,24시 4구간,103.48
