,시간,02-01 (토)
0,최대,151.16
1,최소,82.77
2,가중평균,102.66
3,01시 1구간,103.21
4,01시 2구간,103.21
5,01시 3구간,103.21
6,01시 4구간,103.21
7,02시 1구간,98.71
8,02시 2구간,98.71
9,02시 3구간,98.71
10,02시 4구간,98.71
11,03시 1구간,82.77
12,03시 2구간,82.77
13,03시 3구간,82.77
14,03시 4구간,82.77
15,04시 1구간,82.77
16,04시 2구간,82.77
17,04시 3구간,82.77
18,04시 4구간,82.77
19,05시 1구간,82.77
20,05시 2구간,82.77
21,05시 3구간,82.77
22,05시 4구간,82.77
23,06시 1구간,82.77
24,06시 2구간,82.77
25,06시 3구간,82.77
26,06시 4구간,82.77
27,07시 1구간,84.47
28,07시 2구간,84.47
29,07시 3구간,84.47
30,07시 4구간,84.47
31,08시 1구간,84.47
32,08시 2구간,84.47
33,08시 3구간,84.47
34,08시 4구간,84.47
35,09시 1구간,99.51
36,09시 2구간,99.51
37,09시 3구간,99.51
38,09시 4구간,99.51
39,10시 1구간,105.95
40,10시 2구간,105.95
41,10시 3구간,105.95
42,10시 4구간,105.95
43,11시 1구간,132.56
44,11시 2구간,132.56
45,11시 3구간,132.56
46,11시 4구간,132.56
47,12시 1구간,151.16
48,12시 2구간,151.16
49,12시 3구간,151.16
50,12시 4구간,151.16
51,13시 1구간,113.57
52,13시 2구간,113.57
53,13시 3구간,113.57
54,13시 4구간,113.57
55,14시 1구간,110.31
56,14시 2구간,110.31
57,14시 3구간,110.31
58,14시 4구간,110.31
59,15시 1구간,104.88
60,15시 2구간,104.88
61,15시 3구간,104.88
62,15시 4구간,104.88
63,16시 1구간,104.97
64,16시 2구간,104.97
65,16시 3구간,104.97
66,16시 4구간,104.97
67,17시 1구간,105.01
68,17시 2구간,105.01
69,17시 3구간,105.01
70,17시 4구간,105.01
71,18시 1구간,103.66
72,18시 2구간,103.66
73,18시 3구간,103.66
74,18시 4구간,103.66
75,19시 1구간,103.6
76,19시 2구간,103.6
77,19시 3구간,103.6
78,19시 4구간,103.6
79,20시 1구간,103.41
80,20시 2구간,103.41
81,20시 3구간,103.41
82,20시 4구간,103.41
83,21시 1구간,103.23
84,21시 2구간,103.23
85,21시 3구간,103.23
86,21시 4구간,103.23
87,22시 1구간,100.17
88,22시 2구간,100.17
89,22시 3구간,100.17
90,22시 4구간,100.17
91,23시 1구간,99.92
92,23시 2구간,99.92
93,23시 3구간,99.92
94,23시 4구간,99.92
95,24시 1구간,100.37
96,24시 2구간,100.37
97,24시 3구간,100.37
98,24시 4구간,100.37
