,시간,03-06 (목)
0,최대,152.32
1,최소,-69.76
2,가중평균,99.39
3,01시 1구간,96.15
4,01시 2구간,96.15
5,01시 3구간,96.15
6,01시 4구간,96.15
7,02시 1구간,85.9
8,02시 2구간,85.9
9,02시 3구간,85.9
10,02시 4구간,85.9
11,03시 1구간,85.62
12,03시 2구간,85.62
13,03시 3구간,85.62
14,03시 4구간,85.62
15,04시 1구간,85.62
16,04시 2구간,85.62
17,04시 3구간,85.62
18,04시 4구간,85.62
19,05시 1구간,85.62
20,05시 2구간,85.62
21,05시 3구간,85.62
22,05시 4구간,85.62
23,06시 1구간,85.9
24,06시 2구간,85.9
25,06시 3구간,85.9
26,06시 4구간,85.9
27,07시 1구간,96.9
28,07시 2구간,96.9
29,07시 3구간,96.9
30,07시 4구간,96.9
31,08시 1구간,97.84
32,08시 2구간,97.84
33,08시 3구간,97.84
34,08시 4구간,97.84
35,09시 1구간,145.67
36,09시 2구간,145.74
37,09시 3구간,145.82
38,09시 4구간,145.83
39,10시 1구간,152.32
40,10시 2구간,152.25
41,10시 3구간,152.18
42,10시 4구간,152.24
43,11시 1구간,151.39
44,11시 2구간,151.39
45,11시 3구간,151.39
46,11시 4구간,151.39
47,12시 1구간,130.22
48,12시 2구간,130.22
49,12시 3구간,130.22
50,12시 4구간,144.13
51,13시 1구간,108.89
52,13시 2구간,-69.76
53,13시 3구간,-69.76
54,13시 4구간,-69.76
55,14시 1구간,-69.76
56,14시 2구간,-69.76
57,14시 3구간,-48.0
58,14시 4구간,-48.0
59,15시 1구간,143.74
60,15시 2구간,146.58
61,15시 3구간,113.79
62,15시 4구간,113.79
63,16시 1구간,113.36
64,16시 2구간,113.36
65,16시 3구간,113.36
66,16시 4구간,113.36
67,17시 1구간,113.94
68,17시 2구간,113.94
69,17시 3구간,113.94
70,17시 4구간,113.94
71,18시 1구간,144.33
72,18시 2구간,147.04
73,18시 3구간,146.89
74,18시 4구간,147.1
75,19시 1구간,113.96
76,19시 2구간,113.96
77,19시 3구간,114.27
78,19시 4구간,114.27
79,20시 1구간,113.08
80,20시 2구간,113.08
81,20시 3구간,113.08
82,20시 4구간,113.08
83,21시 1구간,101.11
84,21시 2구간,101.11
85,21시 3구간,101.11
86,21시 4구간,101.11
87,22시 1구간,97.84
88,22시 2구간,97.84
89,22시 3구간,97.84
90,22시 4구간,97.84
91,23시 1구간,97.84
92,23시 2구간,97.84
93,23시 3구간,97.84
94,23시 4구간,97.84
95,24시 1구간,97.84
96,24시 2구간,97.84
97,24시 3구간,97.84
98,24시 4구간,97.84
