,시간,12-13 (금)
0,최대,166.91
1,최소,91.13
2,가중평균,134.6
3,01시 1구간,108.02
4,01시 2구간,108.02
5,01시 3구간,108.02
6,01시 4구간,108.02
7,02시 1구간,98.56
8,02시 2구간,98.56
9,02시 3구간,98.56
10,02시 4구간,98.56
11,03시 1구간,91.58
12,03시 2구간,91.58
13,03시 3구간,91.58
14,03시 4구간,91.58
15,04시 1구간,91.13
16,04시 2구간,91.13
17,04시 3구간,91.13
18,04시 4구간,91.13
19,05시 1구간,91.66
20,05시 2구간,91.66
21,05시 3구간,91.66
22,05시 4구간,91.66
23,06시 1구간,111.58
24,06시 2구간,111.58
25,06시 3구간,111.58
26,06시 4구간,111.58
27,07시 1구간,101.9
28,07시 2구간,101.9
29,07시 3구간,101.9
30,07시 4구간,101.9
31,08시 1구간,141.19
32,08시 2구간,141.19
33,08시 3구간,141.19
34,08시 4구간,141.19
35,09시 1구간,154.1
36,09시 2구간,154.1
37,09시 3구간,154.1
38,09시 4구간,154.1
39,10시 1구간,166.91
40,10시 2구간,166.91
41,10시 3구간,166.91
42,10시 4구간,166.91
43,11시 1구간,154.12
44,11시 2구간,154.46
45,11시 3구간,154.74
46,11시 4구간,154.9
47,12시 1구간,151.74
48,12시 2구간,151.93
49,12시 3구간,152.11
50,12시 4구간,152.27
51,13시 1구간,152.43
52,13시 2구간,152.57
53,13시 3구간,152.7
54,13시 4구간,152.82
55,14시 1구간,152.93
56,14시 2구간,153.03
57,14시 3구간,153.13
58,14시 4구간,153.23
59,15시 1구간,153.31
60,15시 2구간,153.39
61,15시 3구간,137.22
62,15시 4구간,137.22
63,16시 1구간,141.99
64,16시 2구간,141.99
65,16시 3구간,141.99
66,16시 4구간,154.21
67,17시 1구간,154.29
68,17시 2구간,154.29
69,17시 3구간,154.28
70,17시 4구간,154.28
71,18시 1구간,154.44
72,18시 2구간,154.44
73,18시 3구간,154.43
74,18시 4구간,154.43
75,19시 1구간,154.43
76,19시 2구간,154.5
77,19시 3구간,154.58
78,19시 4구간,154.65
79,20시 1구간,154.71
80,20시 2구간,154.78
81,20시 3구간,154.84
82,20시 4구간,154.9
83,21시 1구간,117.27
84,21시 2구간,117.27
85,21시 3구간,117.27
86,21시 4구간,117.27
87,22시 1구간,123.01
88,22시 2구간,123.01
89,22시 3구간,123.01
90,22시 4구간,123.01
91,23시 1구간,154.88
92,23시 2구간,154.88
93,23시 3구간,154.88
94,23시 4구간,154.88
95,24시 1구간,111.93
96,24시 2구간,111.93
97,24시 3구간,111.93
98,24시 4구간,111.93
