,시간,12-12 (목)
0,최대,162.48
1,최소,91.18
2,가중평균,130.89
3,01시 1구간,102.61
4,01시 2구간,102.61
5,01시 3구간,102.61
6,01시 4구간,102.61
7,02시 1구간,91.54
8,02시 2구간,91.54
9,02시 3구간,91.54
10,02시 4구간,91.54
11,03시 1구간,91.61
12,03시 2구간,91.61
13,03시 3구간,91.61
14,03시 4구간,91.61
15,04시 1구간,91.18
16,04시 2구간,91.18
17,04시 3구간,91.18
18,04시 4구간,91.18
19,05시 1구간,91.52
20,05시 2구간,91.52
21,05시 3구간,91.52
22,05시 4구간,91.52
23,06시 1구간,91.71
24,06시 2구간,91.71
25,06시 3구간,91.71
26,06시 4구간,91.71
27,07시 1구간,112.75
28,07시 2구간,112.75
29,07시 3구간,112.75
30,07시 4구간,112.75
31,08시 1구간,120.77
32,08시 2구간,120.77
33,08시 3구간,120.77
34,08시 4구간,144.86
35,09시 1구간,158.57
36,09시 2구간,158.57
37,09시 3구간,158.57
38,09시 4구간,158.57
39,10시 1구간,158.57
40,10시 2구간,158.57
41,10시 3구간,158.57
42,10시 4구간,145.42
43,11시 1구간,162.48
44,11시 2구간,162.48
45,11시 3구간,162.48
46,11시 4구간,162.48
47,12시 1구간,156.04
48,12시 2구간,156.04
49,12시 3구간,156.04
50,12시 4구간,156.04
51,13시 1구간,137.8
52,13시 2구간,137.8
53,13시 3구간,137.8
54,13시 4구간,137.8
55,14시 1구간,137.72
56,14시 2구간,137.72
57,14시 3구간,137.72
58,14시 4구간,137.72
59,15시 1구간,137.72
60,15시 2구간,137.72
61,15시 3구간,137.72
62,15시 4구간,137.72
63,16시 1구간,137.72
64,16시 2구간,137.72
65,16시 3구간,137.72
66,16시 4구간,137.72
67,17시 1구간,156.04
68,17시 2구간,156.04
69,17시 3구간,156.04
70,17시 4구간,156.04
71,18시 1구간,145.72
72,18시 2구간,145.72
73,18시 3구간,145.72
74,18시 4구간,145.72
75,19시 1구간,142.66
76,19시 2구간,142.66
77,19시 3구간,142.66
78,19시 4구간,142.66
79,20시 1구간,155.25
80,20시 2구간,155.3
81,20시 3구간,155.35
82,20시 4구간,155.4
83,21시 1구간,155.44
84,21시 2구간,155.49
85,21시 3구간,155.53
86,21시 4구간,155.57
87,22시 1구간,122.66
88,22시 2구간,122.66
89,22시 3구간,122.66
90,22시 4구간,122.66
91,23시 1구간,122.66
92,23시 2구간,122.66
93,23시 3구간,122.66
94,23시 4구간,122.66
95,24시 1구간,116.35
96,24시 2구간,116.35
97,24시 3구간,116.35
98,24시 4구간,116.35
