,시간,01-23 (목)
0,최대,163.44
1,최소,-75.01
2,가중평균,110.85
3,01시 1구간,108.39
4,01시 2구간,108.39
5,01시 3구간,108.39
6,01시 4구간,108.39
7,02시 1구간,101.62
8,02시 2구간,101.62
9,02시 3구간,101.62
10,02시 4구간,101.62
11,03시 1구간,101.62
12,03시 2구간,101.62
13,03시 3구간,101.62
14,03시 4구간,101.62
15,04시 1구간,83.71
16,04시 2구간,83.71
17,04시 3구간,83.71
18,04시 4구간,83.71
19,05시 1구간,101.44
20,05시 2구간,101.44
21,05시 3구간,101.44
22,05시 4구간,101.44
23,06시 1구간,101.86
24,06시 2구간,101.86
25,06시 3구간,101.86
26,06시 4구간,101.86
27,07시 1구간,106.57
28,07시 2구간,106.57
29,07시 3구간,106.57
30,07시 4구간,106.57
31,08시 1구간,160.38
32,08시 2구간,160.05
33,08시 3구간,159.73
34,08시 4구간,159.56
35,09시 1구간,159.48
36,09시 2구간,159.6
37,09시 3구간,159.61
38,09시 4구간,159.51
39,10시 1구간,163.44
40,10시 2구간,157.25
41,10시 3구간,157.22
42,10시 4구간,151.45
43,11시 1구간,143.52
44,11시 2구간,143.52
45,11시 3구간,143.52
46,11시 4구간,143.52
47,12시 1구간,143.25
48,12시 2구간,-56.26
49,12시 3구간,-75.01
50,12시 4구간,-75.01
51,13시 1구간,-75.01
52,13시 2구간,-75.01
53,13시 3구간,-75.01
54,13시 4구간,-75.01
55,14시 1구간,-75.01
56,14시 2구간,-75.01
57,14시 3구간,-48.0
58,14시 4구간,-48.0
59,15시 1구간,138.59
60,15시 2구간,138.59
61,15시 3구간,138.59
62,15시 4구간,138.59
63,16시 1구간,136.77
64,16시 2구간,136.77
65,16시 3구간,136.77
66,16시 4구간,146.46
67,17시 1구간,146.36
68,17시 2구간,146.32
69,17시 3구간,146.29
70,17시 4구간,146.68
71,18시 1구간,136.77
72,18시 2구간,136.77
73,18시 3구간,136.77
74,18시 4구간,136.77
75,19시 1구간,154.42
76,19시 2구간,154.33
77,19시 3구간,154.24
78,19시 4구간,152.65
79,20시 1구간,152.6
80,20시 2구간,153.64
81,20시 3구간,154.05
82,20시 4구간,154.43
83,21시 1구간,154.77
84,21시 2구간,155.08
85,21시 3구간,155.37
86,21시 4구간,155.63
87,22시 1구간,118.47
88,22시 2구간,118.47
89,22시 3구간,118.47
90,22시 4구간,118.47
91,23시 1구간,118.47
92,23시 2구간,118.47
93,23시 3구간,118.47
94,23시 4구간,118.47
95,24시 1구간,114.83
96,24시 2구간,114.83
97,24시 3구간,114.83
98,24시 4구간,114.83
