,시간,02-05 (수)
0,최대,150.83
1,최소,84.44
2,가중평균,120.28
3,01시 1구간,106.94
4,01시 2구간,106.94
5,01시 3구간,106.94
6,01시 4구간,106.94
7,02시 1구간,96.77
8,02시 2구간,96.77
9,02시 3구간,96.77
10,02시 4구간,96.77
11,03시 1구간,84.44
12,03시 2구간,84.44
13,03시 3구간,84.44
14,03시 4구간,84.44
15,04시 1구간,84.44
16,04시 2구간,84.44
17,04시 3구간,84.44
18,04시 4구간,84.44
19,05시 1구간,84.44
20,05시 2구간,84.44
21,05시 3구간,84.44
22,05시 4구간,84.44
23,06시 1구간,98.11
24,06시 2구간,98.11
25,06시 3구간,98.11
26,06시 4구간,98.11
27,07시 1구간,109.77
28,07시 2구간,109.77
29,07시 3구간,109.77
30,07시 4구간,109.77
31,08시 1구간,111.86
32,08시 2구간,111.86
33,08시 3구간,111.86
34,08시 4구간,111.86
35,09시 1구간,139.87
36,09시 2구간,139.87
37,09시 3구간,139.87
38,09시 4구간,139.87
39,10시 1구간,148.18
40,10시 2구간,148.18
41,10시 3구간,119.91
42,10시 4구간,122.62
43,11시 1구간,150.83
44,11시 2구간,150.83
45,11시 3구간,150.83
46,11시 4구간,150.83
47,12시 1구간,138.84
48,12시 2구간,138.84
49,12시 3구간,138.84
50,12시 4구간,138.84
51,13시 1구간,132.35
52,13시 2구간,132.35
53,13시 3구간,132.35
54,13시 4구간,132.35
55,14시 1구간,133.91
56,14시 2구간,133.91
57,14시 3구간,133.91
58,14시 4구간,133.91
59,15시 1구간,133.58
60,15시 2구간,133.58
61,15시 3구간,133.58
62,15시 4구간,133.58
63,16시 1구간,142.0
64,16시 2구간,142.0
65,16시 3구간,142.0
66,16시 4구간,142.0
67,17시 1구간,133.58
68,17시 2구간,133.58
69,17시 3구간,133.58
70,17시 4구간,133.58
71,18시 1구간,132.24
72,18시 2구간,132.24
73,18시 3구간,132.24
74,18시 4구간,132.24
75,19시 1구간,132.24
76,19시 2구간,132.24
77,19시 3구간,132.24
78,19시 4구간,132.24
79,20시 1구간,127.04
80,20시 2구간,127.04
81,20시 3구간,127.04
82,20시 4구간,127.04
83,21시 1구간,131.1
84,21시 2구간,131.1
85,21시 3구간,131.1
86,21시 4구간,131.1
87,22시 1구간,112.43
88,22시 2구간,112.43
89,22시 3구간,112.43
90,22시 4구간,112.43
91,23시 1구간,105.93
92,23시 2구간,105.93
93,23시 3구간,105.93
94,23시 4구간,105.93
95,24시 1구간,105.7
96,24시 2구간,105.7
97,24시 3구간,105.7
98,24시 4구간,105.7
