,시간,12-02 (월)
0,최대,205.36
1,최소,80.17
2,가중평균,133.55
3,01시 1구간,143.94
4,01시 2구간,143.95
5,01시 3구간,97.41
6,01시 4구간,97.41
7,02시 1구간,80.17
8,02시 2구간,80.17
9,02시 3구간,80.17
10,02시 4구간,80.17
11,03시 1구간,80.17
12,03시 2구간,80.17
13,03시 3구간,80.17
14,03시 4구간,80.17
15,04시 1구간,80.17
16,04시 2구간,80.17
17,04시 3구간,80.17
18,04시 4구간,80.17
19,05시 1구간,80.17
20,05시 2구간,80.17
21,05시 3구간,80.17
22,05시 4구간,80.17
23,06시 1구간,80.7
24,06시 2구간,80.7
25,06시 3구간,80.7
26,06시 4구간,80.7
27,07시 1구간,84.16
28,07시 2구간,84.16
29,07시 3구간,84.16
30,07시 4구간,84.16
31,08시 1구간,101.85
32,08시 2구간,101.85
33,08시 3구간,101.85
34,08시 4구간,101.85
35,09시 1구간,167.09
36,09시 2구간,166.95
37,09시 3구간,167.04
38,09시 4구간,166.55
39,10시 1구간,169.8
40,10시 2구간,169.83
41,10시 3구간,167.47
42,10시 4구간,166.29
43,11시 1구간,155.33
44,11시 2구간,155.33
45,11시 3구간,132.23
46,11시 4구간,155.33
47,12시 1구간,144.04
48,12시 2구간,144.04
49,12시 3구간,144.04
50,12시 4구간,144.04
51,13시 1구간,137.97
52,13시 2구간,137.97
53,13시 3구간,137.97
54,13시 4구간,137.97
55,14시 1구간,143.06
56,14시 2구간,143.06
57,14시 3구간,143.06
58,14시 4구간,143.06
59,15시 1구간,158.57
60,15시 2구간,158.57
61,15시 3구간,158.57
62,15시 4구간,158.57
63,16시 1구간,158.18
64,16시 2구간,158.18
65,16시 3구간,158.18
66,16시 4구간,158.18
67,17시 1구간,205.36
68,17시 2구간,205.36
69,17시 3구간,156.04
70,17시 4구간,159.05
71,18시 1구간,158.48
72,18시 2구간,158.48
73,18시 3구간,158.48
74,18시 4구간,158.48
75,19시 1구간,156.52
76,19시 2구간,156.62
77,19시 3구간,156.71
78,19시 4구간,156.78
79,20시 1구간,183.46
80,20시 2구간,183.46
81,20시 3구간,183.46
82,20시 4구간,183.46
83,21시 1구간,183.46
84,21시 2구간,183.46
85,21시 3구간,183.46
86,21시 4구간,183.46
87,22시 1구간,145.14
88,22시 2구간,145.15
89,22시 3구간,145.16
90,22시 4구간,146.82
91,23시 1구간,101.29
92,23시 2구간,101.29
93,23시 3구간,101.29
94,23시 4구간,101.29
95,24시 1구간,101.83
96,24시 2구간,101.83
97,24시 3구간,101.83
98,24시 4구간,101.83
