,시간,12-24 (화)
0,최대,169.08
1,최소,-76.86
2,가중평균,117.62
3,01시 1구간,102.27
4,01시 2구간,102.27
5,01시 3구간,102.27
6,01시 4구간,102.27
7,02시 1구간,91.67
8,02시 2구간,91.67
9,02시 3구간,91.67
10,02시 4구간,91.67
11,03시 1구간,91.67
12,03시 2구간,91.67
13,03시 3구간,91.67
14,03시 4구간,91.67
15,04시 1구간,91.5
16,04시 2구간,91.5
17,04시 3구간,91.5
18,04시 4구간,91.5
19,05시 1구간,91.67
20,05시 2구간,91.67
21,05시 3구간,91.67
22,05시 4구간,91.67
23,06시 1구간,96.57
24,06시 2구간,96.57
25,06시 3구간,96.57
26,06시 4구간,96.57
27,07시 1구간,102.02
28,07시 2구간,102.02
29,07시 3구간,102.02
30,07시 4구간,102.02
31,08시 1구간,141.2
32,08시 2구간,141.2
33,08시 3구간,141.2
34,08시 4구간,141.2
35,09시 1구간,144.78
36,09시 2구간,144.78
37,09시 3구간,144.78
38,09시 4구간,144.78
39,10시 1구간,168.36
40,10시 2구간,168.23
41,10시 3구간,168.35
42,10시 4구간,168.03
43,11시 1구간,167.66
44,11시 2구간,169.08
45,11시 3구간,159.95
46,11시 4구간,159.95
47,12시 1구간,144.76
48,12시 2구간,144.76
49,12시 3구간,144.76
50,12시 4구간,144.76
51,13시 1구간,-50.02
52,13시 2구간,-76.86
53,13시 3구간,-76.86
54,13시 4구간,-5.0
55,14시 1구간,0.0
56,14시 2구간,143.01
57,14시 3구간,143.01
58,14시 4구간,143.01
59,15시 1구간,143.4
60,15시 2구간,143.4
61,15시 3구간,143.4
62,15시 4구간,143.4
63,16시 1구간,144.52
64,16시 2구간,144.52
65,16시 3구간,144.52
66,16시 4구간,144.52
67,17시 1구간,143.19
68,17시 2구간,143.19
69,17시 3구간,143.19
70,17시 4구간,143.19
71,18시 1구간,143.5
72,18시 2구간,143.5
73,18시 3구간,143.5
74,18시 4구간,143.5
75,19시 1구간,143.5
76,19시 2구간,143.5
77,19시 3구간,143.5
78,19시 4구간,143.5
79,20시 1구간,141.2
80,20시 2구간,141.2
81,20시 3구간,141.2
82,20시 4구간,141.2
83,21시 1구간,121.77
84,21시 2구간,121.77
85,21시 3구간,121.77
86,21시 4구간,121.77
87,22시 1구간,101.09
88,22시 2구간,101.09
89,22시 3구간,101.09
90,22시 4구간,101.09
91,23시 1구간,101.5
92,23시 2구간,101.5
93,23시 3구간,101.5
94,23시 4구간,101.5
95,24시 1구간,101.98
96,24시 2구간,101.98
97,24시 3구간,101.98
98,24시 4구간,101.98
