,시간,02-06 (목)
0,최대,154.52
1,최소,0.0
2,가중평균,124.31
3,01시 1구간,105.98
4,01시 2구간,105.98
5,01시 3구간,105.98
6,01시 4구간,105.98
7,02시 1구간,97.98
8,02시 2구간,97.98
9,02시 3구간,97.98
10,02시 4구간,97.98
11,03시 1구간,97.72
12,03시 2구간,97.72
13,03시 3구간,97.72
14,03시 4구간,97.72
15,04시 1구간,84.44
16,04시 2구간,84.44
17,04시 3구간,84.44
18,04시 4구간,84.44
19,05시 1구간,95.69
20,05시 2구간,95.69
21,05시 3구간,95.69
22,05시 4구간,95.69
23,06시 1구간,98.29
24,06시 2구간,98.29
25,06시 3구간,98.29
26,06시 4구간,98.29
27,07시 1구간,105.34
28,07시 2구간,105.34
29,07시 3구간,105.34
30,07시 4구간,105.34
31,08시 1구간,114.59
32,08시 2구간,114.59
33,08시 3구간,114.59
34,08시 4구간,114.59
35,09시 1구간,149.19
36,09시 2구간,149.19
37,09시 3구간,149.22
38,09시 4구간,149.28
39,10시 1구간,154.52
40,10시 2구간,154.52
41,10시 3구간,154.52
42,10시 4구간,154.52
43,11시 1구간,153.3
44,11시 2구간,153.3
45,11시 3구간,153.3
46,11시 4구간,153.3
47,12시 1구간,141.12
48,12시 2구간,141.3
49,12시 3구간,141.44
50,12시 4구간,137.28
51,13시 1구간,141.42
52,13시 2구간,137.34
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,140.25
56,14시 2구간,142.67
57,14시 3구간,142.98
58,14시 4구간,142.95
59,15시 1구간,141.6
60,15시 2구간,141.6
61,15시 3구간,149.17
62,15시 4구간,149.17
63,16시 1구간,147.33
64,16시 2구간,147.33
65,16시 3구간,147.3
66,16시 4구간,147.87
67,17시 1구간,142.19
68,17시 2구간,142.19
69,17시 3구간,142.19
70,17시 4구간,142.19
71,18시 1구간,133.51
72,18시 2구간,133.51
73,18시 3구간,133.51
74,18시 4구간,149.11
75,19시 1구간,149.11
76,19시 2구간,149.11
77,19시 3구간,149.11
78,19시 4구간,149.07
79,20시 1구간,149.02
80,20시 2구간,149.06
81,20시 3구간,149.1
82,20시 4구간,149.14
83,21시 1구간,149.18
84,21시 2구간,149.22
85,21시 3구간,149.25
86,21시 4구간,149.29
87,22시 1구간,112.51
88,22시 2구간,112.51
89,22시 3구간,112.51
90,22시 4구간,112.51
91,23시 1구간,102.23
92,23시 2구간,102.23
93,23시 3구간,102.23
94,23시 4구간,102.23
95,24시 1구간,107.9
96,24시 2구간,107.9
97,24시 3구간,107.9
98,24시 4구간,107.9
