Day,forecast_da,forecast_rt,m(t),timestamp
2024-01-06 11:00:00+09:00,523.9564186,454.0855655,,2024-01-06 11:00:00+09:00
2024-01-06 12:00:00+09:00,669.7530284,627.115273,,2024-01-06 12:00:00+09:00
2024-01-06 13:00:00+09:00,723.8642469,708.5980762,,2024-01-06 13:00:00+09:00
2024-01-06 14:00:00+09:00,689.850234,691.8390977,,2024-01-06 14:00:00+09:00
2024-01-06 15:00:00+09:00,600.3365316,607.6304928,,2024-01-06 15:00:00+09:00
2024-01-06 16:00:00+09:00,338.9342202,360.5988045,,2024-01-06 16:00:00+09:00
2024-01-06 17:00:00+09:00,126.9491048,133.8206892,,2024-01-06 17:00:00+09:00
2024-01-07 07:00:00+09:00,0.427712272,1.811024488,,2024-01-07 07:00:00+09:00
2024-01-07 08:00:00+09:00,14.43792362,19.1559832,,2024-01-07 08:00:00+09:00
2024-01-07 09:00:00+09:00,129.805512,140.6775989,,2024-01-07 09:00:00+09:00
2024-01-07 10:00:00+09:00,443.5591047,380.5754992,,2024-01-07 10:00:00+09:00
2024-01-07 11:00:00+09:00,655.3284386,553.8440167,,2024-01-07 11:00:00+09:00
2024-01-07 12:00:00+09:00,780.0289753,730.079676,,2024-01-07 12:00:00+09:00
2024-01-07 13:00:00+09:00,824.6020948,782.739913,,2024-01-07 13:00:00+09:00
2024-01-07 14:00:00+09:00,791.3333887,757.2349612,,2024-01-07 14:00:00+09:00
2024-01-07 15:00:00+09:00,699.0707992,670.9725945,,2024-01-07 15:00:00+09:00
2024-01-07 16:00:00+09:00,474.7003785,474.3993272,,2024-01-07 16:00:00+09:00
2024-01-07 17:00:00+09:00,211.4645353,201.8792543,,2024-01-07 17:00:00+09:00
2024-01-08 07:00:00+09:00,0.585904137,0.242431515,,2024-01-08 07:00:00+09:00
2024-01-08 08:00:00+09:00,10.81809107,9.7431669,,2024-01-08 08:00:00+09:00
2024-01-08 09:00:00+09:00,118.1152523,106.2107981,,2024-01-08 09:00:00+09:00
2024-01-08 10:00:00+09:00,356.6112854,346.1478333,,2024-01-08 10:00:00+09:00
2024-01-08 11:00:00+09:00,561.2869651,552.2551347,,2024-01-08 11:00:00+09:00
2024-01-08 12:00:00+09:00,709.3499535,707.4088289,,2024-01-08 12:00:00+09:00
2024-01-08 13:00:00+09:00,767.1612589,770.5958957,,2024-01-08 13:00:00+09:00
2024-01-08 14:00:00+09:00,720.6253761,721.404255,,2024-01-08 14:00:00+09:00
2024-01-08 15:00:00+09:00,607.8779968,613.9688504,,2024-01-08 15:00:00+09:00
2024-01-08 16:00:00+09:00,344.8041452,367.2192385,,2024-01-08 16:00:00+09:00
2024-01-08 17:00:00+09:00,124.2468633,142.8954252,,2024-01-08 17:00:00+09:00
2024-01-09 07:00:00+09:00,0.174842035,0.420372672,,2024-01-09 07:00:00+09:00
2024-01-09 08:00:00+09:00,7.900232272,8.374426109,,2024-01-09 08:00:00+09:00
2024-01-09 09:00:00+09:00,87.96690542,87.42411317,,2024-01-09 09:00:00+09:00
2024-01-09 10:00:00+09:00,214.8899391,254.0979386,,2024-01-09 10:00:00+09:00
2024-01-09 11:00:00+09:00,317.8209214,390.7513887,,2024-01-09 11:00:00+09:00
2024-01-09 12:00:00+09:00,434.2168558,390.2988218,,2024-01-09 12:00:00+09:00
2024-01-09 13:00:00+09:00,490.8866129,456.8709643,,2024-01-09 13:00:00+09:00
2024-01-09 14:00:00+09:00,486.7479801,440.2690612,,2024-01-09 14:00:00+09:00
2024-01-09 15:00:00+09:00,396.1226367,368.5200597,,2024-01-09 15:00:00+09:00
2024-01-09 16:00:00+09:00,227.4062031,188.4795783,,2024-01-09 16:00:00+09:00
2024-01-09 17:00:00+09:00,67.87873252,58.50235507,,2024-01-09 17:00:00+09:00
2024-01-10 07:00:00+09:00,0.202480183,0.11392475,,2024-01-10 07:00:00+09:00
2024-01-10 08:00:00+09:00,2.318711049,2.525983387,,2024-01-10 08:00:00+09:00
2024-01-10 09:00:00+09:00,41.14104315,47.63677514,,2024-01-10 09:00:00+09:00
2024-01-10 10:00:00+09:00,180.9574886,171.1200505,,2024-01-10 10:00:00+09:00
2024-01-10 11:00:00+09:00,369.8602421,343.3672766,,2024-01-10 11:00:00+09:00
2024-01-10 12:00:00+09:00,535.8466884,450.9563094,,2024-01-10 12:00:00+09:00
2024-01-10 13:00:00+09:00,534.5677258,493.5071289,,2024-01-10 13:00:00+09:00
2024-01-10 14:00:00+09:00,497.4994322,487.8506647,,2024-01-10 14:00:00+09:00
2024-01-10 15:00:00+09:00,421.8704087,511.7159801,,2024-01-10 15:00:00+09:00
2024-01-10 16:00:00+09:00,271.7462943,286.3021531,,2024-01-10 16:00:00+09:00
2024-01-10 17:00:00+09:00,101.8657348,89.22823176,,2024-01-10 17:00:00+09:00
2024-01-11 07:00:00+09:00,0.187918552,0.143469802,,2024-01-11 07:00:00+09:00
2024-01-11 08:00:00+09:00,4.177157826,4.033096985,,2024-01-11 08:00:00+09:00
2024-01-11 09:00:00+09:00,66.38628999,61.79129785,,2024-01-11 09:00:00+09:00
2024-01-11 10:00:00+09:00,278.5698792,215.9153735,,2024-01-11 10:00:00+09:00
2024-01-11 11:00:00+09:00,479.6429414,402.8749422,,2024-01-11 11:00:00+09:00
2024-01-11 12:00:00+09:00,633.495683,610.4148799,,2024-01-11 12:00:00+09:00
2024-01-11 13:00:00+09:00,676.2269604,683.9199143,,2024-01-11 13:00:00+09:00
2024-01-11 14:00:00+09:00,635.1601666,643.1120356,,2024-01-11 14:00:00+09:00
2024-01-11 15:00:00+09:00,506.4531974,553.735173,,2024-01-11 15:00:00+09:00
2024-01-11 16:00:00+09:00,300.5568235,334.0637598,,2024-01-11 16:00:00+09:00
2024-01-11 17:00:00+09:00,114.5657495,127.1162334,,2024-01-11 17:00:00+09:00
2024-01-12 07:00:00+09:00,0.495631412,0.220729103,,2024-01-12 07:00:00+09:00
2024-01-12 08:00:00+09:00,4.398700215,3.649683945,,2024-01-12 08:00:00+09:00
2024-01-12 09:00:00+09:00,68.50377317,55.13541182,,2024-01-12 09:00:00+09:00
2024-01-12 10:00:00+09:00,286.9361053,198.8291227,,2024-01-12 10:00:00+09:00
2024-01-12 11:00:00+09:00,482.378583,379.4680273,,2024-01-12 11:00:00+09:00
2024-01-12 12:00:00+09:00,659.7265254,603.9954058,,2024-01-12 12:00:00+09:00
2024-01-12 13:00:00+09:00,700.6985735,698.5721837,,2024-01-12 13:00:00+09:00
2024-01-12 14:00:00+09:00,654.4163337,650.493365,,2024-01-12 14:00:00+09:00
2024-01-12 15:00:00+09:00,531.3670032,570.6240254,,2024-01-12 15:00:00+09:00
2024-01-12 16:00:00+09:00,331.3175769,344.4985568,,2024-01-12 16:00:00+09:00
2024-01-12 17:00:00+09:00,116.6212221,144.1165812,,2024-01-12 17:00:00+09:00
2024-01-13 07:00:00+09:00,0.122227057,0.40715387,,2024-01-13 07:00:00+09:00
2024-01-13 08:00:00+09:00,6.548582855,7.984203621,,2024-01-13 08:00:00+09:00
2024-01-13 09:00:00+09:00,91.81824403,101.9130492,,2024-01-13 09:00:00+09:00
2024-01-13 10:00:00+09:00,334.2443319,335.2667764,,2024-01-13 10:00:00+09:00
2024-01-13 11:00:00+09:00,531.4567916,520.7494565,,2024-01-13 11:00:00+09:00
2024-01-13 12:00:00+09:00,680.841172,668.8925665,,2024-01-13 12:00:00+09:00
2024-01-13 13:00:00+09:00,720.5430848,729.2570136,,2024-01-13 13:00:00+09:00
2024-01-13 14:00:00+09:00,674.9214498,682.46057,,2024-01-13 14:00:00+09:00
2024-01-13 15:00:00+09:00,566.554014,576.4228835,,2024-01-13 15:00:00+09:00
2024-01-13 16:00:00+09:00,346.5114903,362.459138,,2024-01-13 16:00:00+09:00
2024-01-13 17:00:00+09:00,127.8289564,141.5187767,,2024-01-13 17:00:00+09:00
2024-01-14 07:00:00+09:00,0.307636455,0.310689992,,2024-01-14 07:00:00+09:00
2024-01-14 08:00:00+09:00,6.931671031,6.237836767,,2024-01-14 08:00:00+09:00
2024-01-14 09:00:00+09:00,89.68587262,85.50399675,,2024-01-14 09:00:00+09:00
2024-01-14 10:00:00+09:00,274.5832279,278.9583879,,2024-01-14 10:00:00+09:00
2024-01-14 11:00:00+09:00,449.0508192,439.4514346,,2024-01-14 11:00:00+09:00
2024-01-14 12:00:00+09:00,609.6608286,617.8787434,,2024-01-14 12:00:00+09:00
2024-01-14 13:00:00+09:00,647.453081,656.8982382,,2024-01-14 13:00:00+09:00
2024-01-14 14:00:00+09:00,612.4538727,637.2545741,,2024-01-14 14:00:00+09:00
2024-01-14 15:00:00+09:00,497.6550215,524.7138914,,2024-01-14 15:00:00+09:00
2024-01-14 16:00:00+09:00,287.4797052,355.9426296,,2024-01-14 16:00:00+09:00
2024-01-14 17:00:00+09:00,94.19261866,120.2400855,,2024-01-14 17:00:00+09:00
2024-01-15 07:00:00+09:00,0.090612094,0.07177047,,2024-01-15 07:00:00+09:00
2024-01-15 08:00:00+09:00,6.53538621,8.79238741,,2024-01-15 08:00:00+09:00
2024-01-15 09:00:00+09:00,100.4455334,107.8627574,,2024-01-15 09:00:00+09:00
2024-01-15 10:00:00+09:00,336.8474331,349.6034954,,2024-01-15 10:00:00+09:00
2024-01-15 11:00:00+09:00,545.6566988,567.5052005,,2024-01-15 11:00:00+09:00
2024-01-15 12:00:00+09:00,670.3711077,737.880756,,2024-01-15 12:00:00+09:00
2024-01-15 13:00:00+09:00,730.9692685,803.5269248,,2024-01-15 13:00:00+09:00
2024-01-15 14:00:00+09:00,702.6524137,792.1872302,,2024-01-15 14:00:00+09:00
2024-01-15 15:00:00+09:00,611.1126486,701.1409952,,2024-01-15 15:00:00+09:00
2024-01-15 16:00:00+09:00,380.7906878,477.3552769,,2024-01-15 16:00:00+09:00
2024-01-15 17:00:00+09:00,141.0850664,171.3224679,,2024-01-15 17:00:00+09:00
2024-01-16 07:00:00+09:00,0.727424374,0.398716617,,2024-01-16 07:00:00+09:00
2024-01-16 08:00:00+09:00,13.21702509,12.69510816,,2024-01-16 08:00:00+09:00
2024-01-16 09:00:00+09:00,118.921421,115.3564316,,2024-01-16 09:00:00+09:00
2024-01-16 10:00:00+09:00,354.6308556,362.5879113,,2024-01-16 10:00:00+09:00
2024-01-16 11:00:00+09:00,538.1462136,534.888395,,2024-01-16 11:00:00+09:00
2024-01-16 12:00:00+09:00,638.6242149,641.7487805,,2024-01-16 12:00:00+09:00
2024-01-16 13:00:00+09:00,682.2426563,668.8953764,,2024-01-16 13:00:00+09:00
2024-01-16 14:00:00+09:00,651.4789402,632.4900619,,2024-01-16 14:00:00+09:00
2024-01-16 15:00:00+09:00,522.4496049,508.5811593,,2024-01-16 15:00:00+09:00
2024-01-16 16:00:00+09:00,310.8741631,337.1867481,,2024-01-16 16:00:00+09:00
2024-01-16 17:00:00+09:00,101.8507765,113.7117946,,2024-01-16 17:00:00+09:00
2024-01-17 07:00:00+09:00,0.554275174,0.361385926,,2024-01-17 07:00:00+09:00
2024-01-17 08:00:00+09:00,7.268219264,5.226997716,,2024-01-17 08:00:00+09:00
2024-01-17 09:00:00+09:00,86.75875938,74.49558853,,2024-01-17 09:00:00+09:00
2024-01-17 10:00:00+09:00,212.3922263,231.0049919,,2024-01-17 10:00:00+09:00
2024-01-17 11:00:00+09:00,340.6805835,436.8916112,,2024-01-17 11:00:00+09:00
2024-01-17 12:00:00+09:00,407.0620111,454.0076919,,2024-01-17 12:00:00+09:00
2024-01-17 13:00:00+09:00,377.0508575,384.9767065,,2024-01-17 13:00:00+09:00
2024-01-17 14:00:00+09:00,307.9666065,268.1508358,,2024-01-17 14:00:00+09:00
2024-01-17 15:00:00+09:00,193.5432006,201.4378933,,2024-01-17 15:00:00+09:00
2024-01-17 16:00:00+09:00,133.6757831,140.1462659,,2024-01-17 16:00:00+09:00
2024-01-17 17:00:00+09:00,50.93711665,49.46545017,,2024-01-17 17:00:00+09:00
2024-01-18 07:00:00+09:00,0.048149794,0.038736971,,2024-01-18 07:00:00+09:00
2024-01-18 08:00:00+09:00,0.390890219,0.568698951,,2024-01-18 08:00:00+09:00
2024-01-18 09:00:00+09:00,13.58827508,14.83786891,,2024-01-18 09:00:00+09:00
2024-01-18 10:00:00+09:00,33.97195958,44.41125808,,2024-01-18 10:00:00+09:00
2024-01-18 11:00:00+09:00,58.37732881,70.09762371,,2024-01-18 11:00:00+09:00
2024-01-18 12:00:00+09:00,64.4847277,70.7411419,,2024-01-18 12:00:00+09:00
2024-01-18 13:00:00+09:00,54.22695281,66.29665244,,2024-01-18 13:00:00+09:00
2024-01-18 14:00:00+09:00,42.65131831,47.73707544,,2024-01-18 14:00:00+09:00
2024-01-18 15:00:00+09:00,38.66341727,39.87692627,,2024-01-18 15:00:00+09:00
2024-01-18 16:00:00+09:00,41.14109573,43.97273856,,2024-01-18 16:00:00+09:00
2024-01-18 17:00:00+09:00,27.66376445,29.83572901,,2024-01-18 17:00:00+09:00
2024-01-19 07:00:00+09:00,0.202093741,0.60244456,,2024-01-19 07:00:00+09:00
2024-01-19 08:00:00+09:00,0.27720209,0.708203552,,2024-01-19 08:00:00+09:00
2024-01-19 09:00:00+09:00,23.20568058,30.1901717,,2024-01-19 09:00:00+09:00
2024-01-19 10:00:00+09:00,68.20263022,62.11301682,,2024-01-19 10:00:00+09:00
2024-01-19 11:00:00+09:00,97.52859519,123.4228191,,2024-01-19 11:00:00+09:00
2024-01-19 12:00:00+09:00,131.3869636,164.1850842,,2024-01-19 12:00:00+09:00
2024-01-19 13:00:00+09:00,143.1485222,175.5867687,,2024-01-19 13:00:00+09:00
2024-01-19 14:00:00+09:00,119.4890676,151.3914862,,2024-01-19 14:00:00+09:00
2024-01-19 15:00:00+09:00,110.9250615,130.832955,,2024-01-19 15:00:00+09:00
2024-01-19 16:00:00+09:00,78.76848153,101.8748939,,2024-01-19 16:00:00+09:00
2024-01-19 17:00:00+09:00,36.47888049,49.78598083,,2024-01-19 17:00:00+09:00
2024-01-20 07:00:00+09:00,0.344509502,0.360582802,,2024-01-20 07:00:00+09:00
2024-01-20 08:00:00+09:00,0.890479095,0.617668876,,2024-01-20 08:00:00+09:00
2024-01-20 09:00:00+09:00,22.67920387,25.25772641,,2024-01-20 09:00:00+09:00
2024-01-20 10:00:00+09:00,46.86600324,49.9487438,,2024-01-20 10:00:00+09:00
2024-01-20 11:00:00+09:00,81.70877458,89.77885681,,2024-01-20 11:00:00+09:00
2024-01-20 12:00:00+09:00,129.3645821,134.8986643,,2024-01-20 12:00:00+09:00
2024-01-20 13:00:00+09:00,146.1437563,129.511536,,2024-01-20 13:00:00+09:00
2024-01-20 14:00:00+09:00,109.1638344,92.47140243,,2024-01-20 14:00:00+09:00
2024-01-20 15:00:00+09:00,85.50114761,75.43128752,,2024-01-20 15:00:00+09:00
2024-01-20 16:00:00+09:00,66.5804902,66.6744741,,2024-01-20 16:00:00+09:00
2024-01-20 17:00:00+09:00,38.91055534,37.75280205,,2024-01-20 17:00:00+09:00
2024-01-21 07:00:00+09:00,0.296829084,0.480829122,,2024-01-21 07:00:00+09:00
2024-01-21 08:00:00+09:00,1.888154567,1.835650307,,2024-01-21 08:00:00+09:00
2024-01-21 09:00:00+09:00,30.93401712,25.44766365,,2024-01-21 09:00:00+09:00
2024-01-21 10:00:00+09:00,92.37251815,101.5340916,,2024-01-21 10:00:00+09:00
2024-01-21 11:00:00+09:00,157.1733859,133.9865074,,2024-01-21 11:00:00+09:00
2024-01-21 12:00:00+09:00,237.5700637,187.7205353,,2024-01-21 12:00:00+09:00
2024-01-21 13:00:00+09:00,248.6980008,227.9640088,,2024-01-21 13:00:00+09:00
2024-01-21 14:00:00+09:00,220.9633114,197.5193448,,2024-01-21 14:00:00+09:00
