날짜,발전량(kW),용량합계(kW)
2025-02-25 00:15:00,0.0,601.345
2025-02-25 00:30:00,0.0,601.345
2025-02-25 00:45:00,0.0,601.345
2025-02-25 01:00:00,0.0,601.345
2025-02-25 01:15:00,0.0,601.345
2025-02-25 01:30:00,0.0,601.345
2025-02-25 01:45:00,0.0,601.345
2025-02-25 02:00:00,0.0,601.345
2025-02-25 02:15:00,0.0,601.345
2025-02-25 02:30:00,0.0,601.345
2025-02-25 02:45:00,0.0,601.345
2025-02-25 03:00:00,0.0,601.345
2025-02-25 03:15:00,0.0,601.345
2025-02-25 03:30:00,0.0,601.345
2025-02-25 03:45:00,0.0,601.345
2025-02-25 04:00:00,0.0,601.345
2025-02-25 04:15:00,0.0,601.345
2025-02-25 04:30:00,0.0,601.345
2025-02-25 04:45:00,0.0,601.345
2025-02-25 05:00:00,0.0,601.345
2025-02-25 05:15:00,0.0,601.345
2025-02-25 05:30:00,0.0,601.345
2025-02-25 05:45:00,0.0,601.345
2025-02-25 06:00:00,0.0,601.345
2025-02-25 06:15:00,0.0,601.345
2025-02-25 06:30:00,0.0,601.345
2025-02-25 06:45:00,0.0,601.345
2025-02-25 07:00:00,0.0,601.345
2025-02-25 07:15:00,0.0,601.345
2025-02-25 07:30:00,2.0,601.345
2025-02-25 07:45:00,2.0,601.345
2025-02-25 08:00:00,3.0,601.345
2025-02-25 08:15:00,7.0,601.345
2025-02-25 08:30:00,13.0,601.345
2025-02-25 08:45:00,20.0,601.345
2025-02-25 09:00:00,36.0,601.345
2025-02-25 09:15:00,43.0,601.345
2025-02-25 09:30:00,57.0,601.345
2025-02-25 09:45:00,49.0,601.345
2025-02-25 10:00:00,49.0,601.345
2025-02-25 10:15:00,46.0,601.345
2025-02-25 10:30:00,55.0,601.345
2025-02-25 10:45:00,96.0,601.345
2025-02-25 11:00:00,102.0,601.345
2025-02-25 11:15:00,109.0,601.345
2025-02-25 11:30:00,111.0,601.345
2025-02-25 11:45:00,94.0,601.345
2025-02-25 12:00:00,68.0,601.345
2025-02-25 12:15:00,79.0,601.345
2025-02-25 12:30:00,71.0,601.345
2025-02-25 12:45:00,64.0,601.345
2025-02-25 13:00:00,63.0,601.345
2025-02-25 13:15:00,73.0,601.345
2025-02-25 13:30:00,63.0,601.345
2025-02-25 13:45:00,50.0,601.345
2025-02-25 14:00:00,89.0,601.345
2025-02-25 14:15:00,84.0,601.345
2025-02-25 14:30:00,58.0,601.345
2025-02-25 14:45:00,41.0,601.345
2025-02-25 15:00:00,35.0,601.345
2025-02-25 15:15:00,26.0,601.345
2025-02-25 15:30:00,23.0,601.345
2025-02-25 15:45:00,25.0,601.345
2025-02-25 16:00:00,19.0,601.345
2025-02-25 16:15:00,15.0,601.345
2025-02-25 16:30:00,11.0,601.345
2025-02-25 16:45:00,12.0,601.345
2025-02-25 17:00:00,9.0,601.345
2025-02-25 17:15:00,7.0,601.345
2025-02-25 17:30:00,5.0,601.345
2025-02-25 17:45:00,2.0,601.345
2025-02-25 18:00:00,1.0,601.345
2025-02-25 18:15:00,1.0,601.345
2025-02-25 18:30:00,0.0,601.345
2025-02-25 18:45:00,0.0,601.345
2025-02-25 19:00:00,0.0,601.345
2025-02-25 19:15:00,0.0,601.345
2025-02-25 19:30:00,0.0,601.345
2025-02-25 19:45:00,0.0,601.345
2025-02-25 20:00:00,0.0,601.345
2025-02-25 20:15:00,0.0,601.345
2025-02-25 20:30:00,0.0,601.345
2025-02-25 20:45:00,0.0,601.345
2025-02-25 21:00:00,0.0,601.345
2025-02-25 21:15:00,0.0,601.345
2025-02-25 21:30:00,0.0,601.345
2025-02-25 21:45:00,0.0,601.345
2025-02-25 22:00:00,0.0,601.345
2025-02-25 22:15:00,0.0,601.345
2025-02-25 22:30:00,0.0,601.345
2025-02-25 22:45:00,0.0,601.345
2025-02-25 23:00:00,0.0,601.345
2025-02-25 23:15:00,0.0,601.345
2025-02-25 23:30:00,0.0,601.345
2025-02-25 23:45:00,0.0,601.345
2025-02-26 00:00:00,0.0,601.345
