날짜,발전량(kW),용량합계(kW)
2024-07-27 00:15:00,0.0,446.88
2024-07-27 00:30:00,0.0,446.88
2024-07-27 00:45:00,0.0,446.88
2024-07-27 01:00:00,0.0,446.88
2024-07-27 01:15:00,0.0,446.88
2024-07-27 01:30:00,0.0,446.88
2024-07-27 01:45:00,0.0,446.88
2024-07-27 02:00:00,0.0,446.88
2024-07-27 02:15:00,0.0,446.88
2024-07-27 02:30:00,0.0,446.88
2024-07-27 02:45:00,0.0,446.88
2024-07-27 03:00:00,0.0,446.88
2024-07-27 03:15:00,0.0,446.88
2024-07-27 03:30:00,0.0,446.88
2024-07-27 03:45:00,0.0,446.88
2024-07-27 04:00:00,0.0,446.88
2024-07-27 04:15:00,0.0,446.88
2024-07-27 04:30:00,0.0,446.88
2024-07-27 04:45:00,0.0,446.88
2024-07-27 05:00:00,0.0,446.88
2024-07-27 05:15:00,0.0,446.88
2024-07-27 05:30:00,0.0,446.88
2024-07-27 05:45:00,0.05,446.88
2024-07-27 06:00:00,0.55,446.88
2024-07-27 06:15:00,0.0,446.88
2024-07-27 06:30:00,0.6,446.88
2024-07-27 06:45:00,0.9,446.88
2024-07-27 07:00:00,1.4,446.88
2024-07-27 07:15:00,1.5,446.88
2024-07-27 07:30:00,2.2,446.88
2024-07-27 07:45:00,1.8,446.88
2024-07-27 08:00:00,2.4,446.88
2024-07-27 08:15:00,3.6,446.88
2024-07-27 08:30:00,4.1,446.88
2024-07-27 08:45:00,4.3,446.88
2024-07-27 09:00:00,3.6,446.88
2024-07-27 09:15:00,6.6,446.88
2024-07-27 09:30:00,6.1,446.88
2024-07-27 09:45:00,7.2,446.88
2024-07-27 10:00:00,8.1,446.88
2024-07-27 10:15:00,7.0,446.88
2024-07-27 10:30:00,7.9,446.88
2024-07-27 10:45:00,9.1,446.88
2024-07-27 11:00:00,12.5,446.88
2024-07-27 11:15:00,10.7,446.88
2024-07-27 11:30:00,9.8,446.88
2024-07-27 11:45:00,8.3,446.88
2024-07-27 12:00:00,8.0,446.88
2024-07-27 12:15:00,8.8,446.88
2024-07-27 12:30:00,17.4,446.88
2024-07-27 12:45:00,24.4,446.88
2024-07-27 13:00:00,29.4,446.88
2024-07-27 13:15:00,30.1,446.88
2024-07-27 13:30:00,28.6,446.88
2024-07-27 13:45:00,26.6,446.88
2024-07-27 14:00:00,30.1,446.88
2024-07-27 14:15:00,34.2,446.88
2024-07-27 14:30:00,32.4,446.88
2024-07-27 14:45:00,24.9,446.88
2024-07-27 15:00:00,19.0,446.88
2024-07-27 15:15:00,18.8,446.88
2024-07-27 15:30:00,15.2,446.88
2024-07-27 15:45:00,15.4,446.88
2024-07-27 16:00:00,12.3,446.88
2024-07-27 16:15:00,12.1,446.88
2024-07-27 16:30:00,11.1,446.88
2024-07-27 16:45:00,9.1,446.88
2024-07-27 17:00:00,8.2,446.88
2024-07-27 17:15:00,7.8,446.88
2024-07-27 17:30:00,6.4,446.88
2024-07-27 17:45:00,5.3,446.88
2024-07-27 18:00:00,3.9,446.88
2024-07-27 18:15:00,3.3,446.88
2024-07-27 18:30:00,2.8,446.88
2024-07-27 18:45:00,2.4,446.88
2024-07-27 19:00:00,1.6,446.88
2024-07-27 19:15:00,1.4,446.88
2024-07-27 19:30:00,1.4,446.88
2024-07-27 19:45:00,1.2,446.88
2024-07-27 20:00:00,0.0,446.88
2024-07-27 20:15:00,0.0,446.88
2024-07-27 20:30:00,0.0,446.88
2024-07-27 20:45:00,0.0,446.88
2024-07-27 21:00:00,0.0,446.88
2024-07-27 21:15:00,0.0,446.88
2024-07-27 21:30:00,0.0,446.88
2024-07-27 21:45:00,0.0,446.88
2024-07-27 22:00:00,0.0,446.88
2024-07-27 22:15:00,0.0,446.88
2024-07-27 22:30:00,0.0,446.88
2024-07-27 22:45:00,0.0,446.88
2024-07-27 23:00:00,0.0,446.88
2024-07-27 23:15:00,0.0,446.88
2024-07-27 23:30:00,0.0,446.88
2024-07-27 23:45:00,0.0,446.88
2024-07-28 00:00:00,0.0,446.88
