날짜,발전량(kW),용량합계(kW)
2024-08-27 00:15:00,0.0,446.88
2024-08-27 00:30:00,0.0,446.88
2024-08-27 00:45:00,0.0,446.88
2024-08-27 01:00:00,0.0,446.88
2024-08-27 01:15:00,0.0,446.88
2024-08-27 01:30:00,0.0,446.88
2024-08-27 01:45:00,0.0,446.88
2024-08-27 02:00:00,0.0,446.88
2024-08-27 02:15:00,0.0,446.88
2024-08-27 02:30:00,0.0,446.88
2024-08-27 02:45:00,0.0,446.88
2024-08-27 03:00:00,0.0,446.88
2024-08-27 03:15:00,0.0,446.88
2024-08-27 03:30:00,0.0,446.88
2024-08-27 03:45:00,0.0,446.88
2024-08-27 04:00:00,0.0,446.88
2024-08-27 04:15:00,0.0,446.88
2024-08-27 04:30:00,0.0,446.88
2024-08-27 04:45:00,0.0,446.88
2024-08-27 05:00:00,0.0,446.88
2024-08-27 05:15:00,0.0,446.88
2024-08-27 05:30:00,0.0,446.88
2024-08-27 05:45:00,0.0,446.88
2024-08-27 06:00:00,0.1,446.88
2024-08-27 06:15:00,1.6,446.88
2024-08-27 06:30:00,2.3,446.88
2024-08-27 06:45:00,3.3,446.88
2024-08-27 07:00:00,5.3,446.88
2024-08-27 07:15:00,7.0,446.88
2024-08-27 07:30:00,9.5,446.88
2024-08-27 07:45:00,12.4,446.88
2024-08-27 08:00:00,15.1,446.88
2024-08-27 08:15:00,18.4,446.88
2024-08-27 08:30:00,22.8,446.88
2024-08-27 08:45:00,26.4,446.88
2024-08-27 09:00:00,33.9,446.88
2024-08-27 09:15:00,33.9,446.88
2024-08-27 09:30:00,38.9,446.88
2024-08-27 09:45:00,41.3,446.88
2024-08-27 10:00:00,50.0,446.88
2024-08-27 10:15:00,59.9,446.88
2024-08-27 10:30:00,67.2,446.88
2024-08-27 10:45:00,65.7,446.88
2024-08-27 11:00:00,68.7,446.88
2024-08-27 11:15:00,61.3,446.88
2024-08-27 11:30:00,73.7,446.88
2024-08-27 11:45:00,67.6,446.88
2024-08-27 12:00:00,44.8,446.88
2024-08-27 12:15:00,42.6,446.88
2024-08-27 12:30:00,39.5,446.88
2024-08-27 12:45:00,58.5,446.88
2024-08-27 13:00:00,55.8,446.88
2024-08-27 13:15:00,49.7,446.88
2024-08-27 13:30:00,67.6,446.88
2024-08-27 13:45:00,81.5,446.88
2024-08-27 14:00:00,87.8,446.88
2024-08-27 14:15:00,72.2,446.88
2024-08-27 14:30:00,55.4,446.88
2024-08-27 14:45:00,69.9,446.88
2024-08-27 15:00:00,70.9,446.88
2024-08-27 15:15:00,74.4,446.88
2024-08-27 15:30:00,25.9,446.88
2024-08-27 15:45:00,19.6,446.88
2024-08-27 16:00:00,17.0,446.88
2024-08-27 16:15:00,20.8,446.88
2024-08-27 16:30:00,23.9,446.88
2024-08-27 16:45:00,25.5,446.88
2024-08-27 17:00:00,26.8,446.88
2024-08-27 17:15:00,17.7,446.88
2024-08-27 17:30:00,14.9,446.88
2024-08-27 17:45:00,9.9,446.88
2024-08-27 18:00:00,6.9,446.88
2024-08-27 18:15:00,4.8,446.88
2024-08-27 18:30:00,4.6,446.88
2024-08-27 18:45:00,3.2,446.88
2024-08-27 19:00:00,1.6,446.88
2024-08-27 19:15:00,1.1,446.88
2024-08-27 19:30:00,0.0,446.88
2024-08-27 19:45:00,0.0,446.88
2024-08-27 20:00:00,0.0,446.88
2024-08-27 20:15:00,0.0,446.88
2024-08-27 20:30:00,0.0,446.88
2024-08-27 20:45:00,0.0,446.88
2024-08-27 21:00:00,0.0,446.88
2024-08-27 21:15:00,0.0,446.88
2024-08-27 21:30:00,0.0,446.88
2024-08-27 21:45:00,0.0,446.88
2024-08-27 22:00:00,0.0,446.88
2024-08-27 22:15:00,0.0,446.88
2024-08-27 22:30:00,0.0,446.88
2024-08-27 22:45:00,0.0,446.88
2024-08-27 23:00:00,0.0,446.88
2024-08-27 23:15:00,0.0,446.88
2024-08-27 23:30:00,0.0,446.88
2024-08-27 23:45:00,0.0,446.88
2024-08-28 00:00:00,0.0,446.88
