날짜,발전량(kW),용량합계(kW)
2024-10-18 00:15:00,0.0,446.88
2024-10-18 00:30:00,0.0,446.88
2024-10-18 00:45:00,0.0,446.88
2024-10-18 01:00:00,0.0,446.88
2024-10-18 01:15:00,0.0,446.88
2024-10-18 01:30:00,0.0,446.88
2024-10-18 01:45:00,0.0,446.88
2024-10-18 02:00:00,0.0,446.88
2024-10-18 02:15:00,0.0,446.88
2024-10-18 02:30:00,0.0,446.88
2024-10-18 02:45:00,0.0,446.88
2024-10-18 03:00:00,0.0,446.88
2024-10-18 03:15:00,0.0,446.88
2024-10-18 03:30:00,0.0,446.88
2024-10-18 03:45:00,0.0,446.88
2024-10-18 04:00:00,0.0,446.88
2024-10-18 04:15:00,0.0,446.88
2024-10-18 04:30:00,0.0,446.88
2024-10-18 04:45:00,0.0,446.88
2024-10-18 05:00:00,0.0,446.88
2024-10-18 05:15:00,0.0,446.88
2024-10-18 05:30:00,0.0,446.88
2024-10-18 05:45:00,0.0,446.88
2024-10-18 06:00:00,0.0,446.88
2024-10-18 06:15:00,0.0,446.88
2024-10-18 06:30:00,0.0,446.88
2024-10-18 06:45:00,0.0,446.88
2024-10-18 07:00:00,1.2,446.88
2024-10-18 07:15:00,1.9,446.88
2024-10-18 07:30:00,1.1,446.88
2024-10-18 07:45:00,1.6,446.88
2024-10-18 08:00:00,1.3,446.88
2024-10-18 08:15:00,1.4,446.88
2024-10-18 08:30:00,2.0,446.88
2024-10-18 08:45:00,3.8,446.88
2024-10-18 09:00:00,6.1,446.88
2024-10-18 09:15:00,3.6,446.88
2024-10-18 09:30:00,6.8,446.88
2024-10-18 09:45:00,9.8,446.88
2024-10-18 10:00:00,13.4,446.88
2024-10-18 10:15:00,8.5,446.88
2024-10-18 10:30:00,8.3,446.88
2024-10-18 10:45:00,9.6,446.88
2024-10-18 11:00:00,7.4,446.88
2024-10-18 11:15:00,7.6,446.88
2024-10-18 11:30:00,10.3,446.88
2024-10-18 11:45:00,10.5,446.88
2024-10-18 12:00:00,6.7,446.88
2024-10-18 12:15:00,9.7,446.88
2024-10-18 12:30:00,12.6,446.88
2024-10-18 12:45:00,15.8,446.88
2024-10-18 13:00:00,15.2,446.88
2024-10-18 13:15:00,15.7,446.88
2024-10-18 13:30:00,11.0,446.88
2024-10-18 13:45:00,12.2,446.88
2024-10-18 14:00:00,16.2,446.88
2024-10-18 14:15:00,15.0,446.88
2024-10-18 14:30:00,21.5,446.88
2024-10-18 14:45:00,18.7,446.88
2024-10-18 15:00:00,13.0,446.88
2024-10-18 15:15:00,10.9,446.88
2024-10-18 15:30:00,15.2,446.88
2024-10-18 15:45:00,13.4,446.88
2024-10-18 16:00:00,14.7,446.88
2024-10-18 16:15:00,14.5,446.88
2024-10-18 16:30:00,7.4,446.88
2024-10-18 16:45:00,7.1,446.88
2024-10-18 17:00:00,5.7,446.88
2024-10-18 17:15:00,3.4,446.88
2024-10-18 17:30:00,1.7,446.88
2024-10-18 17:45:00,1.4,446.88
2024-10-18 18:00:00,1.3,446.88
2024-10-18 18:15:00,0.0,446.88
2024-10-18 18:30:00,0.0,446.88
2024-10-18 18:45:00,0.0,446.88
2024-10-18 19:00:00,0.0,446.88
2024-10-18 19:15:00,0.0,446.88
2024-10-18 19:30:00,0.0,446.88
2024-10-18 19:45:00,0.0,446.88
2024-10-18 20:00:00,0.0,446.88
2024-10-18 20:15:00,0.0,446.88
2024-10-18 20:30:00,0.0,446.88
2024-10-18 20:45:00,0.0,446.88
2024-10-18 21:00:00,0.0,446.88
2024-10-18 21:15:00,0.0,446.88
2024-10-18 21:30:00,0.0,446.88
2024-10-18 21:45:00,0.0,446.88
2024-10-18 22:00:00,0.0,446.88
2024-10-18 22:15:00,0.0,446.88
2024-10-18 22:30:00,0.0,446.88
2024-10-18 22:45:00,0.0,446.88
2024-10-18 23:00:00,0.0,446.88
2024-10-18 23:15:00,0.0,446.88
2024-10-18 23:30:00,0.0,446.88
2024-10-18 23:45:00,0.0,446.88
2024-10-19 00:00:00,0.0,446.88
