날짜,발전량(kW),용량합계(kW)
2024-08-07 00:15:00,0.0,446.88
2024-08-07 00:30:00,0.0,446.88
2024-08-07 00:45:00,0.0,446.88
2024-08-07 01:00:00,0.0,446.88
2024-08-07 01:15:00,0.0,446.88
2024-08-07 01:30:00,0.0,446.88
2024-08-07 01:45:00,0.0,446.88
2024-08-07 02:00:00,0.0,446.88
2024-08-07 02:15:00,0.0,446.88
2024-08-07 02:30:00,0.0,446.88
2024-08-07 02:45:00,0.0,446.88
2024-08-07 03:00:00,0.0,446.88
2024-08-07 03:15:00,0.0,446.88
2024-08-07 03:30:00,0.0,446.88
2024-08-07 03:45:00,0.0,446.88
2024-08-07 04:00:00,0.0,446.88
2024-08-07 04:15:00,0.0,446.88
2024-08-07 04:30:00,0.0,446.88
2024-08-07 04:45:00,0.0,446.88
2024-08-07 05:00:00,0.0,446.88
2024-08-07 05:15:00,0.0,446.88
2024-08-07 05:30:00,0.0,446.88
2024-08-07 05:45:00,0.0,446.88
2024-08-07 06:00:00,0.2,446.88
2024-08-07 06:15:00,1.7,446.88
2024-08-07 06:30:00,2.3,446.88
2024-08-07 06:45:00,3.7,446.88
2024-08-07 07:00:00,4.6,446.88
2024-08-07 07:15:00,5.6,446.88
2024-08-07 07:30:00,8.4,446.88
2024-08-07 07:45:00,11.3,446.88
2024-08-07 08:00:00,15.3,446.88
2024-08-07 08:15:00,20.2,446.88
2024-08-07 08:30:00,24.9,446.88
2024-08-07 08:45:00,30.1,446.88
2024-08-07 09:00:00,36.4,446.88
2024-08-07 09:15:00,41.0,446.88
2024-08-07 09:30:00,46.2,446.88
2024-08-07 09:45:00,52.0,446.88
2024-08-07 10:00:00,57.1,446.88
2024-08-07 10:15:00,60.2,446.88
2024-08-07 10:30:00,59.0,446.88
2024-08-07 10:45:00,60.3,446.88
2024-08-07 11:00:00,71.6,446.88
2024-08-07 11:15:00,74.4,446.88
2024-08-07 11:30:00,79.2,446.88
2024-08-07 11:45:00,86.2,446.88
2024-08-07 12:00:00,64.3,446.88
2024-08-07 12:15:00,37.7,446.88
2024-08-07 12:30:00,29.8,446.88
2024-08-07 12:45:00,45.2,446.88
2024-08-07 13:00:00,28.0,446.88
2024-08-07 13:15:00,15.8,446.88
2024-08-07 13:30:00,60.2,446.88
2024-08-07 13:45:00,71.1,446.88
2024-08-07 14:00:00,34.9,446.88
2024-08-07 14:15:00,25.0,446.88
2024-08-07 14:30:00,16.5,446.88
2024-08-07 14:45:00,11.7,446.88
2024-08-07 15:00:00,13.1,446.88
2024-08-07 15:15:00,8.2,446.88
2024-08-07 15:30:00,13.0,446.88
2024-08-07 15:45:00,29.7,446.88
2024-08-07 16:00:00,40.1,446.88
2024-08-07 16:15:00,20.6,446.88
2024-08-07 16:30:00,20.2,446.88
2024-08-07 16:45:00,13.4,446.88
2024-08-07 17:00:00,14.8,446.88
2024-08-07 17:15:00,8.9,446.88
2024-08-07 17:30:00,6.8,446.88
2024-08-07 17:45:00,5.1,446.88
2024-08-07 18:00:00,6.0,446.88
2024-08-07 18:15:00,2.9,446.88
2024-08-07 18:30:00,3.6,446.88
2024-08-07 18:45:00,2.9,446.88
2024-08-07 19:00:00,2.2,446.88
2024-08-07 19:15:00,1.8,446.88
2024-08-07 19:30:00,1.2,446.88
2024-08-07 19:45:00,1.0,446.88
2024-08-07 20:00:00,0.0,446.88
2024-08-07 20:15:00,0.0,446.88
2024-08-07 20:30:00,0.0,446.88
2024-08-07 20:45:00,0.0,446.88
2024-08-07 21:00:00,0.0,446.88
2024-08-07 21:15:00,0.0,446.88
2024-08-07 21:30:00,0.0,446.88
2024-08-07 21:45:00,0.0,446.88
2024-08-07 22:00:00,0.0,446.88
2024-08-07 22:15:00,0.0,446.88
2024-08-07 22:30:00,0.0,446.88
2024-08-07 22:45:00,0.0,446.88
2024-08-07 23:00:00,0.0,446.88
2024-08-07 23:15:00,0.0,446.88
2024-08-07 23:30:00,0.0,446.88
2024-08-07 23:45:00,0.0,446.88
2024-08-08 00:00:00,0.0,446.88
