날짜,발전량(kW),용량합계(kW)
2024-09-25 00:15:00,0.0,446.88
2024-09-25 00:30:00,0.0,446.88
2024-09-25 00:45:00,0.0,446.88
2024-09-25 01:00:00,0.0,446.88
2024-09-25 01:15:00,0.0,446.88
2024-09-25 01:30:00,0.0,446.88
2024-09-25 01:45:00,0.0,446.88
2024-09-25 02:00:00,0.0,446.88
2024-09-25 02:15:00,0.0,446.88
2024-09-25 02:30:00,0.0,446.88
2024-09-25 02:45:00,0.0,446.88
2024-09-25 03:00:00,0.0,446.88
2024-09-25 03:15:00,0.0,446.88
2024-09-25 03:30:00,0.0,446.88
2024-09-25 03:45:00,0.0,446.88
2024-09-25 04:00:00,0.0,446.88
2024-09-25 04:15:00,0.0,446.88
2024-09-25 04:30:00,0.0,446.88
2024-09-25 04:45:00,0.0,446.88
2024-09-25 05:00:00,0.0,446.88
2024-09-25 05:15:00,0.0,446.88
2024-09-25 05:30:00,0.0,446.88
2024-09-25 05:45:00,0.0,446.88
2024-09-25 06:00:00,0.0,446.88
2024-09-25 06:15:00,0.0,446.88
2024-09-25 06:30:00,0.1,446.88
2024-09-25 06:45:00,1.2,446.88
2024-09-25 07:00:00,1.8,446.88
2024-09-25 07:15:00,2.0,446.88
2024-09-25 07:30:00,4.6,446.88
2024-09-25 07:45:00,7.9,446.88
2024-09-25 08:00:00,12.3,446.88
2024-09-25 08:15:00,14.6,446.88
2024-09-25 08:30:00,17.0,446.88
2024-09-25 08:45:00,13.3,446.88
2024-09-25 09:00:00,21.7,446.88
2024-09-25 09:15:00,23.9,446.88
2024-09-25 09:30:00,27.9,446.88
2024-09-25 09:45:00,36.0,446.88
2024-09-25 10:00:00,44.7,446.88
2024-09-25 10:15:00,29.6,446.88
2024-09-25 10:30:00,26.5,446.88
2024-09-25 10:45:00,29.4,446.88
2024-09-25 11:00:00,29.1,446.88
2024-09-25 11:15:00,25.3,446.88
2024-09-25 11:30:00,22.9,446.88
2024-09-25 11:45:00,38.7,446.88
2024-09-25 12:00:00,33.4,446.88
2024-09-25 12:15:00,31.9,446.88
2024-09-25 12:30:00,50.4,446.88
2024-09-25 12:45:00,89.1,446.88
2024-09-25 13:00:00,85.4,446.88
2024-09-25 13:15:00,80.1,446.88
2024-09-25 13:30:00,85.8,446.88
2024-09-25 13:45:00,84.9,446.88
2024-09-25 14:00:00,81.7,446.88
2024-09-25 14:15:00,65.4,446.88
2024-09-25 14:30:00,34.7,446.88
2024-09-25 14:45:00,21.0,446.88
2024-09-25 15:00:00,12.2,446.88
2024-09-25 15:15:00,8.8,446.88
2024-09-25 15:30:00,14.5,446.88
2024-09-25 15:45:00,17.5,446.88
2024-09-25 16:00:00,42.5,446.88
2024-09-25 16:15:00,24.5,446.88
2024-09-25 16:30:00,28.9,446.88
2024-09-25 16:45:00,21.7,446.88
2024-09-25 17:00:00,20.7,446.88
2024-09-25 17:15:00,15.3,446.88
2024-09-25 17:30:00,6.8,446.88
2024-09-25 17:45:00,4.0,446.88
2024-09-25 18:00:00,4.0,446.88
2024-09-25 18:15:00,1.8,446.88
2024-09-25 18:30:00,1.6,446.88
2024-09-25 18:45:00,1.1,446.88
2024-09-25 19:00:00,0.0,446.88
2024-09-25 19:15:00,0.0,446.88
2024-09-25 19:30:00,0.0,446.88
2024-09-25 19:45:00,0.0,446.88
2024-09-25 20:00:00,0.0,446.88
2024-09-25 20:15:00,0.0,446.88
2024-09-25 20:30:00,0.0,446.88
2024-09-25 20:45:00,0.0,446.88
2024-09-25 21:00:00,0.0,446.88
2024-09-25 21:15:00,0.0,446.88
2024-09-25 21:30:00,0.0,446.88
2024-09-25 21:45:00,0.0,446.88
2024-09-25 22:00:00,0.0,446.88
2024-09-25 22:15:00,0.0,446.88
2024-09-25 22:30:00,0.0,446.88
2024-09-25 22:45:00,0.0,446.88
2024-09-25 23:00:00,0.0,446.88
2024-09-25 23:15:00,0.0,446.88
2024-09-25 23:30:00,0.0,446.88
2024-09-25 23:45:00,0.0,446.88
2024-09-26 00:00:00,0.0,446.88
