날짜,발전량(kW),용량합계(kW)
2024-07-19 00:15:00,0.0,446.88
2024-07-19 00:30:00,0.0,446.88
2024-07-19 00:45:00,0.0,446.88
2024-07-19 01:00:00,0.0,446.88
2024-07-19 01:15:00,0.0,446.88
2024-07-19 01:30:00,0.0,446.88
2024-07-19 01:45:00,0.0,446.88
2024-07-19 02:00:00,0.0,446.88
2024-07-19 02:15:00,0.0,446.88
2024-07-19 02:30:00,0.0,446.88
2024-07-19 02:45:00,0.0,446.88
2024-07-19 03:00:00,0.0,446.88
2024-07-19 03:15:00,0.0,446.88
2024-07-19 03:30:00,0.0,446.88
2024-07-19 03:45:00,0.0,446.88
2024-07-19 04:00:00,0.0,446.88
2024-07-19 04:15:00,0.0,446.88
2024-07-19 04:30:00,0.0,446.88
2024-07-19 04:45:00,0.0,446.88
2024-07-19 05:00:00,0.0,446.88
2024-07-19 05:15:00,0.0,446.88
2024-07-19 05:30:00,0.0,446.88
2024-07-19 05:45:00,0.0,446.88
2024-07-19 06:00:00,1.7,446.88
2024-07-19 06:15:00,2.7,446.88
2024-07-19 06:30:00,2.2,446.88
2024-07-19 06:45:00,3.2,446.88
2024-07-19 07:00:00,3.0,446.88
2024-07-19 07:15:00,4.8,446.88
2024-07-19 07:30:00,4.3,446.88
2024-07-19 07:45:00,4.2,446.88
2024-07-19 08:00:00,6.0,446.88
2024-07-19 08:15:00,3.7,446.88
2024-07-19 08:30:00,2.7,446.88
2024-07-19 08:45:00,3.5,446.88
2024-07-19 09:00:00,5.7,446.88
2024-07-19 09:15:00,6.6,446.88
2024-07-19 09:30:00,5.9,446.88
2024-07-19 09:45:00,7.3,446.88
2024-07-19 10:00:00,12.2,446.88
2024-07-19 10:15:00,1.4,446.88
2024-07-19 10:30:00,1.5,446.88
2024-07-19 10:45:00,1.3,446.88
2024-07-19 11:00:00,1.8,446.88
2024-07-19 11:15:00,2.1,446.88
2024-07-19 11:30:00,6.0,446.88
2024-07-19 11:45:00,15.4,446.88
2024-07-19 12:00:00,33.2,446.88
2024-07-19 12:15:00,58.2,446.88
2024-07-19 12:30:00,54.8,446.88
2024-07-19 12:45:00,30.4,446.88
2024-07-19 13:00:00,17.7,446.88
2024-07-19 13:15:00,13.1,446.88
2024-07-19 13:30:00,6.5,446.88
2024-07-19 13:45:00,6.8,446.88
2024-07-19 14:00:00,8.3,446.88
2024-07-19 14:15:00,7.7,446.88
2024-07-19 14:30:00,6.0,446.88
2024-07-19 14:45:00,7.9,446.88
2024-07-19 15:00:00,10.9,446.88
2024-07-19 15:15:00,13.7,446.88
2024-07-19 15:30:00,8.7,446.88
2024-07-19 15:45:00,8.2,446.88
2024-07-19 16:00:00,6.2,446.88
2024-07-19 16:15:00,5.8,446.88
2024-07-19 16:30:00,7.7,446.88
2024-07-19 16:45:00,10.0,446.88
2024-07-19 17:00:00,9.4,446.88
2024-07-19 17:15:00,7.2,446.88
2024-07-19 17:30:00,9.6,446.88
2024-07-19 17:45:00,8.3,446.88
2024-07-19 18:00:00,9.0,446.88
2024-07-19 18:15:00,8.5,446.88
2024-07-19 18:30:00,4.7,446.88
2024-07-19 18:45:00,2.0,446.88
2024-07-19 19:00:00,2.9,446.88
2024-07-19 19:15:00,1.9,446.88
2024-07-19 19:30:00,1.5,446.88
2024-07-19 19:45:00,1.4,446.88
2024-07-19 20:00:00,1.1,446.88
2024-07-19 20:15:00,0.0,446.88
2024-07-19 20:30:00,0.0,446.88
2024-07-19 20:45:00,0.0,446.88
2024-07-19 21:00:00,0.0,446.88
2024-07-19 21:15:00,0.0,446.88
2024-07-19 21:30:00,0.0,446.88
2024-07-19 21:45:00,0.0,446.88
2024-07-19 22:00:00,0.0,446.88
2024-07-19 22:15:00,0.0,446.88
2024-07-19 22:30:00,0.0,446.88
2024-07-19 22:45:00,0.0,446.88
2024-07-19 23:00:00,0.0,446.88
2024-07-19 23:15:00,0.0,446.88
2024-07-19 23:30:00,0.0,446.88
2024-07-19 23:45:00,0.0,446.88
2024-07-20 00:00:00,0.0,446.88
