,시간,01-21 (화)
0,최대,166.26
1,최소,101.75
2,가중평균,136.28
3,01시 1구간,107.71
4,01시 2구간,107.71
5,01시 3구간,107.71
6,01시 4구간,107.71
7,02시 1구간,102.01
8,02시 2구간,102.01
9,02시 3구간,102.01
10,02시 4구간,102.01
11,03시 1구간,102.01
12,03시 2구간,102.01
13,03시 3구간,102.01
14,03시 4구간,102.01
15,04시 1구간,101.75
16,04시 2구간,101.75
17,04시 3구간,101.75
18,04시 4구간,101.75
19,05시 1구간,101.93
20,05시 2구간,101.93
21,05시 3구간,101.93
22,05시 4구간,101.93
23,06시 1구간,102.33
24,06시 2구간,102.33
25,06시 3구간,102.33
26,06시 4구간,102.33
27,07시 1구간,113.13
28,07시 2구간,113.13
29,07시 3구간,113.13
30,07시 4구간,113.13
31,08시 1구간,129.58
32,08시 2구간,129.58
33,08시 3구간,129.58
34,08시 4구간,157.09
35,09시 1구간,157.09
36,09시 2구간,157.09
37,09시 3구간,157.09
38,09시 4구간,157.09
39,10시 1구간,166.26
40,10시 2구간,166.26
41,10시 3구간,166.26
42,10시 4구간,166.26
43,11시 1구간,152.35
44,11시 2구간,152.35
45,11시 3구간,152.35
46,11시 4구간,152.35
47,12시 1구간,146.53
48,12시 2구간,146.53
49,12시 3구간,146.53
50,12시 4구간,146.53
51,13시 1구간,136.7
52,13시 2구간,136.7
53,13시 3구간,136.7
54,13시 4구간,136.7
55,14시 1구간,137.42
56,14시 2구간,137.42
57,14시 3구간,137.42
58,14시 4구간,137.42
59,15시 1구간,137.42
60,15시 2구간,137.42
61,15시 3구간,137.42
62,15시 4구간,137.42
63,16시 1구간,137.72
64,16시 2구간,137.72
65,16시 3구간,137.72
66,16시 4구간,149.46
67,17시 1구간,149.06
68,17시 2구간,149.46
69,17시 3구간,149.46
70,17시 4구간,149.46
71,18시 1구간,150.07
72,18시 2구간,150.4
73,18시 3구간,150.4
74,18시 4구간,150.4
75,19시 1구간,150.61
76,19시 2구간,150.61
77,19시 3구간,150.61
78,19시 4구간,150.61
79,20시 1구간,150.69
80,20시 2구간,150.69
81,20시 3구간,150.69
82,20시 4구간,150.69
83,21시 1구간,150.69
84,21시 2구간,150.69
85,21시 3구간,150.69
86,21시 4구간,150.69
87,22시 1구간,150.69
88,22시 2구간,150.69
89,22시 3구간,150.69
90,22시 4구간,150.69
91,23시 1구간,150.85
92,23시 2구간,150.85
93,23시 3구간,150.85
94,23시 4구간,150.85
95,24시 1구간,150.85
96,24시 2구간,150.85
97,24시 3구간,150.85
98,24시 4구간,150.85
