,시간,12-28 (토)
0,최대,93.83
1,최소,84.67
2,가중평균,92.31
3,01시 1구간,91.9
4,01시 2구간,91.9
5,01시 3구간,91.9
6,01시 4구간,91.9
7,02시 1구간,90.72
8,02시 2구간,90.72
9,02시 3구간,90.72
10,02시 4구간,90.72
11,03시 1구간,87.23
12,03시 2구간,87.23
13,03시 3구간,87.23
14,03시 4구간,87.23
15,04시 1구간,84.67
16,04시 2구간,84.67
17,04시 3구간,84.67
18,04시 4구간,84.67
19,05시 1구간,84.67
20,05시 2구간,84.67
21,05시 3구간,84.67
22,05시 4구간,84.67
23,06시 1구간,86.62
24,06시 2구간,86.62
25,06시 3구간,86.62
26,06시 4구간,86.62
27,07시 1구간,92.88
28,07시 2구간,92.88
29,07시 3구간,92.88
30,07시 4구간,92.88
31,08시 1구간,93.83
32,08시 2구간,93.83
33,08시 3구간,93.83
34,08시 4구간,93.83
35,09시 1구간,93.83
36,09시 2구간,93.83
37,09시 3구간,93.83
38,09시 4구간,93.83
39,10시 1구간,93.83
40,10시 2구간,93.83
41,10시 3구간,93.83
42,10시 4구간,93.83
43,11시 1구간,93.83
44,11시 2구간,93.83
45,11시 3구간,93.83
46,11시 4구간,93.83
47,12시 1구간,93.83
48,12시 2구간,93.83
49,12시 3구간,93.83
50,12시 4구간,93.83
51,13시 1구간,93.31
52,13시 2구간,93.31
53,13시 3구간,93.31
54,13시 4구간,93.31
55,14시 1구간,93.22
56,14시 2구간,93.22
57,14시 3구간,93.22
58,14시 4구간,93.22
59,15시 1구간,92.85
60,15시 2구간,92.85
61,15시 3구간,92.85
62,15시 4구간,92.85
63,16시 1구간,92.96
64,16시 2구간,92.96
65,16시 3구간,92.96
66,16시 4구간,92.96
67,17시 1구간,93.83
68,17시 2구간,93.83
69,17시 3구간,93.83
70,17시 4구간,93.83
71,18시 1구간,93.83
72,18시 2구간,93.83
73,18시 3구간,93.83
74,18시 4구간,93.83
75,19시 1구간,93.83
76,19시 2구간,93.83
77,19시 3구간,93.83
78,19시 4구간,93.83
79,20시 1구간,93.83
80,20시 2구간,93.83
81,20시 3구간,93.83
82,20시 4구간,93.83
83,21시 1구간,93.83
84,21시 2구간,93.83
85,21시 3구간,93.83
86,21시 4구간,93.83
87,22시 1구간,93.83
88,22시 2구간,93.83
89,22시 3구간,93.83
90,22시 4구간,93.83
91,23시 1구간,93.83
92,23시 2구간,93.83
93,23시 3구간,93.83
94,23시 4구간,93.83
95,24시 1구간,93.83
96,24시 2구간,93.83
97,24시 3구간,93.83
98,24시 4구간,93.83
