,시간,01-25 (토)
0,최대,239.94
1,최소,99.39
2,가중평균,136.63
3,01시 1구간,157.63
4,01시 2구간,157.12
5,01시 3구간,157.12
6,01시 4구간,157.12
7,02시 1구간,100.77
8,02시 2구간,100.77
9,02시 3구간,100.77
10,02시 4구간,100.77
11,03시 1구간,107.38
12,03시 2구간,107.38
13,03시 3구간,107.38
14,03시 4구간,107.38
15,04시 1구간,101.33
16,04시 2구간,101.33
17,04시 3구간,101.33
18,04시 4구간,101.33
19,05시 1구간,99.39
20,05시 2구간,99.39
21,05시 3구간,99.39
22,05시 4구간,99.39
23,06시 1구간,101.37
24,06시 2구간,101.37
25,06시 3구간,101.37
26,06시 4구간,101.37
27,07시 1구간,117.4
28,07시 2구간,117.4
29,07시 3구간,117.4
30,07시 4구간,117.4
31,08시 1구간,116.26
32,08시 2구간,116.26
33,08시 3구간,116.26
34,08시 4구간,116.26
35,09시 1구간,239.94
36,09시 2구간,238.98
37,09시 3구간,224.97
38,09시 4구간,230.49
39,10시 1구간,232.42
40,10시 2구간,238.98
41,10시 3구간,230.49
42,10시 4구간,135.88
43,11시 1구간,151.24
44,11시 2구간,151.24
45,11시 3구간,151.24
46,11시 4구간,151.24
47,12시 1구간,146.35
48,12시 2구간,146.35
49,12시 3구간,146.35
50,12시 4구간,146.35
51,13시 1구간,128.48
52,13시 2구간,128.48
53,13시 3구간,128.48
54,13시 4구간,128.48
55,14시 1구간,230.49
56,14시 2구간,116.76
57,14시 3구간,116.76
58,14시 4구간,116.76
59,15시 1구간,223.34
60,15시 2구간,116.76
61,15시 3구간,230.49
62,15시 4구간,239.81
63,16시 1구간,115.78
64,16시 2구간,115.78
65,16시 3구간,115.78
66,16시 4구간,115.78
67,17시 1구간,120.95
68,17시 2구간,120.95
69,17시 3구간,120.95
70,17시 4구간,120.95
71,18시 1구간,138.61
72,18시 2구간,138.61
73,18시 3구간,155.51
74,18시 4구간,156.72
75,19시 1구간,156.99
76,19시 2구간,156.99
77,19시 3구간,156.99
78,19시 4구간,156.99
79,20시 1구간,156.99
80,20시 2구간,156.99
81,20시 3구간,156.99
82,20시 4구간,156.99
83,21시 1구간,117.84
84,21시 2구간,117.84
85,21시 3구간,117.84
86,21시 4구간,117.84
87,22시 1구간,117.49
88,22시 2구간,117.49
89,22시 3구간,117.49
90,22시 4구간,117.49
91,23시 1구간,116.97
92,23시 2구간,116.97
93,23시 3구간,116.97
94,23시 4구간,116.97
95,24시 1구간,116.47
96,24시 2구간,116.47
97,24시 3구간,116.47
98,24시 4구간,116.47
