,시간,03-07 (금)
0,최대,191.84
1,최소,85.51
2,가중평균,122.9
3,01시 1구간,94.02
4,01시 2구간,94.02
5,01시 3구간,94.02
6,01시 4구간,94.02
7,02시 1구간,85.51
8,02시 2구간,85.51
9,02시 3구간,85.51
10,02시 4구간,85.51
11,03시 1구간,85.51
12,03시 2구간,85.51
13,03시 3구간,85.51
14,03시 4구간,85.51
15,04시 1구간,85.51
16,04시 2구간,85.51
17,04시 3구간,85.51
18,04시 4구간,85.51
19,05시 1구간,85.51
20,05시 2구간,85.51
21,05시 3구간,85.51
22,05시 4구간,85.51
23,06시 1구간,88.92
24,06시 2구간,88.92
25,06시 3구간,88.92
26,06시 4구간,88.92
27,07시 1구간,96.9
28,07시 2구간,96.9
29,07시 3구간,96.9
30,07시 4구간,145.06
31,08시 1구간,150.99
32,08시 2구간,151.73
33,08시 3구간,150.59
34,08시 4구간,109.57
35,09시 1구간,151.73
36,09시 2구간,151.73
37,09시 3구간,151.73
38,09시 4구간,150.59
39,10시 1구간,151.58
40,10시 2구간,151.58
41,10시 3구간,130.22
42,10시 4구간,130.22
43,11시 1구간,130.22
44,11시 2구간,130.22
45,11시 3구간,130.22
46,11시 4구간,130.22
47,12시 1구간,130.21
48,12시 2구간,130.21
49,12시 3구간,130.21
50,12시 4구간,130.21
51,13시 1구간,111.96
52,13시 2구간,111.96
53,13시 3구간,111.96
54,13시 4구간,111.96
55,14시 1구간,130.22
56,14시 2구간,130.22
57,14시 3구간,130.22
58,14시 4구간,130.22
59,15시 1구간,130.21
60,15시 2구간,130.21
61,15시 3구간,130.21
62,15시 4구간,130.21
63,16시 1구간,130.22
64,16시 2구간,130.22
65,16시 3구간,130.22
66,16시 4구간,130.22
67,17시 1구간,130.22
68,17시 2구간,130.22
69,17시 3구간,130.22
70,17시 4구간,130.22
71,18시 1구간,145.55
72,18시 2구간,146.14
73,18시 3구간,146.14
74,18시 4구간,147.26
75,19시 1구간,149.49
76,19시 2구간,150.37
77,19시 3구간,150.51
78,19시 4구간,149.75
79,20시 1구간,189.11
80,20시 2구간,191.84
81,20시 3구간,188.68
82,20시 4구간,186.5
83,21시 1구간,185.67
84,21시 2구간,147.52
85,21시 3구간,146.67
86,21시 4구간,147.26
87,22시 1구간,145.23
88,22시 2구간,110.68
89,22시 3구간,110.68
90,22시 4구간,110.68
91,23시 1구간,110.79
92,23시 2구간,110.79
93,23시 3구간,110.79
94,23시 4구간,110.79
95,24시 1구간,97.84
96,24시 2구간,97.84
97,24시 3구간,97.84
98,24시 4구간,97.84
