,시간,03-05 (수)
0,최대,152.49
1,최소,85.51
2,가중평균,126.67
3,01시 1구간,96.24
4,01시 2구간,96.24
5,01시 3구간,96.24
6,01시 4구간,96.24
7,02시 1구간,85.51
8,02시 2구간,85.51
9,02시 3구간,85.51
10,02시 4구간,85.51
11,03시 1구간,85.51
12,03시 2구간,85.51
13,03시 3구간,85.51
14,03시 4구간,85.51
15,04시 1구간,85.51
16,04시 2구간,85.51
17,04시 3구간,85.51
18,04시 4구간,85.51
19,05시 1구간,85.51
20,05시 2구간,85.51
21,05시 3구간,85.51
22,05시 4구간,85.51
23,06시 1구간,85.51
24,06시 2구간,85.51
25,06시 3구간,85.51
26,06시 4구간,85.51
27,07시 1구간,96.9
28,07시 2구간,96.9
29,07시 3구간,96.9
30,07시 4구간,96.9
31,08시 1구간,113.06
32,08시 2구간,113.06
33,08시 3구간,113.06
34,08시 4구간,113.06
35,09시 1구간,129.05
36,09시 2구간,129.05
37,09시 3구간,129.05
38,09시 4구간,129.05
39,10시 1구간,152.49
40,10시 2구간,152.49
41,10시 3구간,152.49
42,10시 4구간,152.49
43,11시 1구간,152.49
44,11시 2구간,152.49
45,11시 3구간,152.49
46,11시 4구간,152.49
47,12시 1구간,148.01
48,12시 2구간,148.01
49,12시 3구간,148.01
50,12시 4구간,148.01
51,13시 1구간,148.01
52,13시 2구간,148.01
53,13시 3구간,148.01
54,13시 4구간,148.01
55,14시 1구간,148.01
56,14시 2구간,148.01
57,14시 3구간,148.01
58,14시 4구간,148.01
59,15시 1구간,148.01
60,15시 2구간,148.01
61,15시 3구간,148.01
62,15시 4구간,148.01
63,16시 1구간,148.01
64,16시 2구간,148.01
65,16시 3구간,148.01
66,16시 4구간,148.01
67,17시 1구간,148.01
68,17시 2구간,148.01
69,17시 3구간,148.01
70,17시 4구간,148.01
71,18시 1구간,121.47
72,18시 2구간,121.47
73,18시 3구간,121.47
74,18시 4구간,148.01
75,19시 1구간,148.01
76,19시 2구간,148.01
77,19시 3구간,148.01
78,19시 4구간,148.01
79,20시 1구간,148.01
80,20시 2구간,148.01
81,20시 3구간,148.01
82,20시 4구간,148.01
83,21시 1구간,149.13
84,21시 2구간,149.13
85,21시 3구간,149.13
86,21시 4구간,149.13
87,22시 1구간,144.66
88,22시 2구간,144.66
89,22시 3구간,142.6
90,22시 4구간,142.6
91,23시 1구간,111.89
92,23시 2구간,111.89
93,23시 3구간,111.89
94,23시 4구간,111.89
95,24시 1구간,112.42
96,24시 2구간,112.42
97,24시 3구간,112.42
98,24시 4구간,112.42
