,시간,12-05 (목)
0,최대,160.3
1,최소,-76.87
2,가중평균,113.2
3,01시 1구간,92.2
4,01시 2구간,92.2
5,01시 3구간,92.2
6,01시 4구간,92.2
7,02시 1구간,91.12
8,02시 2구간,91.12
9,02시 3구간,91.12
10,02시 4구간,91.12
11,03시 1구간,86.17
12,03시 2구간,86.17
13,03시 3구간,86.17
14,03시 4구간,86.17
15,04시 1구간,86.17
16,04시 2구간,86.17
17,04시 3구간,86.17
18,04시 4구간,86.17
19,05시 1구간,86.17
20,05시 2구간,86.17
21,05시 3구간,86.17
22,05시 4구간,86.17
23,06시 1구간,91.56
24,06시 2구간,91.56
25,06시 3구간,91.56
26,06시 4구간,91.56
27,07시 1구간,101.0
28,07시 2구간,101.0
29,07시 3구간,101.0
30,07시 4구간,101.0
31,08시 1구간,120.77
32,08시 2구간,120.77
33,08시 3구간,120.77
34,08시 4구간,120.77
35,09시 1구간,141.63
36,09시 2구간,141.63
37,09시 3구간,141.63
38,09시 4구간,141.63
39,10시 1구간,143.43
40,10시 2구간,143.43
41,10시 3구간,143.43
42,10시 4구간,143.43
43,11시 1구간,151.16
44,11시 2구간,151.16
45,11시 3구간,151.16
46,11시 4구간,151.16
47,12시 1구간,143.4
48,12시 2구간,143.4
49,12시 3구간,0.0
50,12시 4구간,-76.86
51,13시 1구간,-76.86
52,13시 2구간,-76.87
53,13시 3구간,-76.86
54,13시 4구간,-48.0
55,14시 1구간,0.0
56,14시 2구간,137.21
57,14시 3구간,137.21
58,14시 4구간,137.21
59,15시 1구간,137.29
60,15시 2구간,137.29
61,15시 3구간,137.29
62,15시 4구간,137.29
63,16시 1구간,143.07
64,16시 2구간,143.07
65,16시 3구간,143.07
66,16시 4구간,143.07
67,17시 1구간,142.66
68,17시 2구간,160.3
69,17시 3구간,160.3
70,17시 4구간,160.3
71,18시 1구간,159.39
72,18시 2구간,159.39
73,18시 3구간,159.39
74,18시 4구간,159.39
75,19시 1구간,158.76
76,19시 2구간,158.76
77,19시 3구간,158.76
78,19시 4구간,158.76
79,20시 1구간,122.66
80,20시 2구간,122.66
81,20시 3구간,122.66
82,20시 4구간,122.66
83,21시 1구간,158.76
84,21시 2구간,158.76
85,21시 3구간,158.76
86,21시 4구간,158.76
87,22시 1구간,120.77
88,22시 2구간,120.77
89,22시 3구간,120.77
90,22시 4구간,120.77
91,23시 1구간,120.02
92,23시 2구간,120.02
93,23시 3구간,120.02
94,23시 4구간,120.02
95,24시 1구간,104.26
96,24시 2구간,104.26
97,24시 3구간,104.26
98,24시 4구간,104.26
