,시간,02-13 (목)
0,최대,150.42
1,최소,98.25
2,가중평균,129.49
3,01시 1구간,112.57
4,01시 2구간,112.57
5,01시 3구간,112.57
6,01시 4구간,112.57
7,02시 1구간,101.6
8,02시 2구간,101.6
9,02시 3구간,101.6
10,02시 4구간,101.6
11,03시 1구간,101.61
12,03시 2구간,101.61
13,03시 3구간,101.61
14,03시 4구간,101.61
15,04시 1구간,98.25
16,04시 2구간,98.25
17,04시 3구간,98.25
18,04시 4구간,98.25
19,05시 1구간,101.6
20,05시 2구간,101.6
21,05시 3구간,101.6
22,05시 4구간,101.6
23,06시 1구간,111.24
24,06시 2구간,111.24
25,06시 3구간,111.24
26,06시 4구간,111.24
27,07시 1구간,112.61
28,07시 2구간,112.61
29,07시 3구간,112.61
30,07시 4구간,112.61
31,08시 1구간,132.81
32,08시 2구간,132.81
33,08시 3구간,132.81
34,08시 4구간,132.81
35,09시 1구간,136.01
36,09시 2구간,136.01
37,09시 3구간,136.01
38,09시 4구간,136.01
39,10시 1구간,145.76
40,10시 2구간,145.76
41,10시 3구간,145.76
42,10시 4구간,145.76
43,11시 1구간,148.65
44,11시 2구간,148.65
45,11시 3구간,146.77
46,11시 4구간,146.77
47,12시 1구간,139.35
48,12시 2구간,139.35
49,12시 3구간,139.35
50,12시 4구간,139.35
51,13시 1구간,131.12
52,13시 2구간,131.12
53,13시 3구간,131.12
54,13시 4구간,131.12
55,14시 1구간,132.15
56,14시 2구간,132.15
57,14시 3구간,132.15
58,14시 4구간,112.86
59,15시 1구간,141.71
60,15시 2구간,141.71
61,15시 3구간,132.15
62,15시 4구간,132.15
63,16시 1구간,131.37
64,16시 2구간,131.37
65,16시 3구간,131.37
66,16시 4구간,131.37
67,17시 1구간,140.03
68,17시 2구간,140.03
69,17시 3구간,140.03
70,17시 4구간,140.03
71,18시 1구간,131.12
72,18시 2구간,131.12
73,18시 3구간,131.12
74,18시 4구간,131.12
75,19시 1구간,132.23
76,19시 2구간,132.23
77,19시 3구간,132.23
78,19시 4구간,148.87
79,20시 1구간,149.77
80,20시 2구간,149.77
81,20시 3구간,149.77
82,20시 4구간,149.77
83,21시 1구간,150.03
84,21시 2구간,150.03
85,21시 3구간,150.03
86,21시 4구간,150.03
87,22시 1구간,150.09
88,22시 2구간,150.09
89,22시 3구간,150.09
90,22시 4구간,150.42
91,23시 1구간,150.03
92,23시 2구간,150.03
93,23시 3구간,150.03
94,23시 4구간,150.03
95,24시 1구간,114.04
96,24시 2구간,114.04
97,24시 3구간,114.04
98,24시 4구간,114.04
