,시간,12-23 (월)
0,최대,172.49
1,최소,88.64
2,가중평균,128.8
3,01시 1구간,122.02
4,01시 2구간,122.02
5,01시 3구간,122.02
6,01시 4구간,122.02
7,02시 1구간,91.2
8,02시 2구간,91.2
9,02시 3구간,91.2
10,02시 4구간,91.2
11,03시 1구간,89.11
12,03시 2구간,89.11
13,03시 3구간,89.11
14,03시 4구간,89.11
15,04시 1구간,89.11
16,04시 2구간,89.11
17,04시 3구간,89.11
18,04시 4구간,89.11
19,05시 1구간,88.64
20,05시 2구간,88.64
21,05시 3구간,88.64
22,05시 4구간,88.64
23,06시 1구간,91.59
24,06시 2구간,91.59
25,06시 3구간,91.59
26,06시 4구간,91.59
27,07시 1구간,92.32
28,07시 2구간,92.32
29,07시 3구간,92.32
30,07시 4구간,92.32
31,08시 1구간,113.79
32,08시 2구간,113.79
33,08시 3구간,113.79
34,08시 4구간,113.79
35,09시 1구간,162.61
36,09시 2구간,162.61
37,09시 3구간,162.61
38,09시 4구간,162.61
39,10시 1구간,172.49
40,10시 2구간,172.49
41,10시 3구간,172.49
42,10시 4구간,172.49
43,11시 1구간,162.78
44,11시 2구간,162.78
45,11시 3구간,161.61
46,11시 4구간,161.61
47,12시 1구간,154.54
48,12시 2구간,154.54
49,12시 3구간,154.54
50,12시 4구간,154.54
51,13시 1구간,142.92
52,13시 2구간,142.92
53,13시 3구간,142.92
54,13시 4구간,142.92
55,14시 1구간,143.03
56,14시 2구간,143.03
57,14시 3구간,143.03
58,14시 4구간,143.03
59,15시 1구간,143.1
60,15시 2구간,143.1
61,15시 3구간,143.1
62,15시 4구간,143.1
63,16시 1구간,144.36
64,16시 2구간,144.36
65,16시 3구간,144.36
66,16시 4구간,144.36
67,17시 1구간,143.03
68,17시 2구간,143.03
69,17시 3구간,143.03
70,17시 4구간,143.03
71,18시 1구간,141.68
72,18시 2구간,141.68
73,18시 3구간,141.68
74,18시 4구간,141.68
75,19시 1구간,143.23
76,19시 2구간,143.23
77,19시 3구간,143.23
78,19시 4구간,143.23
79,20시 1구간,143.23
80,20시 2구간,143.23
81,20시 3구간,143.23
82,20시 4구간,143.23
83,21시 1구간,135.95
84,21시 2구간,135.95
85,21시 3구간,135.95
86,21시 4구간,135.95
87,22시 1구간,118.47
88,22시 2구간,118.47
89,22시 3구간,118.47
90,22시 4구간,118.47
91,23시 1구간,118.41
92,23시 2구간,118.41
93,23시 3구간,118.41
94,23시 4구간,118.41
95,24시 1구간,102.62
96,24시 2구간,102.62
97,24시 3구간,102.62
98,24시 4구간,102.62
