,시간,02-02 (일)
0,최대,106.3
1,최소,81.27
2,가중평균,95.83
3,01시 1구간,96.38
4,01시 2구간,96.38
5,01시 3구간,96.38
6,01시 4구간,96.38
7,02시 1구간,82.91
8,02시 2구간,82.91
9,02시 3구간,82.91
10,02시 4구간,82.91
11,03시 1구간,82.0
12,03시 2구간,82.0
13,03시 3구간,82.0
14,03시 4구간,82.0
15,04시 1구간,81.27
16,04시 2구간,81.27
17,04시 3구간,81.27
18,04시 4구간,81.27
19,05시 1구간,81.27
20,05시 2구간,81.27
21,05시 3구간,81.27
22,05시 4구간,81.27
23,06시 1구간,81.4
24,06시 2구간,81.4
25,06시 3구간,81.4
26,06시 4구간,81.4
27,07시 1구간,82.94
28,07시 2구간,82.94
29,07시 3구간,82.94
30,07시 4구간,82.94
31,08시 1구간,82.94
32,08시 2구간,82.94
33,08시 3구간,82.94
34,08시 4구간,82.94
35,09시 1구간,95.27
36,09시 2구간,95.27
37,09시 3구간,95.27
38,09시 4구간,95.27
39,10시 1구간,98.13
40,10시 2구간,98.13
41,10시 3구간,98.13
42,10시 4구간,98.13
43,11시 1구간,100.7
44,11시 2구간,100.7
45,11시 3구간,100.7
46,11시 4구간,100.7
47,12시 1구간,100.74
48,12시 2구간,100.74
49,12시 3구간,100.74
50,12시 4구간,100.74
51,13시 1구간,100.59
52,13시 2구간,100.59
53,13시 3구간,100.59
54,13시 4구간,100.59
55,14시 1구간,100.74
56,14시 2구간,100.74
57,14시 3구간,100.74
58,14시 4구간,100.74
59,15시 1구간,106.29
60,15시 2구간,106.29
61,15시 3구간,106.29
62,15시 4구간,106.29
63,16시 1구간,106.3
64,16시 2구간,106.3
65,16시 3구간,106.3
66,16시 4구간,106.3
67,17시 1구간,105.9
68,17시 2구간,105.9
69,17시 3구간,105.9
70,17시 4구간,105.9
71,18시 1구간,106.21
72,18시 2구간,106.21
73,18시 3구간,106.21
74,18시 4구간,106.21
75,19시 1구간,105.96
76,19시 2구간,105.96
77,19시 3구간,105.96
78,19시 4구간,105.96
79,20시 1구간,100.74
80,20시 2구간,100.74
81,20시 3구간,100.74
82,20시 4구간,100.74
83,21시 1구간,100.74
84,21시 2구간,100.74
85,21시 3구간,100.74
86,21시 4구간,100.74
87,22시 1구간,99.79
88,22시 2구간,99.79
89,22시 3구간,99.79
90,22시 4구간,99.79
91,23시 1구간,98.13
92,23시 2구간,98.13
93,23시 3구간,98.13
94,23시 4구간,98.13
95,24시 1구간,97.32
96,24시 2구간,97.32
97,24시 3구간,97.32
98,24시 4구간,97.32
