,시간,12-31 (화)
0,최대,170.85
1,최소,80.48
2,가중평균,107.57
3,01시 1구간,84.86
4,01시 2구간,84.86
5,01시 3구간,84.86
6,01시 4구간,84.86
7,02시 1구간,81.4
8,02시 2구간,81.4
9,02시 3구간,81.4
10,02시 4구간,81.4
11,03시 1구간,80.48
12,03시 2구간,80.48
13,03시 3구간,80.48
14,03시 4구간,80.48
15,04시 1구간,80.48
16,04시 2구간,80.48
17,04시 3구간,80.48
18,04시 4구간,80.48
19,05시 1구간,80.48
20,05시 2구간,80.48
21,05시 3구간,80.48
22,05시 4구간,80.48
23,06시 1구간,80.48
24,06시 2구간,80.48
25,06시 3구간,80.48
26,06시 4구간,80.48
27,07시 1구간,83.85
28,07시 2구간,83.85
29,07시 3구간,83.85
30,07시 4구간,83.85
31,08시 1구간,92.53
32,08시 2구간,92.53
33,08시 3구간,92.53
34,08시 4구간,92.53
35,09시 1구간,142.95
36,09시 2구간,142.95
37,09시 3구간,142.95
38,09시 4구간,142.95
39,10시 1구간,170.85
40,10시 2구간,158.05
41,10시 3구간,158.05
42,10시 4구간,158.05
43,11시 1구간,131.37
44,11시 2구간,131.37
45,11시 3구간,131.37
46,11시 4구간,131.37
47,12시 1구간,127.59
48,12시 2구간,127.59
49,12시 3구간,127.59
50,12시 4구간,127.59
51,13시 1구간,122.66
52,13시 2구간,122.66
53,13시 3구간,122.66
54,13시 4구간,122.66
55,14시 1구간,122.66
56,14시 2구간,122.66
57,14시 3구간,122.66
58,14시 4구간,122.66
59,15시 1구간,122.66
60,15시 2구간,122.66
61,15시 3구간,122.66
62,15시 4구간,122.66
63,16시 1구간,122.66
64,16시 2구간,122.66
65,16시 3구간,122.66
66,16시 4구간,122.66
67,17시 1구간,122.85
68,17시 2구간,122.85
69,17시 3구간,122.85
70,17시 4구간,122.85
71,18시 1구간,122.99
72,18시 2구간,122.99
73,18시 3구간,122.99
74,18시 4구간,122.99
75,19시 1구간,123.06
76,19시 2구간,123.06
77,19시 3구간,123.06
78,19시 4구간,123.06
79,20시 1구간,109.49
80,20시 2구간,109.49
81,20시 3구간,109.49
82,20시 4구간,109.49
83,21시 1구간,92.53
84,21시 2구간,92.53
85,21시 3구간,92.53
86,21시 4구간,92.53
87,22시 1구간,92.53
88,22시 2구간,92.53
89,22시 3구간,92.53
90,22시 4구간,92.53
91,23시 1구간,92.53
92,23시 2구간,92.53
93,23시 3구간,92.53
94,23시 4구간,92.53
95,24시 1구간,92.53
96,24시 2구간,92.53
97,24시 3구간,92.53
98,24시 4구간,92.53
