,시간,03-27 (목)
0,최대,160.78
1,최소,96.58
2,가중평균,122.17
3,01시 1구간,112.54
4,01시 2구간,112.54
5,01시 3구간,112.54
6,01시 4구간,112.54
7,02시 1구간,96.79
8,02시 2구간,96.79
9,02시 3구간,96.79
10,02시 4구간,96.79
11,03시 1구간,96.58
12,03시 2구간,96.58
13,03시 3구간,96.58
14,03시 4구간,96.58
15,04시 1구간,96.58
16,04시 2구간,96.58
17,04시 3구간,96.58
18,04시 4구간,96.58
19,05시 1구간,96.58
20,05시 2구간,96.58
21,05시 3구간,96.58
22,05시 4구간,96.58
23,06시 1구간,96.76
24,06시 2구간,96.76
25,06시 3구간,96.76
26,06시 4구간,96.76
27,07시 1구간,97.49
28,07시 2구간,97.49
29,07시 3구간,97.49
30,07시 4구간,97.49
31,08시 1구간,113.8
32,08시 2구간,113.8
33,08시 3구간,113.8
34,08시 4구간,113.8
35,09시 1구간,117.53
36,09시 2구간,117.53
37,09시 3구간,117.53
38,09시 4구간,117.53
39,10시 1구간,160.78
40,10시 2구간,160.78
41,10시 3구간,160.78
42,10시 4구간,160.78
43,11시 1구간,160.78
44,11시 2구간,160.78
45,11시 3구간,160.78
46,11시 4구간,160.78
47,12시 1구간,134.55
48,12시 2구간,134.55
49,12시 3구간,134.55
50,12시 4구간,134.55
51,13시 1구간,124.9
52,13시 2구간,124.9
53,13시 3구간,124.9
54,13시 4구간,124.9
55,14시 1구간,134.48
56,14시 2구간,134.48
57,14시 3구간,134.48
58,14시 4구간,134.48
59,15시 1구간,134.33
60,15시 2구간,134.33
61,15시 3구간,134.33
62,15시 4구간,134.33
63,16시 1구간,134.88
64,16시 2구간,134.88
65,16시 3구간,134.88
66,16시 4구간,134.88
67,17시 1구간,134.72
68,17시 2구간,134.72
69,17시 3구간,134.72
70,17시 4구간,134.72
71,18시 1구간,130.4
72,18시 2구간,130.4
73,18시 3구간,130.4
74,18시 4구간,130.4
75,19시 1구간,128.87
76,19시 2구간,145.77
77,19시 3구간,145.12
78,19시 4구간,145.12
79,20시 1구간,145.16
80,20시 2구간,145.16
81,20시 3구간,132.89
82,20시 4구간,132.89
83,21시 1구간,113.8
84,21시 2구간,113.8
85,21시 3구간,113.8
86,21시 4구간,113.8
87,22시 1구간,113.38
88,22시 2구간,113.38
89,22시 3구간,113.38
90,22시 4구간,113.38
91,23시 1구간,113.8
92,23시 2구간,113.8
93,23시 3구간,113.8
94,23시 4구간,113.8
95,24시 1구간,104.43
96,24시 2구간,104.43
97,24시 3구간,104.43
98,24시 4구간,104.43
