,시간,01-24 (금)
0,최대,156.44
1,최소,-75.01
2,가중평균,113.39
3,01시 1구간,118.47
4,01시 2구간,118.47
5,01시 3구간,118.47
6,01시 4구간,118.47
7,02시 1구간,107.85
8,02시 2구간,107.85
9,02시 3구간,107.85
10,02시 4구간,107.85
11,03시 1구간,102.41
12,03시 2구간,102.41
13,03시 3구간,102.41
14,03시 4구간,102.41
15,04시 1구간,101.78
16,04시 2구간,101.78
17,04시 3구간,101.78
18,04시 4구간,101.78
19,05시 1구간,101.95
20,05시 2구간,101.95
21,05시 3구간,101.95
22,05시 4구간,101.95
23,06시 1구간,102.31
24,06시 2구간,102.31
25,06시 3구간,102.31
26,06시 4구간,102.31
27,07시 1구간,108.61
28,07시 2구간,108.61
29,07시 3구간,108.61
30,07시 4구간,108.61
31,08시 1구간,153.76
32,08시 2구간,153.76
33,08시 3구간,153.76
34,08시 4구간,153.76
35,09시 1구간,153.76
36,09시 2구간,153.76
37,09시 3구간,153.76
38,09시 4구간,153.76
39,10시 1구간,156.44
40,10시 2구간,156.44
41,10시 3구간,156.44
42,10시 4구간,156.44
43,11시 1구간,153.54
44,11시 2구간,153.54
45,11시 3구간,153.54
46,11시 4구간,122.73
47,12시 1구간,116.78
48,12시 2구간,0.0
49,12시 3구간,-48.0
50,12시 4구간,0.0
51,13시 1구간,-48.0
52,13시 2구간,-50.01
53,13시 3구간,-75.01
54,13시 4구간,-75.01
55,14시 1구간,-50.01
56,14시 2구간,0.0
57,14시 3구간,0.0
58,14시 4구간,0.0
59,15시 1구간,117.44
60,15시 2구간,138.58
61,15시 3구간,138.58
62,15시 4구간,138.58
63,16시 1구간,137.04
64,16시 2구간,137.04
65,16시 3구간,137.04
66,16시 4구간,137.04
67,17시 1구간,138.87
68,17시 2구간,138.87
69,17시 3구간,138.87
70,17시 4구간,138.87
71,18시 1구간,136.74
72,18시 2구간,136.74
73,18시 3구간,155.23
74,18시 4구간,155.23
75,19시 1구간,139.43
76,19시 2구간,139.43
77,19시 3구간,139.43
78,19시 4구간,139.43
79,20시 1구간,132.84
80,20시 2구간,155.55
81,20시 3구간,155.55
82,20시 4구간,155.55
83,21시 1구간,118.77
84,21시 2구간,118.77
85,21시 3구간,118.77
86,21시 4구간,118.77
87,22시 1구간,108.61
88,22시 2구간,108.61
89,22시 3구간,108.61
90,22시 4구간,108.61
91,23시 1구간,118.47
92,23시 2구간,118.47
93,23시 3구간,118.47
94,23시 4구간,118.47
95,24시 1구간,155.79
96,24시 2구간,155.79
97,24시 3구간,155.79
98,24시 4구간,155.79
