,시간,12-08 (일)
0,최대,103.85
1,최소,0.0
2,가중평균,85.48
3,01시 1구간,92.06
4,01시 2구간,92.06
5,01시 3구간,92.06
6,01시 4구간,92.06
7,02시 1구간,83.18
8,02시 2구간,83.18
9,02시 3구간,83.18
10,02시 4구간,83.18
11,03시 1구간,83.18
12,03시 2구간,83.18
13,03시 3구간,83.18
14,03시 4구간,83.18
15,04시 1구간,80.94
16,04시 2구간,80.94
17,04시 3구간,80.94
18,04시 4구간,80.94
19,05시 1구간,82.17
20,05시 2구간,82.17
21,05시 3구간,82.17
22,05시 4구간,82.17
23,06시 1구간,83.18
24,06시 2구간,83.18
25,06시 3구간,83.18
26,06시 4구간,83.18
27,07시 1구간,92.11
28,07시 2구간,92.11
29,07시 3구간,92.11
30,07시 4구간,92.11
31,08시 1구간,92.15
32,08시 2구간,92.15
33,08시 3구간,92.15
34,08시 4구간,92.15
35,09시 1구간,92.15
36,09시 2구간,92.15
37,09시 3구간,92.15
38,09시 4구간,92.15
39,10시 1구간,80.59
40,10시 2구간,80.59
41,10시 3구간,80.59
42,10시 4구간,80.59
43,11시 1구간,89.43
44,11시 2구간,89.43
45,11시 3구간,89.43
46,11시 4구간,89.43
47,12시 1구간,80.24
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,0.0
51,13시 1구간,0.0
52,13시 2구간,6.19
53,13시 3구간,6.19
54,13시 4구간,6.19
55,14시 1구간,76.67
56,14시 2구간,76.67
57,14시 3구간,76.67
58,14시 4구간,76.67
59,15시 1구간,80.24
60,15시 2구간,80.24
61,15시 3구간,80.24
62,15시 4구간,80.24
63,16시 1구간,80.59
64,16시 2구간,80.59
65,16시 3구간,80.59
66,16시 4구간,80.59
67,17시 1구간,91.86
68,17시 2구간,91.86
69,17시 3구간,91.86
70,17시 4구간,91.86
71,18시 1구간,103.84
72,18시 2구간,103.84
73,18시 3구간,103.84
74,18시 4구간,103.84
75,19시 1구간,103.84
76,19시 2구간,103.84
77,19시 3구간,103.84
78,19시 4구간,103.84
79,20시 1구간,103.84
80,20시 2구간,103.84
81,20시 3구간,103.84
82,20시 4구간,103.84
83,21시 1구간,103.85
84,21시 2구간,103.85
85,21시 3구간,103.85
86,21시 4구간,103.85
87,22시 1구간,103.85
88,22시 2구간,103.85
89,22시 3구간,103.85
90,22시 4구간,103.85
91,23시 1구간,103.49
92,23시 2구간,103.49
93,23시 3구간,103.49
94,23시 4구간,103.49
95,24시 1구간,93.61
96,24시 2구간,93.61
97,24시 3구간,93.61
98,24시 4구간,93.61
