,시간,01-11 (토)
0,최대,152.86
1,최소,102.74
2,가중평균,130.42
3,01시 1구간,114.96
4,01시 2구간,114.96
5,01시 3구간,114.96
6,01시 4구간,114.96
7,02시 1구간,106.45
8,02시 2구간,106.45
9,02시 3구간,106.45
10,02시 4구간,106.45
11,03시 1구간,102.74
12,03시 2구간,102.74
13,03시 3구간,102.74
14,03시 4구간,102.74
15,04시 1구간,102.74
16,04시 2구간,102.74
17,04시 3구간,102.74
18,04시 4구간,102.74
19,05시 1구간,102.74
20,05시 2구간,102.74
21,05시 3구간,102.74
22,05시 4구간,102.74
23,06시 1구간,106.12
24,06시 2구간,106.12
25,06시 3구간,106.12
26,06시 4구간,106.12
27,07시 1구간,106.52
28,07시 2구간,106.52
29,07시 3구간,106.52
30,07시 4구간,106.52
31,08시 1구간,117.4
32,08시 2구간,117.4
33,08시 3구간,117.4
34,08시 4구간,117.4
35,09시 1구간,118.75
36,09시 2구간,118.75
37,09시 3구간,118.75
38,09시 4구간,118.75
39,10시 1구간,152.86
40,10시 2구간,152.86
41,10시 3구간,152.86
42,10시 4구간,152.86
43,11시 1구간,152.1
44,11시 2구간,152.1
45,11시 3구간,152.1
46,11시 4구간,152.1
47,12시 1구간,152.1
48,12시 2구간,152.1
49,12시 3구간,151.79
50,12시 4구간,151.21
51,13시 1구간,151.21
52,13시 2구간,151.21
53,13시 3구간,151.21
54,13시 4구간,151.21
55,14시 1구간,151.21
56,14시 2구간,151.21
57,14시 3구간,151.21
58,14시 4구간,151.21
59,15시 1구간,151.21
60,15시 2구간,151.21
61,15시 3구간,151.21
62,15시 4구간,151.21
63,16시 1구간,151.21
64,16시 2구간,151.21
65,16시 3구간,151.21
66,16시 4구간,151.21
67,17시 1구간,134.11
68,17시 2구간,134.11
69,17시 3구간,134.11
70,17시 4구간,134.11
71,18시 1구간,131.93
72,18시 2구간,131.93
73,18시 3구간,131.93
74,18시 4구간,152.78
75,19시 1구간,152.1
76,19시 2구간,152.1
77,19시 3구간,152.1
78,19시 4구간,152.1
79,20시 1구간,152.1
80,20시 2구간,152.1
81,20시 3구간,152.1
82,20시 4구간,152.1
83,21시 1구간,152.1
84,21시 2구간,152.1
85,21시 3구간,152.1
86,21시 4구간,152.1
87,22시 1구간,116.1
88,22시 2구간,116.1
89,22시 3구간,116.1
90,22시 4구간,116.1
91,23시 1구간,116.56
92,23시 2구간,116.56
93,23시 3구간,116.56
94,23시 4구간,116.56
95,24시 1구간,115.23
96,24시 2구간,115.23
97,24시 3구간,115.23
98,24시 4구간,115.23
