,시간,12-06 (금)
0,최대,165.21
1,최소,-76.86
2,가중평균,116.84
3,01시 1구간,97.79
4,01시 2구간,97.79
5,01시 3구간,97.79
6,01시 4구간,97.79
7,02시 1구간,81.98
8,02시 2구간,81.98
9,02시 3구간,81.98
10,02시 4구간,81.98
11,03시 1구간,80.52
12,03시 2구간,80.52
13,03시 3구간,80.52
14,03시 4구간,80.52
15,04시 1구간,80.52
16,04시 2구간,80.52
17,04시 3구간,80.52
18,04시 4구간,80.52
19,05시 1구간,80.52
20,05시 2구간,80.52
21,05시 3구간,80.52
22,05시 4구간,80.52
23,06시 1구간,86.67
24,06시 2구간,86.67
25,06시 3구간,86.67
26,06시 4구간,86.67
27,07시 1구간,100.92
28,07시 2구간,100.92
29,07시 3구간,100.92
30,07시 4구간,100.92
31,08시 1구간,116.28
32,08시 2구간,116.28
33,08시 3구간,116.28
34,08시 4구간,116.28
35,09시 1구간,143.43
36,09시 2구간,143.43
37,09시 3구간,143.43
38,09시 4구간,143.43
39,10시 1구간,143.08
40,10시 2구간,143.08
41,10시 3구간,143.08
42,10시 4구간,143.08
43,11시 1구간,165.21
44,11시 2구간,165.21
45,11시 3구간,165.21
46,11시 4구간,164.1
47,12시 1구간,139.91
48,12시 2구간,139.91
49,12시 3구간,139.91
50,12시 4구간,139.91
51,13시 1구간,122.78
52,13시 2구간,122.78
53,13시 3구간,-76.86
54,13시 4구간,157.23
55,14시 1구간,157.89
56,14시 2구간,157.89
57,14시 3구간,157.89
58,14시 4구간,122.78
59,15시 1구간,122.78
60,15시 2구간,122.78
61,15시 3구간,122.78
62,15시 4구간,122.78
63,16시 1구간,141.19
64,16시 2구간,141.19
65,16시 3구간,141.19
66,16시 4구간,141.19
67,17시 1구간,143.06
68,17시 2구간,143.06
69,17시 3구간,143.06
70,17시 4구간,143.06
71,18시 1구간,133.12
72,18시 2구간,133.12
73,18시 3구간,133.12
74,18시 4구간,133.12
75,19시 1구간,118.54
76,19시 2구간,118.54
77,19시 3구간,118.54
78,19시 4구간,118.54
79,20시 1구간,121.84
80,20시 2구간,121.84
81,20시 3구간,121.84
82,20시 4구간,121.84
83,21시 1구간,116.76
84,21시 2구간,116.76
85,21시 3구간,116.76
86,21시 4구간,116.76
87,22시 1구간,112.75
88,22시 2구간,112.75
89,22시 3구간,112.75
90,22시 4구간,112.75
91,23시 1구간,101.62
92,23시 2구간,101.62
93,23시 3구간,101.62
94,23시 4구간,101.62
95,24시 1구간,110.17
96,24시 2구간,110.17
97,24시 3구간,110.17
98,24시 4구간,110.17
