,시간,01-01 (수)
0,최대,249.78
1,최소,0.0
2,가중평균,82.79
3,01시 1구간,81.99
4,01시 2구간,81.99
5,01시 3구간,81.99
6,01시 4구간,81.99
7,02시 1구간,78.61
8,02시 2구간,78.61
9,02시 3구간,78.61
10,02시 4구간,78.61
11,03시 1구간,78.61
12,03시 2구간,78.61
13,03시 3구간,78.61
14,03시 4구간,78.61
15,04시 1구간,78.61
16,04시 2구간,78.61
17,04시 3구간,78.61
18,04시 4구간,78.61
19,05시 1구간,78.61
20,05시 2구간,78.61
21,05시 3구간,78.61
22,05시 4구간,78.61
23,06시 1구간,78.61
24,06시 2구간,78.61
25,06시 3구간,78.61
26,06시 4구간,78.61
27,07시 1구간,79.74
28,07시 2구간,79.74
29,07시 3구간,79.74
30,07시 4구간,79.74
31,08시 1구간,79.74
32,08시 2구간,79.74
33,08시 3구간,79.74
34,08시 4구간,79.74
35,09시 1구간,77.32
36,09시 2구간,77.32
37,09시 3구간,77.32
38,09시 4구간,77.32
39,10시 1구간,76.0
40,10시 2구간,76.0
41,10시 3구간,76.0
42,10시 4구간,76.0
43,11시 1구간,71.2
44,11시 2구간,71.2
45,11시 3구간,71.2
46,11시 4구간,71.2
47,12시 1구간,71.2
48,12시 2구간,71.2
49,12시 3구간,71.2
50,12시 4구간,71.2
51,13시 1구간,0.0
52,13시 2구간,0.0
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,6.85
56,14시 2구간,6.85
57,14시 3구간,6.85
58,14시 4구간,6.85
59,15시 1구간,71.2
60,15시 2구간,71.2
61,15시 3구간,71.2
62,15시 4구간,71.2
63,16시 1구간,71.33
64,16시 2구간,71.33
65,16시 3구간,71.33
66,16시 4구간,71.33
67,17시 1구간,122.07
68,17시 2구간,125.33
69,17시 3구간,125.33
70,17시 4구간,249.78
71,18시 1구간,125.33
72,18시 2구간,96.78
73,18시 3구간,96.78
74,18시 4구간,122.75
75,19시 1구간,96.78
76,19시 2구간,96.78
77,19시 3구간,96.78
78,19시 4구간,96.78
79,20시 1구간,97.0
80,20시 2구간,97.0
81,20시 3구간,97.0
82,20시 4구간,97.0
83,21시 1구간,97.02
84,21시 2구간,97.02
85,21시 3구간,97.02
86,21시 4구간,97.02
87,22시 1구간,97.63
88,22시 2구간,97.63
89,22시 3구간,97.63
90,22시 4구간,97.63
91,23시 1구간,97.63
92,23시 2구간,97.63
93,23시 3구간,97.63
94,23시 4구간,97.63
95,24시 1구간,97.08
96,24시 2구간,97.08
97,24시 3구간,97.08
98,24시 4구간,97.08
