,시간,01-13 (월)
0,최대,165.24
1,최소,97.74
2,가중평균,134.27
3,01시 1구간,110.94
4,01시 2구간,110.94
5,01시 3구간,110.94
6,01시 4구간,110.94
7,02시 1구간,102.02
8,02시 2구간,102.02
9,02시 3구간,102.02
10,02시 4구간,102.02
11,03시 1구간,101.76
12,03시 2구간,101.76
13,03시 3구간,101.76
14,03시 4구간,101.76
15,04시 1구간,97.74
16,04시 2구간,97.74
17,04시 3구간,97.74
18,04시 4구간,97.74
19,05시 1구간,97.74
20,05시 2구간,97.74
21,05시 3구간,97.74
22,05시 4구간,97.74
23,06시 1구간,97.74
24,06시 2구간,97.74
25,06시 3구간,97.74
26,06시 4구간,97.74
27,07시 1구간,113.34
28,07시 2구간,113.34
29,07시 3구간,113.34
30,07시 4구간,113.34
31,08시 1구간,114.47
32,08시 2구간,114.47
33,08시 3구간,114.47
34,08시 4구간,114.47
35,09시 1구간,153.55
36,09시 2구간,153.55
37,09시 3구간,153.55
38,09시 4구간,153.55
39,10시 1구간,165.24
40,10시 2구간,165.24
41,10시 3구간,165.24
42,10시 4구간,154.63
43,11시 1구간,154.21
44,11시 2구간,152.63
45,11시 3구간,152.63
46,11시 4구간,152.63
47,12시 1구간,156.44
48,12시 2구간,122.96
49,12시 3구간,156.44
50,12시 4구간,156.44
51,13시 1구간,138.26
52,13시 2구간,138.26
53,13시 3구간,138.26
54,13시 4구간,138.26
55,14시 1구간,138.58
56,14시 2구간,138.58
57,14시 3구간,138.58
58,14시 4구간,138.58
59,15시 1구간,138.58
60,15시 2구간,138.58
61,15시 3구간,138.58
62,15시 4구간,138.58
63,16시 1구간,138.58
64,16시 2구간,138.58
65,16시 3구간,138.58
66,16시 4구간,138.58
67,17시 1구간,152.65
68,17시 2구간,152.65
69,17시 3구간,152.65
70,17시 4구간,152.65
71,18시 1구간,138.58
72,18시 2구간,138.58
73,18시 3구간,138.58
74,18시 4구간,152.46
75,19시 1구간,153.55
76,19시 2구간,153.55
77,19시 3구간,153.55
78,19시 4구간,154.48
79,20시 1구간,154.52
80,20시 2구간,154.52
81,20시 3구간,154.52
82,20시 4구간,155.1
83,21시 1구간,155.16
84,21시 2구간,155.16
85,21시 3구간,155.16
86,21시 4구간,155.16
87,22시 1구간,154.76
88,22시 2구간,154.76
89,22시 3구간,154.76
90,22시 4구간,154.76
91,23시 1구간,155.16
92,23시 2구간,155.16
93,23시 3구간,155.16
94,23시 4구간,155.16
95,24시 1구간,114.88
96,24시 2구간,114.88
97,24시 3구간,114.88
98,24시 4구간,114.88
