,시간,02-07 (금)
0,최대,159.17
1,최소,98.13
2,가중평균,132.22
3,01시 1구간,112.43
4,01시 2구간,112.43
5,01시 3구간,112.43
6,01시 4구간,112.43
7,02시 1구간,101.97
8,02시 2구간,101.97
9,02시 3구간,101.97
10,02시 4구간,101.97
11,03시 1구간,98.56
12,03시 2구간,98.56
13,03시 3구간,98.56
14,03시 4구간,98.56
15,04시 1구간,98.14
16,04시 2구간,98.14
17,04시 3구간,98.14
18,04시 4구간,98.14
19,05시 1구간,98.13
20,05시 2구간,98.13
21,05시 3구간,98.13
22,05시 4구간,98.13
23,06시 1구간,98.55
24,06시 2구간,98.55
25,06시 3구간,98.55
26,06시 4구간,98.55
27,07시 1구간,111.77
28,07시 2구간,111.77
29,07시 3구간,111.77
30,07시 4구간,111.77
31,08시 1구간,113.73
32,08시 2구간,113.73
33,08시 3구간,113.73
34,08시 4구간,113.73
35,09시 1구간,136.65
36,09시 2구간,136.65
37,09시 3구간,136.65
38,09시 4구간,144.33
39,10시 1구간,159.17
40,10시 2구간,159.17
41,10시 3구간,159.17
42,10시 4구간,159.17
43,11시 1구간,149.17
44,11시 2구간,149.17
45,11시 3구간,145.89
46,11시 4구간,147.16
47,12시 1구간,147.01
48,12시 2구간,147.01
49,12시 3구간,147.01
50,12시 4구간,147.01
51,13시 1구간,144.0
52,13시 2구간,144.0
53,13시 3구간,144.0
54,13시 4구간,144.0
55,14시 1구간,143.96
56,14시 2구간,143.96
57,14시 3구간,143.96
58,14시 4구간,143.96
59,15시 1구간,143.96
60,15시 2구간,143.96
61,15시 3구간,143.96
62,15시 4구간,143.96
63,16시 1구간,151.02
64,16시 2구간,151.02
65,16시 3구간,151.02
66,16시 4구간,151.02
67,17시 1구간,136.65
68,17시 2구간,136.65
69,17시 3구간,136.65
70,17시 4구간,136.65
71,18시 1구간,136.65
72,18시 2구간,136.65
73,18시 3구간,136.65
74,18시 4구간,136.65
75,19시 1구간,134.8
76,19시 2구간,134.8
77,19시 3구간,134.8
78,19시 4구간,134.8
79,20시 1구간,131.51
80,20시 2구간,145.74
81,20시 3구간,145.74
82,20시 4구간,145.74
83,21시 1구간,145.57
84,21시 2구간,145.57
85,21시 3구간,145.57
86,21시 4구간,145.57
87,22시 1구간,145.57
88,22시 2구간,145.57
89,22시 3구간,144.93
90,22시 4구간,144.93
91,23시 1구간,144.93
92,23시 2구간,144.93
93,23시 3구간,144.93
94,23시 4구간,144.93
95,24시 1구간,144.93
96,24시 2구간,144.93
97,24시 3구간,128.8
98,24시 4구간,128.8
