,시간,01-15 (수)
0,최대,156.35
1,최소,101.52
2,가중평균,132.02
3,01시 1구간,128.59
4,01시 2구간,128.59
5,01시 3구간,128.59
6,01시 4구간,128.59
7,02시 1구간,106.11
8,02시 2구간,106.11
9,02시 3구간,106.11
10,02시 4구간,106.11
11,03시 1구간,102.0
12,03시 2구간,102.0
13,03시 3구간,102.0
14,03시 4구간,102.0
15,04시 1구간,101.52
16,04시 2구간,101.52
17,04시 3구간,101.52
18,04시 4구간,101.52
19,05시 1구간,101.58
20,05시 2구간,101.58
21,05시 3구간,101.58
22,05시 4구간,101.58
23,06시 1구간,101.97
24,06시 2구간,101.97
25,06시 3구간,101.97
26,06시 4구간,101.97
27,07시 1구간,102.14
28,07시 2구간,102.14
29,07시 3구간,102.14
30,07시 4구간,102.14
31,08시 1구간,131.65
32,08시 2구간,131.65
33,08시 3구간,131.65
34,08시 4구간,131.65
35,09시 1구간,141.81
36,09시 2구간,141.81
37,09시 3구간,141.81
38,09시 4구간,141.81
39,10시 1구간,148.19
40,10시 2구간,147.76
41,10시 3구간,148.19
42,10시 4구간,147.76
43,11시 1구간,142.18
44,11시 2구간,142.18
45,11시 3구간,142.18
46,11시 4구간,142.18
47,12시 1구간,142.18
48,12시 2구간,142.18
49,12시 3구간,142.18
50,12시 4구간,142.18
51,13시 1구간,136.98
52,13시 2구간,136.98
53,13시 3구간,136.98
54,13시 4구간,136.98
55,14시 1구간,137.29
56,14시 2구간,137.29
57,14시 3구간,137.29
58,14시 4구간,137.29
59,15시 1구간,138.86
60,15시 2구간,138.86
61,15시 3구간,138.86
62,15시 4구간,138.86
63,16시 1구간,138.59
64,16시 2구간,138.59
65,16시 3구간,138.59
66,16시 4구간,138.59
67,17시 1구간,156.35
68,17시 2구간,156.35
69,17시 3구간,156.35
70,17시 4구간,156.35
71,18시 1구간,151.71
72,18시 2구간,151.71
73,18시 3구간,151.71
74,18시 4구간,151.71
75,19시 1구간,151.71
76,19시 2구간,151.71
77,19시 3구간,151.71
78,19시 4구간,151.71
79,20시 1구간,151.71
80,20시 2구간,151.71
81,20시 3구간,151.71
82,20시 4구간,151.71
83,21시 1구간,151.71
84,21시 2구간,151.71
85,21시 3구간,151.71
86,21시 4구간,151.71
87,22시 1구간,121.82
88,22시 2구간,121.82
89,22시 3구간,121.82
90,22시 4구간,121.82
91,23시 1구간,118.14
92,23시 2구간,118.14
93,23시 3구간,118.14
94,23시 4구간,118.14
95,24시 1구간,121.32
96,24시 2구간,121.32
97,24시 3구간,121.32
98,24시 4구간,121.32
