,시간,03-18 (화)
0,최대,152.85
1,최소,87.31
2,가중평균,127.56
3,01시 1구간,143.75
4,01시 2구간,143.75
5,01시 3구간,143.75
6,01시 4구간,143.75
7,02시 1구간,98.63
8,02시 2구간,98.63
9,02시 3구간,98.63
10,02시 4구간,98.63
11,03시 1구간,89.33
12,03시 2구간,89.33
13,03시 3구간,89.33
14,03시 4구간,89.33
15,04시 1구간,87.31
16,04시 2구간,87.31
17,04시 3구간,87.31
18,04시 4구간,87.31
19,05시 1구간,88.66
20,05시 2구간,88.66
21,05시 3구간,88.66
22,05시 4구간,88.66
23,06시 1구간,96.86
24,06시 2구간,96.86
25,06시 3구간,96.86
26,06시 4구간,96.86
27,07시 1구간,110.34
28,07시 2구간,110.34
29,07시 3구간,110.34
30,07시 4구간,110.34
31,08시 1구간,140.74
32,08시 2구간,140.74
33,08시 3구간,140.74
34,08시 4구간,140.74
35,09시 1구간,143.45
36,09시 2구간,143.45
37,09시 3구간,143.45
38,09시 4구간,143.45
39,10시 1구간,152.85
40,10시 2구간,152.85
41,10시 3구간,152.85
42,10시 4구간,152.85
43,11시 1구간,132.64
44,11시 2구간,132.64
45,11시 3구간,132.64
46,11시 4구간,132.64
47,12시 1구간,128.13
48,12시 2구간,128.13
49,12시 3구간,128.13
50,12시 4구간,128.13
51,13시 1구간,110.28
52,13시 2구간,125.33
53,13시 3구간,125.33
54,13시 4구간,125.33
55,14시 1구간,125.33
56,14시 2구간,125.33
57,14시 3구간,125.33
58,14시 4구간,125.33
59,15시 1구간,125.33
60,15시 2구간,125.33
61,15시 3구간,125.33
62,15시 4구간,125.33
63,16시 1구간,125.33
64,16시 2구간,125.33
65,16시 3구간,125.33
66,16시 4구간,125.33
67,17시 1구간,137.15
68,17시 2구간,137.15
69,17시 3구간,137.15
70,17시 4구간,137.15
71,18시 1구간,137.05
72,18시 2구간,140.9
73,18시 3구간,140.9
74,18시 4구간,140.9
75,19시 1구간,137.42
76,19시 2구간,137.42
77,19시 3구간,137.42
78,19시 4구간,137.42
79,20시 1구간,137.42
80,20시 2구간,137.42
81,20시 3구간,137.42
82,20시 4구간,137.42
83,21시 1구간,141.7
84,21시 2구간,141.7
85,21시 3구간,141.7
86,21시 4구간,141.7
87,22시 1구간,141.7
88,22시 2구간,141.7
89,22시 3구간,141.7
90,22시 4구간,141.7
91,23시 1구간,141.7
92,23시 2구간,141.7
93,23시 3구간,141.7
94,23시 4구간,141.7
95,24시 1구간,141.7
96,24시 2구간,141.7
97,24시 3구간,141.7
98,24시 4구간,141.7
