,시간,01-04 (토)
0,최대,161.39
1,최소,0.0
2,가중평균,91.09
3,01시 1구간,97.77
4,01시 2구간,97.77
5,01시 3구간,97.77
6,01시 4구간,97.77
7,02시 1구간,81.76
8,02시 2구간,81.76
9,02시 3구간,81.76
10,02시 4구간,81.76
11,03시 1구간,81.12
12,03시 2구간,81.12
13,03시 3구간,81.12
14,03시 4구간,81.12
15,04시 1구간,81.12
16,04시 2구간,81.12
17,04시 3구간,81.12
18,04시 4구간,81.12
19,05시 1구간,81.12
20,05시 2구간,81.12
21,05시 3구간,81.12
22,05시 4구간,81.12
23,06시 1구간,81.12
24,06시 2구간,81.12
25,06시 3구간,81.12
26,06시 4구간,81.12
27,07시 1구간,97.37
28,07시 2구간,97.37
29,07시 3구간,97.37
30,07시 4구간,97.37
31,08시 1구간,98.47
32,08시 2구간,98.47
33,08시 3구간,98.47
34,08시 4구간,98.47
35,09시 1구간,98.78
36,09시 2구간,98.78
37,09시 3구간,98.78
38,09시 4구간,98.78
39,10시 1구간,119.65
40,10시 2구간,119.65
41,10시 3구간,119.65
42,10시 4구간,119.65
43,11시 1구간,161.39
44,11시 2구간,161.39
45,11시 3구간,161.39
46,11시 4구간,161.39
47,12시 1구간,98.16
48,12시 2구간,98.16
49,12시 3구간,98.16
50,12시 4구간,98.16
51,13시 1구간,0.0
52,13시 2구간,0.0
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,0.0
56,14시 2구간,0.0
57,14시 3구간,0.0
58,14시 4구간,0.0
59,15시 1구간,97.98
60,15시 2구간,97.98
61,15시 3구간,97.98
62,15시 4구간,97.98
63,16시 1구간,97.94
64,16시 2구간,97.94
65,16시 3구간,97.94
66,16시 4구간,97.94
67,17시 1구간,97.94
68,17시 2구간,97.94
69,17시 3구간,97.94
70,17시 4구간,97.94
71,18시 1구간,98.78
72,18시 2구간,98.78
73,18시 3구간,98.78
74,18시 4구간,98.78
75,19시 1구간,98.68
76,19시 2구간,98.68
77,19시 3구간,98.68
78,19시 4구간,98.68
79,20시 1구간,98.07
80,20시 2구간,98.07
81,20시 3구간,98.07
82,20시 4구간,98.07
83,21시 1구간,98.78
84,21시 2구간,98.78
85,21시 3구간,98.78
86,21시 4구간,98.78
87,22시 1구간,98.78
88,22시 2구간,98.78
89,22시 3구간,98.78
90,22시 4구간,98.78
91,23시 1구간,97.37
92,23시 2구간,97.37
93,23시 3구간,97.37
94,23시 4구간,97.37
95,24시 1구간,97.69
96,24시 2구간,97.69
97,24시 3구간,97.69
98,24시 4구간,97.69
