,시간,02-20 (목)
0,최대,159.56
1,최소,0.0
2,가중평균,117.24
3,01시 1구간,113.06
4,01시 2구간,113.06
5,01시 3구간,113.06
6,01시 4구간,113.06
7,02시 1구간,98.68
8,02시 2구간,98.68
9,02시 3구간,98.68
10,02시 4구간,98.68
11,03시 1구간,97.71
12,03시 2구간,97.71
13,03시 3구간,97.71
14,03시 4구간,97.71
15,04시 1구간,82.54
16,04시 2구간,82.54
17,04시 3구간,82.54
18,04시 4구간,82.54
19,05시 1구간,83.49
20,05시 2구간,83.49
21,05시 3구간,83.49
22,05시 4구간,83.49
23,06시 1구간,98.78
24,06시 2구간,98.78
25,06시 3구간,98.78
26,06시 4구간,98.78
27,07시 1구간,113.15
28,07시 2구간,113.15
29,07시 3구간,113.15
30,07시 4구간,113.15
31,08시 1구간,128.79
32,08시 2구간,128.79
33,08시 3구간,128.79
34,08시 4구간,128.79
35,09시 1구간,134.47
36,09시 2구간,134.47
37,09시 3구간,134.47
38,09시 4구간,134.47
39,10시 1구간,149.68
40,10시 2구간,149.68
41,10시 3구간,149.11
42,10시 4구간,148.28
43,11시 1구간,149.46
44,11시 2구간,159.56
45,11시 3구간,159.56
46,11시 4구간,159.56
47,12시 1구간,134.45
48,12시 2구간,134.45
49,12시 3구간,134.45
50,12시 4구간,134.45
51,13시 1구간,112.67
52,13시 2구간,0.0
53,13시 3구간,0.0
54,13시 4구간,134.03
55,14시 1구간,132.82
56,14시 2구간,132.82
57,14시 3구간,0.0
58,14시 4구간,0.0
59,15시 1구간,112.02
60,15시 2구간,130.24
61,15시 3구간,130.24
62,15시 4구간,130.24
63,16시 1구간,130.24
64,16시 2구간,130.24
65,16시 3구간,130.24
66,16시 4구간,130.24
67,17시 1구간,132.82
68,17시 2구간,132.82
69,17시 3구간,132.82
70,17시 4구간,148.6
71,18시 1구간,132.82
72,18시 2구간,119.25
73,18시 3구간,132.82
74,18시 4구간,132.82
75,19시 1구간,132.82
76,19시 2구간,132.82
77,19시 3구간,132.82
78,19시 4구간,132.82
79,20시 1구간,132.82
80,20시 2구간,132.82
81,20시 3구간,132.82
82,20시 4구간,132.82
83,21시 1구간,126.33
84,21시 2구간,126.33
85,21시 3구간,126.33
86,21시 4구간,126.33
87,22시 1구간,113.88
88,22시 2구간,113.88
89,22시 3구간,113.88
90,22시 4구간,113.88
91,23시 1구간,113.88
92,23시 2구간,113.88
93,23시 3구간,113.88
94,23시 4구간,113.88
95,24시 1구간,122.75
96,24시 2구간,122.75
97,24시 3구간,122.75
98,24시 4구간,122.75
