날짜,발전량(kW),용량합계(kW)
2024-01-28 00:15:00,0.0,18330.625
2024-01-28 00:30:00,0.0,18330.625
2024-01-28 00:45:00,0.0,18330.625
2024-01-28 01:00:00,0.0,18330.625
2024-01-28 01:15:00,0.0,18330.625
2024-01-28 01:30:00,0.0,18330.625
2024-01-28 01:45:00,0.0,18330.625
2024-01-28 02:00:00,0.0,18330.625
2024-01-28 02:15:00,0.0,18330.625
2024-01-28 02:30:00,0.0,18330.625
2024-01-28 02:45:00,0.0,18330.625
2024-01-28 03:00:00,0.0,18330.625
2024-01-28 03:15:00,0.0,18330.625
2024-01-28 03:30:00,0.0,18330.625
2024-01-28 03:45:00,0.0,18330.625
2024-01-28 04:00:00,0.0,18330.625
2024-01-28 04:15:00,0.0,18330.625
2024-01-28 04:30:00,0.0,18330.625
2024-01-28 04:45:00,0.0,18330.625
2024-01-28 05:00:00,0.0,18330.625
2024-01-28 05:15:00,0.0,18330.625
2024-01-28 05:30:00,0.0,18330.625
2024-01-28 05:45:00,0.0,18330.625
2024-01-28 06:00:00,0.0,18330.625
2024-01-28 06:15:00,0.0,18330.625
2024-01-28 06:30:00,0.0,18330.625
2024-01-28 06:45:00,0.0,18330.625
2024-01-28 07:00:00,0.0,18330.625
2024-01-28 07:15:00,0.0,18330.625
2024-01-28 07:30:00,0.387,18330.625
2024-01-28 07:45:00,20.139,18330.625
2024-01-28 08:00:00,86.161,18330.625
2024-01-28 08:15:00,185.816,18330.625
2024-01-28 08:30:00,346.429,18330.625
2024-01-28 08:45:00,532.533,18330.625
2024-01-28 09:00:00,772.234,18330.625
2024-01-28 09:15:00,996.444,18330.625
2024-01-28 09:30:00,1314.928,18330.625
2024-01-28 09:45:00,1514.123,18330.625
2024-01-28 10:00:00,1777.542,18330.625
2024-01-28 10:15:00,1899.665,18330.625
2024-01-28 10:30:00,2181.464,18330.625
2024-01-28 10:45:00,2282.497,18330.625
2024-01-28 11:00:00,2531.262,18330.625
2024-01-28 11:15:00,2519.22,18330.625
2024-01-28 11:30:00,2747.71,18330.625
2024-01-28 11:45:00,2749.99,18330.625
2024-01-28 12:00:00,2907.66,18330.625
2024-01-28 12:15:00,2840.594,18330.625
2024-01-28 12:30:00,2998.752,18330.625
2024-01-28 12:45:00,2899.444,18330.625
2024-01-28 13:00:00,2826.161,18330.625
2024-01-28 13:15:00,2688.149,18330.625
2024-01-28 13:30:00,2763.456,18330.625
2024-01-28 13:45:00,2654.881,18330.625
2024-01-28 14:00:00,2781.308,18330.625
2024-01-28 14:15:00,2513.644,18330.625
2024-01-28 14:30:00,2421.872,18330.625
2024-01-28 14:45:00,2204.346,18330.625
2024-01-28 15:00:00,2264.678,18330.625
2024-01-28 15:15:00,2018.045,18330.625
2024-01-28 15:30:00,1870.123,18330.625
2024-01-28 15:45:00,1594.946,18330.625
2024-01-28 16:00:00,1431.306,18330.625
2024-01-28 16:15:00,1125.056,18330.625
2024-01-28 16:30:00,912.737,18330.625
2024-01-28 16:45:00,638.171,18330.625
2024-01-28 17:00:00,444.515,18330.625
2024-01-28 17:15:00,258.989,18330.625
2024-01-28 17:30:00,144.426,18330.625
2024-01-28 17:45:00,54.731,18330.625
2024-01-28 18:00:00,22.249,18330.625
2024-01-28 18:15:00,10.197,18330.625
2024-01-28 18:30:00,1.953,18330.625
2024-01-28 18:45:00,0.0,18330.625
2024-01-28 19:00:00,0.0,18330.625
2024-01-28 19:15:00,0.0,18330.625
2024-01-28 19:30:00,0.0,18330.625
2024-01-28 19:45:00,0.0,18330.625
2024-01-28 20:00:00,0.0,18330.625
2024-01-28 20:15:00,0.0,18330.625
2024-01-28 20:30:00,0.0,18330.625
2024-01-28 20:45:00,0.0,18330.625
2024-01-28 21:00:00,0.0,18330.625
2024-01-28 21:15:00,0.0,18330.625
2024-01-28 21:30:00,0.0,18330.625
2024-01-28 21:45:00,0.0,18330.625
2024-01-28 22:00:00,0.0,18330.625
2024-01-28 22:15:00,0.0,18330.625
2024-01-28 22:30:00,0.0,18330.625
2024-01-28 22:45:00,0.0,18330.625
2024-01-28 23:00:00,0.0,18330.625
2024-01-28 23:15:00,0.0,18330.625
2024-01-28 23:30:00,0.0,18330.625
2024-01-28 23:45:00,0.0,18330.625
2024-01-29 00:00:00,0.0,18330.625
