날짜,발전량(kW),용량합계(kW)
2024-01-03 00:15:00,0.0,18330.625
2024-01-03 00:30:00,0.0,18330.625
2024-01-03 00:45:00,0.0,18330.625
2024-01-03 01:00:00,0.0,18330.625
2024-01-03 01:15:00,0.0,18330.625
2024-01-03 01:30:00,0.0,18330.625
2024-01-03 01:45:00,0.0,18330.625
2024-01-03 02:00:00,0.0,18330.625
2024-01-03 02:15:00,0.0,18330.625
2024-01-03 02:30:00,0.0,18330.625
2024-01-03 02:45:00,0.0,18330.625
2024-01-03 03:00:00,0.0,18330.625
2024-01-03 03:15:00,0.0,18330.625
2024-01-03 03:30:00,0.0,18330.625
2024-01-03 03:45:00,0.0,18330.625
2024-01-03 04:00:00,0.0,18330.625
2024-01-03 04:15:00,0.0,18330.625
2024-01-03 04:30:00,0.0,18330.625
2024-01-03 04:45:00,0.0,18330.625
2024-01-03 05:00:00,0.0,18330.625
2024-01-03 05:15:00,0.0,18330.625
2024-01-03 05:30:00,0.0,18330.625
2024-01-03 05:45:00,0.0,18330.625
2024-01-03 06:00:00,0.0,18330.625
2024-01-03 06:15:00,0.0,18330.625
2024-01-03 06:30:00,0.0,18330.625
2024-01-03 06:45:00,0.0,18330.625
2024-01-03 07:00:00,0.0,18330.625
2024-01-03 07:15:00,0.0,18330.625
2024-01-03 07:30:00,0.0,18330.625
2024-01-03 07:45:00,0.153,18330.625
2024-01-03 08:00:00,11.282,18330.625
2024-01-03 08:15:00,31.741,18330.625
2024-01-03 08:30:00,67.148,18330.625
2024-01-03 08:45:00,95.997,18330.625
2024-01-03 09:00:00,162.149,18330.625
2024-01-03 09:15:00,223.178,18330.625
2024-01-03 09:30:00,329.56,18330.625
2024-01-03 09:45:00,416.844,18330.625
2024-01-03 10:00:00,563.294,18330.625
2024-01-03 10:15:00,573.19,18330.625
2024-01-03 10:30:00,744.562,18330.625
2024-01-03 10:45:00,862.88,18330.625
2024-01-03 11:00:00,1170.052,18330.625
2024-01-03 11:15:00,1325.976,18330.625
2024-01-03 11:30:00,1317.289,18330.625
2024-01-03 11:45:00,1319.485,18330.625
2024-01-03 12:00:00,1411.186,18330.625
2024-01-03 12:15:00,1438.805,18330.625
2024-01-03 12:30:00,1612.397,18330.625
2024-01-03 12:45:00,1694.198,18330.625
2024-01-03 13:00:00,1652.1,18330.625
2024-01-03 13:15:00,1498.866,18330.625
2024-01-03 13:30:00,1605.645,18330.625
2024-01-03 13:45:00,1480.529,18330.625
2024-01-03 14:00:00,1426.919,18330.625
2024-01-03 14:15:00,1219.062,18330.625
2024-01-03 14:30:00,1222.166,18330.625
2024-01-03 14:45:00,1010.397,18330.625
2024-01-03 15:00:00,983.79,18330.625
2024-01-03 15:15:00,901.735,18330.625
2024-01-03 15:30:00,971.911,18330.625
2024-01-03 15:45:00,740.237,18330.625
2024-01-03 16:00:00,630.365,18330.625
2024-01-03 16:15:00,447.924,18330.625
2024-01-03 16:30:00,362.876,18330.625
2024-01-03 16:45:00,217.587,18330.625
2024-01-03 17:00:00,122.953,18330.625
2024-01-03 17:15:00,69.753,18330.625
2024-01-03 17:30:00,24.709,18330.625
2024-01-03 17:45:00,11.157,18330.625
2024-01-03 18:00:00,5.06,18330.625
2024-01-03 18:15:00,0.0,18330.625
2024-01-03 18:30:00,0.0,18330.625
2024-01-03 18:45:00,0.0,18330.625
2024-01-03 19:00:00,0.0,18330.625
2024-01-03 19:15:00,0.0,18330.625
2024-01-03 19:30:00,0.0,18330.625
2024-01-03 19:45:00,0.0,18330.625
2024-01-03 20:00:00,0.0,18330.625
2024-01-03 20:15:00,0.0,18330.625
2024-01-03 20:30:00,0.0,18330.625
2024-01-03 20:45:00,0.0,18330.625
2024-01-03 21:00:00,0.0,18330.625
2024-01-03 21:15:00,0.0,18330.625
2024-01-03 21:30:00,0.0,18330.625
2024-01-03 21:45:00,0.0,18330.625
2024-01-03 22:00:00,0.0,18330.625
2024-01-03 22:15:00,0.0,18330.625
2024-01-03 22:30:00,0.0,18330.625
2024-01-03 22:45:00,0.0,18330.625
2024-01-03 23:00:00,0.0,18330.625
2024-01-03 23:15:00,0.0,18330.625
2024-01-03 23:30:00,0.0,18330.625
2024-01-03 23:45:00,0.0,18330.625
2024-01-04 00:00:00,0.0,18330.625
