timestamp,gen,forecast_da,forecast_rt,capacity
2024-07-15 01:00:00+09:00,0,0,0,21022.1
2024-07-15 02:00:00+09:00,0,0,0,21022.1
2024-07-15 03:00:00+09:00,0,0,0,21022.1
2024-07-15 04:00:00+09:00,0,0,0,21022.1
2024-07-15 05:00:00+09:00,25.42750865,0,0,21022.1
2024-07-15 06:00:00+09:00,588.159591,516.7087507411684,567.7676662110814,21022.1
2024-07-15 07:00:00+09:00,1962.82765,1607.4510389305428,1619.5350797176025,21022.1
2024-07-15 08:00:00+09:00,3771.4754,2924.7196361956862,3298.0517971255254,21022.1
2024-07-15 09:00:00+09:00,5972.9379,4315.841975514354,5169.958115944144,21022.1
2024-07-15 10:00:00+09:00,8484.4697,5550.815484271851,6798.268875989045,21022.1
2024-07-15 11:00:00+09:00,8068.931400000001,5992.972675222911,8059.107833677292,21022.1
2024-07-15 12:00:00+09:00,6368.2163,6345.064655356842,7863.437678062741,21022.1
2024-07-15 13:00:00+09:00,6967.0853,6176.215610862348,6659.7725409612885,21022.1
2024-07-15 14:00:00+09:00,6954.44437,6390.082410267571,6263.987769230938,21022.1
2024-07-15 15:00:00+09:00,5487.06033,5669.264670933193,5852.355191326895,21022.1
2024-07-15 16:00:00+09:00,4591.652330000001,4225.896962049471,4268.879577428492,21022.1
2024-07-15 17:00:00+09:00,3379.0796699999996,2707.913083829835,2850.690877,21022.1
2024-07-15 18:00:00+09:00,1460.2796700000001,1186.1367362560645,1345.0922529663164,21022.1
2024-07-15 19:00:00+09:00,379.43867,201.17809858182167,276.08849017706245,21022.1
2024-07-15 20:00:00+09:00,12.715,0,0,21022.1
2024-07-15 21:00:00+09:00,0,0,0,21022.1
2024-07-15 22:00:00+09:00,0,0,0,21022.1
2024-07-15 23:00:00+09:00,0,0,0,21022.1
2024-07-16 00:00:00+09:00,0,0,0,21022.1
2024-07-16 01:00:00+09:00,0,0,0,21022.1
2024-07-16 02:00:00+09:00,0,0,0,21022.1
2024-07-16 03:00:00+09:00,0,0,0,21022.1
2024-07-16 04:00:00+09:00,0,0,0,21022.1
2024-07-16 05:00:00+09:00,26.71679435,0,0,21022.1
2024-07-16 06:00:00+09:00,448.28059099999996,508.92791204542675,572.1012893144091,21022.1
2024-07-16 07:00:00+09:00,1608.5841499999997,1708.8904898548087,1675.0735660719954,21022.1
2024-07-16 08:00:00+09:00,3326.8634,2960.461711130617,3059.8798478716103,21022.1
2024-07-16 09:00:00+09:00,5720.8632,4185.309497100519,4706.9396801392795,21022.1
2024-07-16 10:00:00+09:00,7927.7146,5447.188557191868,6462.702154292874,21022.1
2024-07-16 11:00:00+09:00,6593.355,5606.3344997760705,7653.1147215930005,21022.1
2024-07-16 12:00:00+09:00,5554.108,6038.011295121041,6978.280496528012,21022.1
2024-07-16 13:00:00+09:00,4614.9564,5601.1078574976245,5627.553059237259,21022.1
2024-07-16 14:00:00+09:00,4074.69037,4451.100812,4223.2227955705475,21022.1
2024-07-16 15:00:00+09:00,2455.3033299999997,3525.5774077577307,3464.4115060461804,21022.1
2024-07-16 16:00:00+09:00,1480.1053299999999,2283.896365619852,2217.5033663630406,21022.1
2024-07-16 17:00:00+09:00,984.67667,1491.3165721404175,1295.0676138495855,21022.1
2024-07-16 18:00:00+09:00,499.73867,617.2692169479491,633.4029723052719,21022.1
2024-07-16 19:00:00+09:00,111.35795569999999,75.84051400806086,153.44016622722785,21022.1
2024-07-16 20:00:00+09:00,4.0139786,0,0,21022.1
2024-07-16 21:00:00+09:00,0,0,0,21022.1
2024-07-16 22:00:00+09:00,0,0,0,21022.1
2024-07-16 23:00:00+09:00,0,0,0,21022.1
2024-07-17 00:00:00+09:00,0,0,0,21022.1
2024-07-17 01:00:00+09:00,0,0,0,21022.1
2024-07-17 02:00:00+09:00,0,0,0,21022.1
2024-07-17 03:00:00+09:00,0,0,0,21022.1
2024-07-17 04:00:00+09:00,0,0,0,21022.1
2024-07-17 05:00:00+09:00,11.26144283,0,0,21022.1
2024-07-17 06:00:00+09:00,266.5959638,526.4902723058555,543.8628105028799,21022.1
2024-07-17 07:00:00+09:00,1038.69345,1549.3446627258766,1420.7764460741496,21022.1
2024-07-17 08:00:00+09:00,2226.651,2946.0419796873102,2511.322292016208,21022.1
2024-07-17 09:00:00+09:00,3575.9588999999996,4391.762642833273,3975.5707822087315,21022.1
2024-07-17 10:00:00+09:00,4935.9612,6049.557013845324,5569.966802913444,21022.1
2024-07-17 11:00:00+09:00,7065.9,6842.194556359999,6303.125798106721,21022.1
2024-07-17 12:00:00+09:00,7511.8557,7119.860819631151,7556.442927525589,21022.1
2024-07-17 13:00:00+09:00,8295.793,6717.014377,6897.24164,21022.1
2024-07-17 14:00:00+09:00,7143.149170000001,5516.555171216699,6105.499095,21022.1
2024-07-17 15:00:00+09:00,5818.69023,4312.037945054317,5054.131446508842,21022.1
2024-07-17 16:00:00+09:00,4046.63593,3165.9997384914423,3650.942077129015,21022.1
2024-07-17 17:00:00+09:00,2922.82147,1893.0063487852806,2183.504130400577,21022.1
2024-07-17 18:00:00+09:00,1176.46467,832.0731903,1099.5429372155086,21022.1
2024-07-17 19:00:00+09:00,297.65067,166.74797578630225,244.08715317561084,21022.1
2024-07-17 20:00:00+09:00,7.6733333,0,0,21022.1
2024-07-17 21:00:00+09:00,0,0,0,21022.1
2024-07-17 22:00:00+09:00,0,0,0,21022.1
2024-07-17 23:00:00+09:00,0,0,0,21022.1
2024-07-18 00:00:00+09:00,0,0,0,21022.1
2024-07-18 01:00:00+09:00,0,0,0,21022.1
2024-07-18 02:00:00+09:00,0,0,0,21022.1
2024-07-18 03:00:00+09:00,0,0,0,21022.1
2024-07-18 04:00:00+09:00,0,0,0,21022.1
2024-07-18 05:00:00+09:00,13.85192378,0,0,21022.1
2024-07-18 06:00:00+09:00,383.63141129999997,345.7873589571449,365.05127643432706,21022.1
2024-07-18 07:00:00+09:00,1257.9744500000002,1159.2567683952648,1194.454256263035,21022.1
2024-07-18 08:00:00+09:00,2643.473,2315.470994620414,2358.3903411521433,21022.1
2024-07-18 09:00:00+09:00,4439.079900000001,3327.532420910533,3458.728879817142,21022.1
2024-07-18 10:00:00+09:00,3985.6946999999996,3900.0925735719698,4565.375899475162,21022.1
2024-07-18 11:00:00+09:00,2814.053,4170.854695126551,4647.216881776712,21022.1
2024-07-18 12:00:00+09:00,2964.629,3974.116846459643,3809.7822395730946,21022.1
2024-07-18 13:00:00+09:00,2797.499,3507.003925,3256.3991703818715,21022.1
2024-07-18 14:00:00+09:00,2398.34007,2727.1395847884874,2627.997930493726,21022.1
2024-07-18 15:00:00+09:00,2665.69703,2434.880859,2435.5179665009878,21022.1
2024-07-18 16:00:00+09:00,2689.07333,1965.8796711648015,1955.788362676241,21022.1
2024-07-18 17:00:00+09:00,2185.35867,1343.7009150005438,1476.087549,21022.1
2024-07-18 18:00:00+09:00,1182.37567,682.9020749181869,873.7308064,21022.1
2024-07-18 19:00:00+09:00,313.384956,82.77249073,201.15300368335673,21022.1
2024-07-18 20:00:00+09:00,11.938,0,0,21022.1
2024-07-18 21:00:00+09:00,0,0,0,21022.1
2024-07-18 22:00:00+09:00,0,0,0,21022.1
2024-07-18 23:00:00+09:00,0,0,0,21022.1
2024-07-19 00:00:00+09:00,0,0,0,21022.1
2024-07-19 01:00:00+09:00,0,0,0,21022.1
2024-07-19 02:00:00+09:00,0,0,0,21022.1
2024-07-19 03:00:00+09:00,0,0,0,21022.1
2024-07-19 04:00:00+09:00,0,0,0,21022.1
2024-07-19 05:00:00+09:00,13.52479435,0,0,21022.1
2024-07-19 06:00:00+09:00,462.805591,519.7240398552343,507.85712303271765,21022.1
2024-07-19 07:00:00+09:00,1347.36845,1597.452058514475,1640.4532742105946,21022.1
2024-07-19 08:00:00+09:00,3337.047,2844.149419,2841.7714719221754,21022.1
2024-07-19 09:00:00+09:00,5631.508772,4142.072454564854,4502.959703467237,21022.1
2024-07-19 10:00:00+09:00,7107.910599999999,5382.754304809183,6137.435732859097,21022.1
2024-07-19 11:00:00+09:00,6526.0363,6376.800325343991,7193.579639,21022.1
2024-07-19 12:00:00+09:00,5845.201599999999,7126.640326240482,7389.198098022907,21022.1
2024-07-19 13:00:00+09:00,6851.4522,6465.851978329275,6633.181257699256,21022.1
2024-07-19 14:00:00+09:00,8316.42137,5262.899845751271,5783.921269330812,21022.1
2024-07-19 15:00:00+09:00,6945.45573,5449.5000379005405,6313.678663021693,21022.1
2024-07-19 16:00:00+09:00,6213.09873,4936.446714360302,5254.051926612268,21022.1
2024-07-19 17:00:00+09:00,4835.82909,3350.2586893985444,3530.144910422243,21022.1
2024-07-19 18:00:00+09:00,2236.33227,1392.674360263424,1695.7688315163361,21022.1
2024-07-19 19:00:00+09:00,441.97267,202.80027095670064,295.2031216055407,21022.1
2024-07-19 20:00:00+09:00,16.185000000000002,0,0,21022.1
2024-07-19 21:00:00+09:00,0,0,0,21022.1
2024-07-19 22:00:00+09:00,0,0,0,21022.1
2024-07-19 23:00:00+09:00,0,0,0,21022.1
2024-07-20 00:00:00+09:00,0,0,0,21022.1
2024-07-20 01:00:00+09:00,0,0,0,21022.1
2024-07-20 02:00:00+09:00,0,0,0,21022.1
2024-07-20 03:00:00+09:00,0,0,0,21022.1
2024-07-20 04:00:00+09:00,0,0,0,21022.1
2024-07-20 05:00:00+09:00,33.99379465,0,0,21022.1
2024-07-20 06:00:00+09:00,739.918591,538.0404494933082,628.5437709665805,21022.1
2024-07-20 07:00:00+09:00,2407.26745,1875.589225450819,1914.9143415871185,21022.1
2024-07-20 08:00:00+09:00,4783.756,3299.6597636985725,3831.257351785936,21022.1
2024-07-20 09:00:00+09:00,6807.1139,4721.221212780705,5797.343232456418,21022.1
2024-07-20 10:00:00+09:00,6056.278700000001,5731.223794820082,7377.050098075075,21022.1
2024-07-20 11:00:00+09:00,3708.0599999999995,6402.517312807185,7187.418382921915,21022.1
2024-07-20 12:00:00+09:00,3871.4694,7270.090234329633,5530.172066481329,21022.1
2024-07-20 13:00:00+09:00,7154.49,6753.301702317301,4758.333018611714,21022.1
2024-07-20 14:00:00+09:00,9680.52727,5491.957722564521,5552.141507651689,21022.1
2024-07-20 15:00:00+09:00,9654.82163,4556.725778162457,5977.895326065099,21022.1
2024-07-20 16:00:00+09:00,7533.31654,3618.304311870608,5115.977107,21022.1
2024-07-20 17:00:00+09:00,4409.66447,2268.729195561305,3133.777204380736,21022.1
2024-07-20 18:00:00+09:00,1751.73137,817.8856846733142,1302.5619326223182,21022.1
2024-07-20 19:00:00+09:00,292.73367,21.947339682341003,196.50529618258582,21022.1
2024-07-20 20:00:00+09:00,6.3016452,0,0,21022.1
2024-07-20 21:00:00+09:00,0,0,0,21022.1
2024-07-20 22:00:00+09:00,0,0,0,21022.1
2024-07-20 23:00:00+09:00,0,0,0,21022.1
